date_correction,snfg,fg_name,matter_code,matter,qty_real,qty_theoretical,bulk_loss,reject_retur,sisa_bulk,overfill,loading_unloading_loss,loss,brand,coitem,target,note,line,netto,netto_min,product_status,product_type,timestamp
2022-03-14,A-PRT-W100ML/H0010,WARDAH ACNEDERM PORE REFINING TONER 100 ML (PC(S)),L,LIQUID,916.92,1188,271.08,0,0,11.73,259.35,DOWNSTREAM LOSS,WARDAH,A-PRT-W100ML,,,BOP04,0.10138,0.1001,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-14,A-PRT-W100ML/H0011,WARDAH ACNEDERM PORE REFINING TONER 100 ML (PC(S)),L,LIQUID,956.96,1190,233.04,0,0,0.0,233.04,DOWNSTREAM LOSS,WARDAH,A-PRT-W100ML,,,BOP04,0.1001,0.1001,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-22,A-PRT-W100ML/H0012,WARDAH ACNEDERM PORE REFINING TONER 100 ML (PC(S)),L,LIQUID,944.94,1189,244.06,0,0,0.0,244.06,DOWNSTREAM LOSS,WARDAH,A-PRT-W100ML,,,BOP04,0.1001,0.1001,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-22,A-PRT-W100ML/H0013,WARDAH ACNEDERM PORE REFINING TONER 100 ML (PC(S)),L,LIQUID,934.93,1195,260.07,0,0,0.0,260.07,DOWNSTREAM LOSS,WARDAH,A-PRT-W100ML,,,BOP04,0.1001,0.1001,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-23,A-PRT-W100ML/H0014,WARDAH ACNEDERM PORE REFINING TONER 100 ML (PC(S)),L,LIQUID,934.93,1187.4,252.47,0,0,0.0,252.47,DOWNSTREAM LOSS,WARDAH,A-PRT-W100ML,,,BOP04,0.1001,0.1001,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-23,A-PRT-W100ML/H0015,WARDAH ACNEDERM PORE REFINING TONER 100 ML (PC(S)),L,LIQUID,964.96,1188,223.04,0,0,0.0,223.04,DOWNSTREAM LOSS,WARDAH,A-PRT-W100ML,,,BOP04,0.1001,0.1001,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-24,A-PRT-W100ML/H0016,WARDAH ACNEDERM PORE REFINING TONER 100 ML (PC(S)),L,LIQUID,944.94,1189,244.06,0,0,0.0,244.06,DOWNSTREAM LOSS,WARDAH,A-PRT-W100ML,,,BOP04,0.1001,0.1001,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-06,A-SATG-W15ML/H0004,WARDAH ACNEDERM ACNE SPOT TREATMENT GEL 15 ML (PC(S)),L,LIQUID,257.68,289,31.32,3.02,7.15,10.44,10.71,DOWNSTREAM LOSS,WARDAH,A-SATG-W15ML,,,TUP08,0.01592,0.0153,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-16,A-SATG-W15ML/H0005,WARDAH ACNEDERM ACNE SPOT TREATMENT GEL 15 ML (PC(S)),L,LIQUID,258.33,287,28.67,0,0,12.83,15.84,DOWNSTREAM LOSS,WARDAH,A-SATG-W15ML,,,TUP08,0.01606,0.0153,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-30,A-SATG-W15ML/H0006,WARDAH ACNEDERM ACNE SPOT TREATMENT GEL 15 ML (PC(S)),L,LIQUID,257.68,287,29.32,0.17,0,9.77,19.38,DOWNSTREAM LOSS,WARDAH,A-SATG-W15ML,,,TUP08,0.01588,0.0153,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-16,BBC-EL-W15ML/H0002,WARDAH EVERYDAY BB CREAM LIGHT 15 ML (PC(S)),L,LIQUID,672.48,784,111.52,0,0,75.32,36.2,DOWNSTREAM LOSS,WARDAH,BBC-EL-W15ML,,,TUP06,0.01668,0.015,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-18,BBC-EN-W15ML/H0003,WARDAH EVERYDAY BB CREAM NATURAL 15 ML (PC(S)),L,LIQUID,836.64,971,134.36,0,0,93.71,40.65,DOWNSTREAM LOSS,WARDAH,BBC-EN-W15ML,,,TUP06,0.01668,0.015,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-23,BBC-EN-W15ML/H0004,WARDAH EVERYDAY BB CREAM NATURAL 15 ML (PC(S)),L,LIQUID,856.8,977,120.2,0,0,89.11,31.09,DOWNSTREAM LOSS,WARDAH,BBC-EN-W15ML,,,TUP06,0.01656,0.015,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-22,BBC-HSBBN-EM/H0002,EMINA DAILY MATTE BB CREAM 02 NATURAL 16 G,L,LIQUID,403.2,484,80.8,0,0,17.14,63.66,DOWNSTREAM LOSS,EMINA,BBC-HSBBN-EM,,,TUP06,0.01668,0.016,NEW PRODUCT,RELAUNCH,2022-07-19 07:05
2022-03-05,BBC-LL-W15ML/H0004,WARDAH LIGHTENING BB CREAM LIGHT 15 ML (PC(S)),L,LIQUID,839.52,970,130.48,0,0,105.22,25.26,DOWNSTREAM LOSS,WARDAH,BBC-LL-W15ML,,,TUP06,0.01688,0.015,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-19,BBC-LL-W15ML/H0005,WARDAH LIGHTENING BB CREAM LIGHT 15 ML (PC(S)),L,LIQUID,820.8,936,115.2,1.56,0,87.55,26.09,DOWNSTREAM LOSS,WARDAH,BBC-LL-W15ML,,,TUP06,0.0166,0.015,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-21,BBC-LL-W30ML/H0004,WARDAH LIGHTENING BB CREAM LIGHT 30 ML (PC(S)),L,LIQUID,167.4,192,24.6,0,0,4.02,20.58,DOWNSTREAM LOSS,WARDAH,BBC-LL-W30ML,,,TUP06,0.03072,0.03,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-30,BBC-LL-W30ML/H0007,WARDAH LIGHTENING BB CREAM LIGHT 30 ML (PC(S)),L,LIQUID,450.36,480,29.64,1.85,0,11.41,16.38,DOWNSTREAM LOSS,WARDAH,BBC-LL-W30ML,,,TUP06,0.03076,0.03,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-07,BBC-LN-W15ML/H0006,WARDAH LIGHTENING BB CREAM NATURAL 15 ML (PC(S)),L,LIQUID,416.88,486,69.12,0,0,47.8,21.32,DOWNSTREAM LOSS,WARDAH,BBC-LN-W15ML,,,TUP06,0.01672,0.015,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-24,BBC-LN-W15ML/H0007,WARDAH LIGHTENING BB CREAM NATURAL 15 ML (PC(S)),L,LIQUID,416.16,480,63.84,0.75,0,46.61,16.48,DOWNSTREAM LOSS,WARDAH,BBC-LN-W15ML,,,TUP06,0.01668,0.015,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-26,BBC-LN-W30ML/H0003,WARDAH LIGHTENING BB CREAM NATURAL 30 ML (PC(S)),L,LIQUID,171.72,189,17.28,0,0,5.04,12.24,DOWNSTREAM LOSS,WARDAH,BBC-LN-W30ML,,,TUP06,0.03088,0.03,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-21,BO-HLT01-MO/H0002,MAKE OVER HYDRASTAY LIQUID TINT BLUSH 01 FLAIR 15 ML,L,LIQUID,34.2,49.2,15.0,0.0,12.6,1.92,0.48,DOWNSTREAM LOSS,MAKE OVER,BO-HLT01-MO,,,EMP15,0.01584,0.015,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-01,BP-RHEDT-KA/H0004,KAHF REVERED OUD EAU DE TOILETTE 35 ML,L,LIQUID,751.52,791,39.48,0,0,9.45,30.03,DOWNSTREAM LOSS,KAHF,BP-RHEDT-KA,,,EMP17,0.03544,0.035,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-02,BP-RHEDT-KA/H0005,KAHF REVERED OUD EAU DE TOILETTE 35 ML,L,LIQUID,178.64,190,11.36,0,0,3.47,7.89,DOWNSTREAM LOSS,KAHF,BP-RHEDT-KA,,,EMP03,0.03568,0.035,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-18,BP-SBSBM-W100ML/H0003,WARDAH SCENTSATION BLISS BODY MIST 100 ML (PC(S)),L,LIQUID,947.5,985,37.5,0,0,11.56,25.94,DOWNSTREAM LOSS,WARDAH,BP-SBSBM-W100ML,,,BOP04,0.10122,0.1,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-08,BP-SJYBM-W100ML/H0006,WARDAH SCENTSATION JOYFUL BODY MIST 100 ML (PC(S)),L,LIQUID,950.0,987,37.0,0.0,21.93,9.31,5.76,DOWNSTREAM LOSS,WARDAH,BP-SJYBM-W100ML,,,EMP02,0.10098,0.1,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-21,BP-SJYBM-W100ML/H0007,WARDAH SCENTSATION JOYFUL BODY MIST 100 ML (PC(S)),L,LIQUID,937.5,988,50.5,0,0,3.75,46.75,DOWNSTREAM LOSS,WARDAH,BP-SJYBM-W100ML,,,BOP04,0.1004,0.1,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-12,BP-SJYE-W35ML/H0004,WARDAH SCENTSATION JOYFUL EAU DE TOILETTE 35 ML (PC(S)),L,LIQUID,269.29,288,18.71,0,0,12.62,6.09,DOWNSTREAM LOSS,WARDAH,BP-SJYE-W35ML,,,JAP03,0.03664,0.035,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-21,BP-SPCBM-W100ML/H0004,WARDAH SCENTSATION PEACEFUL BODY MIST 100 ML (PC(S)),L,LIQUID,947.5,992,44.5,0,0,8.34,36.16,DOWNSTREAM LOSS,WARDAH,BP-SPCBM-W100ML,,,BOP04,0.10088,0.1,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-07,BP-SPCE-W35ML/H0002,WARDAH SCENTSATION PEACEFUL EAU DE TOILETTE 35 ML (PC(S)),L,LIQUID,259.56,287,27.44,0,0,-1.92,29.36,DOWNSTREAM LOSS,WARDAH,BP-SPCE-W35ML,,,OSP01,0.03474,0.035,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-05,BP-SPNE-W35ML/H0002,WARDAH SCENTSATION PASSION EAU DE TOILETTE 35 ML (PC(S)),L,LIQUID,259.56,286,26.44,0,0,19.58,6.86,DOWNSTREAM LOSS,WARDAH,BP-SPNE-W35ML,,,EMP17,0.03764,0.035,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-21,BP-SPRBM-W100ML/H0005,WARDAH SCENTSATION PURITY BODY MIST 100 ML (PC(S)),L,LIQUID,937.5,990,52.5,0,0,14.25,38.25,DOWNSTREAM LOSS,WARDAH,BP-SPRBM-W100ML,,,BOP04,0.10152,0.1,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-08,BP-SPRE-W35ML/H0002,WARDAH SCENTSATION PURITY EAU DE TOILETTE 35 ML (PC(S)),L,LIQUID,264.6,287,22.4,0,0,17.23,5.17,DOWNSTREAM LOSS,WARDAH,BP-SPRE-W35ML,,,EMP17,0.03728,0.035,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-10,BP-SPRE-W35ML/H0003,WARDAH SCENTSATION PURITY EAU DE TOILETTE 35 ML (PC(S)),L,LIQUID,268.38,288,19.62,0,0,11.97,7.65,DOWNSTREAM LOSS,WARDAH,BP-SPRE-W35ML,,,EMP17,0.03656,0.035,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-24,BUT-W0R-W50ML/H0002,WARDAH CREAMY BODY BUTTER WITH ROSE 50 ML (PC(S)),L,LIQUID,112.32,144,31.68,0,0,13.58,18.1,DOWNSTREAM LOSS,WARDAH,BUT-W0R-W50ML,,,JAP03,0.05044,0.045,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-14,BUT-W0S-W50ML/H0002,WARDAH CREAMY BODY BUTTER WITH STRAWBERRY 50 ML (PC(S)),L,LIQUID,183.95,193,9.05,0,0,-2.94,11.99,DOWNSTREAM LOSS,WARDAH,BUT-W0S-W50ML,,,EMP03,0.0492,0.05,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-15,BUT-W3LG-W150ML/H0002,WARDAH CREAMY BODY BUTTER WITH LAVENDER & GINGER 150 ML (PC(S)),L,LIQUID,185.13,195,9.87,0,0,-2.88,12.75,DOWNSTREAM LOSS,WARDAH,BUT-W3LG-W150ML,,,EMP03,0.14328,0.1455435,TO BE DISCONTINUED,LAUNCH,2022-07-19 07:05
2022-03-12,BUT-W3O-W150ML/H0003,WARDAH CREAMY BODY BUTTER WITH OLIVE 150 ML (PC(S)),L,LIQUID,178.2,196,17.8,0,0,0.22,17.58,DOWNSTREAM LOSS,WARDAH,BUT-W3O-W150ML,,,JAP03,0.15172,0.15153,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-12,BUT-W3O-W150ML/H0004,WARDAH CREAMY BODY BUTTER WITH OLIVE 150 ML (PC(S)),L,LIQUID,185.47,194,8.53,0,0,0.18,8.35,DOWNSTREAM LOSS,WARDAH,BUT-W3O-W150ML,,,JAP03,0.15168,0.15153,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-04,BUT-W3P-W150ML/H0003,WARDAH CREAMY BODY BUTTER WITH PASSION FRUIT 150 ML (PC(S)),L,LIQUID,190.8,195,4.2,0,0,-7.63,11.83,DOWNSTREAM LOSS,WARDAH,BUT-W3P-W150ML,,,JAP03,0.144,0.15,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-05,BUT-W3R-W150ML/H0002,WARDAH CREAMY BODY BUTTER WITH ROSE 150 ML (PC(S)),L,LIQUID,189.0,195,6.0,0,0,-8.72,14.72,DOWNSTREAM LOSS,WARDAH,BUT-W3R-W150ML,,,EMP05,0.14308,0.15,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-25,BUT-W3R-W150ML/H0003,WARDAH CREAMY BODY BUTTER WITH ROSE 150 ML (PC(S)),L,LIQUID,183.6,193,9.4,0,0,-1.62,11.02,DOWNSTREAM LOSS,WARDAH,BUT-W3R-W150ML,,,JAP03,0.14868,0.15,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-22,CB-P1A-P240/H0001,PUTRI NATURAL CREAMBATH AVOCADO 240 ML (PC(S)),L,LIQUID,561.6,586,24.4,0.0,11.89,-0.04,12.55,DOWNSTREAM LOSS,PUTRI,CB-P1A-P240,,,EMP03,0.23876,0.238776,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-23,CB-P1A-P720/H0001,PUTRI NATURAL CREAMBATH AVOCADO 720 ML (PC(S)),L,LIQUID,197.71,198.4,0.69,0,0,-7.92,8.61,DOWNSTREAM LOSS,PUTRI,CB-P1A-P720,,,EMP01,0.68764,0.716328,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-22,CB-P1G-P240/H0001,PUTRI NATURAL CREAMBATH GINSENG 240 ML (PC(S)),L,LIQUID,175.1,196,20.9,0,0,9.06,11.84,DOWNSTREAM LOSS,PUTRI,CB-P1G-P240,,,EMP03,0.2398,0.228,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-23,CB-P1G-P720/H0001,PUTRI NATURAL CREAMBATH GINSENG 720 ML (PC(S)),L,LIQUID,188.78,196,7.22,0,0,0.85,6.37,DOWNSTREAM LOSS,PUTRI,CB-P1G-P720,,,EMP03,0.68708,0.684,EXISTING,LAUNCH,2022-07-19 07:05
2022-03-04,CB-P1K-P240/H0001,PUTRI NATURAL CREAMBATH CANDLENUT 240 ML (PC(S)),L,LIQUID,90.09,194,103.91,0,0,8.08,95.83,DOWNSTREAM LOSS,PUTRI,CB-P1K-P240,,,EMP02,0.2406,0.2208,EXISTING,LAUNCH,2022-07-19 07:05
