Product Korporat Code,BoM Lines/Product Template/Korporat Code
"L-IMC017-MO6,5G",L-IMC017-BULK
"L-IMC017-MO6,5G",BOTO-PIMLCR1-MO
"L-IMC017-MO6,5G",CAPA-IMLCR0-MO
"L-IMC017-MO6,5G",STIC-BIMLC17R1-MOMSF
"L-IMC017-MO6,5G",DUS-IMLC1520R1-MOILD
"L-IMC017-MO6,5G",STIC-BCIMLC17R0-MOPP
"L-IMC017-MO6,5G",IBOX-12IMLCR0-MODNF
"L-IMC017-MO6,5G",KB-MOLUHM-265K150
MY-MBSNC-EM,M-BSNC-EM
L-REMA13-W,L-REMA13-BULK
L-REMA13-W,CAPC-ELRLR0-WASBS
L-REMA13-W,CONT-ELRLR0-WASBS
L-REMA13-W,STIC-BTEMA13R0-WCNF
L-REMA13-W,DUS-EMAR0-WIMVG
L-REMA13-W,STIC-BCEMA13R1-WRL
L-REMA13-W,IBOX-12ELRLR1-W
L-REMA13-W,KB-WLER1-KMK125CF
FA-RGH-MO13G,FA-RGH-RP-MO13GR
FA-RGH-MO13G,DUS-CRGFHR0-MO
FA-RGH-MO13G,DUS-SRGFHR0-MO
FA-RGH-MO13G,PLAS-DMRGFHR0-MO
FA-RGH-MO13G,KB-MOTWC3252-K150M12
MY-LSMULMB-EM,L-SMULMB-BULK
MY-LSMULMB-EM,TUBE-SMULM02R0-E
MY-LSMULMB-EM,CAPA-SMULMR0-E
MY-LSMULMB-EM,DUS-SMULM02R0-E
MY-LSMULMB-EM,STIC-PACR1-EM
MY-LSMULMB-EM,KB-EAR0-KMM125
SRM-CDSI-W,KB-W6040R2-W
SRM-CDSI-W,SRM-CD-BULK
SRM-CDSI-W,BOTO-GCDSW-GPOP2W
SRM-CDSI-W,PIP-DCDSW-ESW
SRM-CDSI-W,DUS-CDS17R1-WILG
SRM-CDSI-W,BW-P1R0-X
EB-DMLB-MO,EB-DMLB-BULK
EB-DMLB-MO,BOTO-BDMR0-MOPTG
EB-DMLB-MO,CAPA-BDMR1-MOABS
EB-DMLB-MO,PLU-BDMR0-MOPE
EB-DMLB-MO,STIC-BTBDMLBR0-MOPPW
EB-DMLB-MO,DUS-BDMR0-MO
EB-DMLB-MO,STIC-VPBDM01R1-MO
EB-DMLB-MO,IBOX-12MOAR0-D310
EB-DMLB-MO,KB-MOGCR0-MO
L-REMA16-W,L-REMA16-BULK
L-REMA16-W,CONT-ELRLR0-WASBS
L-REMA16-W,CAPC-ELRLR0-WASBS
L-REMA16-W,STIC-BCEMA16R1-WRL
L-REMA16-W,DUS-EMAR0-WIMVG
L-REMA16-W,STIC-BTEMA16R1-WCNF
L-REMA16-W,IBOX-12ELRLR1-W
L-REMA16-W,KB-WLER1-KMK125CF
B-R3L01LB-W,B-R3L01LB-BULK
B-R3L01LB-W,CONT-LLPR0-WASBS
B-R3L01LB-W,CAPC-LLPR0-WASBS
B-R3L01LB-W,SHIF-LLPR0-WPPN
B-R3L01LB-W,PUFF-LLPR0-WMFP
B-R3L01LB-W,STIC-BLMP1RR0-W
B-R3L01LB-W,DUS-LMP1R3-W
B-R3L01LB-W,STIC-PILMPR0-W
B-R3L01LB-W,STIC-PQLMP1R0-W
B-R3L01LB-W,KB-W100BR2-KMM125BF
TC-R3LLF06-W,TC-R3LLF06-BULK
TC-R3LLF06-W,CONT-LTCSR0-WRL
TC-R3LLF06-W,"GODE-TWC5,4B-SM-P"
TC-R3LLF06-W,PUFF-TWCNBRR1-W
TC-R3LLF06-W,PLAS-DM60R0-W
TC-R3LLF06-W,STIC-BLPL06R0-W
TC-R3LLF06-W,DUS-LPL06R2-W
TC-R3LLF06-W,KB-W12X250R1-W
L-REMA18-W,L-REMA18-BULK
L-REMA18-W,CONT-ELRLR0-WASBS
L-REMA18-W,CAPC-ELRLR0-WASBS
L-REMA18-W,STIC-BTEMA18R0-WCNF
L-REMA18-W,DUS-EMAR0-WIMVG
L-REMA18-W,STIC-BCEMA18R1-WRL
L-REMA18-W,IBOX-12ELRLR1-W
L-REMA18-W,KB-WLER1-KMK125CF
L-REMA05-W,L-REMA05-BULK
L-REMA05-W,CONT-ELRLR0-WASBS
L-REMA05-W,CAPC-ELRLR0-WASBS
L-REMA05-W,STIC-BTEMA05R0-WCNF
L-REMA05-W,DUS-EMAR0-WIMVG
L-REMA05-W,STIC-BCEMA05R1-WRL
L-REMA05-W,IBOX-12ELRLR1-W
L-REMA05-W,KB-WLER1-KMK125CF
L-REMA17-W,KB-WLER1-KMK125CF
L-REMA17-W,IBOX-12ELRLR1-W
L-REMA17-W,STIC-BCEMA17R1-WRL
L-REMA17-W,DUS-EMAR0-WIMVG
L-REMA17-W,STIC-BTEMA17R0-WCNF
L-REMA17-W,CONT-ELRLR0-WASBS
L-REMA17-W,CAPC-ELRLR0-WASBS
L-REMA17-W,L-REMA17-BULK
LB-SLN-EM3.7GR,LB-SLN-BULK
LB-SLN-EM3.7GR,POT-SLBR0-EAS
LB-SLN-EM3.7GR,CAPP-SLBR0-EAS
LB-SLN-EM3.7GR,STIC-BOTSLLR0-ECNF
LB-SLN-EM3.7GR,DUS-SLLR3-EIVD
LB-SLN-EM3.7GR,KB-EAR0-KMM125
CON-PTCL03-MO,KB-MOGCR0-MO
CON-PTCL03-MO,IBOX-12MOAR0-D310
CON-PTCL03-MO,STIC-VBCPTCLC03-MO
CON-PTCL03-MO,DUS-PTCLCALLR1-MO
CON-PTCL03-MO,STIC-BOTPLC03R0-MO
CON-PTCL03-MO,BOTO-PTCLCR0-MO
CON-PTCL03-MO,CAPA-PTCLCR0-MO
CON-PTCL03-MO,CON-PTCL03-BULK
B-R3L02B-W,B-R3L02B-BULK
B-R3L02B-W,CONT-LLPR0-WASBS
B-R3L02B-W,CAPC-LLPR0-WASBS
B-R3L02B-W,PUFF-LLPR0-WMFP
B-R3L02B-W,SHIF-LLPR0-WPPN
B-R3L02B-W,STIC-BLMP2RR0-W
B-R3L02B-W,DUS-LMP2R3-W
B-R3L02B-W,STIC-PILMPR0-W
B-R3L02B-W,STIC-PQLMP2R0-W
B-R3L02B-W,KB-W100BR2-KMM125BF
L-REMO36-W,L-REMO36-BULK
L-REMO36-W,CONT-EMLRLR0-WRL
L-REMO36-W,CAPC-EMLRLR0-WRL
L-REMO36-W,STIC-BTEMO36R0-WCNF
L-REMO36-W,DUS-EMOR0-WIMVG
L-REMO36-W,STIC-BCEMO36R1-WCNF
L-REMO36-W,IBOX-12ELRLR1-W
L-REMO36-W,KB-WLER1-KMK125CF
L-REMO32-W,L-REMO32-BULK
L-REMO32-W,CONT-EMLRLR0-WRL
L-REMO32-W,CAPC-EMLRLR0-WRL
L-REMO32-W,STIC-BTEMO32R0-WCNF
L-REMO32-W,DUS-EMOR0-WIMVG
L-REMO32-W,STIC-BCEMO32R1-WCNF
L-REMO32-W,IBOX-12ELRLR1-W
L-REMO32-W,KB-WLER1-KMK125CF
L-CM08-EM5.5GR,L-CM08-BULK
L-CM08-EM5.5GR,BOTO-PCMR1-E
L-CM08-EM5.5GR,CAPA-CMR0-EM
L-CM08-EM5.5GR,STIC-BOTCMPSR0-EOPPT
L-CM08-EM5.5GR,DUS-CMPSR1-E
L-CM08-EM5.5GR,IBOX-12EE-ED31
L-CM08-EM5.5GR,KB-ECR1-KMK125CF
BO-DUB-MO,BO-DUB01-BULK
BO-DUB-MO,BO-DUB02-BULK
BO-DUB-MO,CONP-SBLER0-MO
BO-DUB-MO,GODE-SBLER0-MO
BO-DUB-MO,STIC-BSBLE20R0-MO
BO-DUB-MO,DUS-SBLER0-MO
BO-DUB-MO,STIC-VSBLE20R0-MO
BO-DUB-MO,KB-MOSSTP-291145K150
L-REMO30-W,L-REMO30-BULK
L-REMO30-W,CONT-EMLRLR0-WRL
L-REMO30-W,CAPC-EMLRLR0-WRL
L-REMO30-W,STIC-BTEMO30R0-WCNF
L-REMO30-W,DUS-EMOR0-WIMVG
L-REMO30-W,STIC-BCEMO30R1-WCNF
L-REMO30-W,IBOX-12ELRLR1-W
L-REMO30-W,KB-WLER1-KMK125CF
F-EXL01-MO,F-EXL01-BULK
F-EXL01-MO,BOTO-PSGELF01L-MO
F-EXL01-MO,PU-PSLELF01L-MO
F-EXL01-MO,CAP-PSPLELF01L-MO
MY-SRMRAGIS-W,SRM-RAGIS-W
MY-SRMRAGIS-W,STIC-PAER1-EM
MY-SRMRAGIS-W,KB-W6040R2-W
MY-REBIPB3M02-W,EB-IPB3M02-W5.5G
MY-REBIPB3M02-W,STIC-PABBM01BR1-WMIP
MY-REBIPB3M02-W,KB-WIPSKMMR1-W
CUS-HLGNW22-MO,CONT-ICHLGCR0-MO
CUS-HLGNW22-MO,CUS-HLGNW22-BULK
CUS-HLGNW22-MO,CONT-HLGCR0-MO
CUS-HLGNW22-MO,DUS-HLGCR1-MO
CUS-HLGNW22-MO,STIC-SHLGCR0-MO
CUS-HLGNW22-MO,CONT-RHLGCR0-MO
CUS-HLGNW22-MO,ISPO-HLGCR1-MO
CUS-HLGNW22-MO,PUFF-HLGCR0-MO
CUS-HLGNW22-MO,STIC-BHGCW22R0-MO
CUS-HLGNW22-MO,KB-MOTWC3252-K150M12
CUS-HLGNW22-MO,STIC-MOR0-MO
CUS-HLGNW22-MO,STIC-VHGCW22R1-MO
CUS-HLGNC21-MO,KB-MOTWC3252-K150M12
CUS-HLGNC21-MO,CONT-ICHLGCR0-MO
CUS-HLGNC21-MO,STIC-SHLGCR0-MO
CUS-HLGNC21-MO,STIC-VHGCC21R1-MO
CUS-HLGNC21-MO,CUS-HLGNC21-BULK
CUS-HLGNC21-MO,CONT-HLGCR0-MO
CUS-HLGNC21-MO,ISPO-HLGCR1-MO
CUS-HLGNC21-MO,STIC-MOR0-MO
CUS-HLGNC21-MO,DUS-HLGCR1-MO
CUS-HLGNC21-MO,STIC-BHGCC21R0-MO
CUS-HLGNC21-MO,PUFF-HLGCR0-MO
CUS-HLGNC21-MO,CONT-RHLGCR0-MO
CUS-EFC03-W,CUS-EFC03-BULK
CUS-EFC03-W,CONT-EFCCR0-W
CUS-EFC03-W,CONT-ICEFCCR0-W
CUS-EFC03-W,CONT-REFCCR0-W
CUS-EFC03-W,ISPO-IPE4712R0-X
CUS-EFC03-W,STIC-SEFCCR1-W
CUS-EFC03-W,STIC-BEFCC03R0-W
CUS-EFC03-W,PUFF-EFCCR0-W
CUS-EFC03-W,DUS-EFCC03R2-W
CUS-EFC03-W,KB-WIPSKMMR1-W
BO-W1A-W4GR,BO-W1A1&2RNFS4G-W
BO-W1A-W4GR,CONT-BOEW-SAN
BO-W1A-W4GR,KUAS-BOBKWC-BTS
BO-W1A-W4GR,PLAS-DMESBOR0-W
BO-W1A-W4GR,STIC-BOTBOAR1-W
BO-W1A-W4GR,PS-PVCEESBOR1-WPVC
BO-W1A-W4GR,KB-W6040R2-W
SRM-RRYUMS-W,SRM-RRYUMS-BULK
SRM-RRYUMS-W,BOTO-PSFRYIS30-W
SRM-RRYUMS-W,PU-PSFBRYIS-W
SRM-RRYUMS-W,CAP-PSFBRIS-W
CUS-EFC04-W,CUS-EFC04-BULK
CUS-EFC04-W,CONT-EFCCR0-W
CUS-EFC04-W,CONT-ICEFCCR0-W
CUS-EFC04-W,CONT-REFCCR0-W
CUS-EFC04-W,ISPO-IPE4712R0-X
CUS-EFC04-W,STIC-SEFCCR1-W
CUS-EFC04-W,PUFF-EFCCR0-W
CUS-EFC04-W,STIC-BEFCC04R0-W
CUS-EFC04-W,DUS-EFCC04R2-W
CUS-EFC04-W,KB-WIPSKMMR1-W
FW-3IN1PC-KA,FW-3IN1PC-BULK
FW-3IN1PC-KA,TUBE-TAOCDFW100R1-K
FW-3IN1PC-KA,STIC-ECTAOCDFW100R0-K
FW-3IN1PC-KA,KB-KAHFBR0-K
L-PVW06-MO,L-PVW06-BULK
L-PVW06-MO,CAPA-WPVLSR0-MO
L-PVW06-MO,BOTO-PVLSR0-MO
L-PVW06-MO,STIC-BTPVLS6R0-MO
L-PVW06-MO,DUS-PVLSPUR2-MO
L-PVW06-MO,STIC-VPVLS6R1-MO
L-PVW06-MO,IBOX-12BR0-MO
L-PVW06-MO,KB-MOBOPR1-MO
MY-SRMASRM-W,SRM-ASRM-BULK
MY-SRMASRM-W,BOTO-GAACS15R2-W
MY-SRMASRM-W,PIP-DB20S-X
MY-SRMASRM-W,DUS-AACS15R1-W
MY-SRMASRM-W,STIC-PAFR1-EM
MY-SRMASRM-W,KB-WEGELR0-KMM125CF
CUS-HLGN10-MO,CONT-HLGCR0-MO
CUS-HLGN10-MO,CONT-ICHLGCR0-MO
CUS-HLGN10-MO,CUS-HLGN10-BULK
CUS-HLGN10-MO,DUS-HLGCR1-MO
CUS-HLGN10-MO,STIC-SHLGCR0-MO
CUS-HLGN10-MO,CONT-RHLGCR0-MO
CUS-HLGN10-MO,ISPO-HLGCR1-MO
CUS-HLGN10-MO,STIC-BHGCN10R0-MO
CUS-HLGN10-MO,STIC-MOR0-MO
CUS-HLGN10-MO,KB-MOTWC3252-K150M12
CUS-HLGN10-MO,STIC-VHGCN10R1-MO
CUS-HLGN10-MO,PUFF-HLGCR0-MO
CUS-HLGNN30-MO,STIC-VHGCN30R1-MO
CUS-HLGNN30-MO,KB-MOTWC3252-K150M12
CUS-HLGNN30-MO,STIC-MOR0-MO
CUS-HLGNN30-MO,ISPO-HLGCR1-MO
CUS-HLGNN30-MO,CONT-RHLGCR0-MO
CUS-HLGNN30-MO,DUS-HLGCR1-MO
CUS-HLGNN30-MO,STIC-SHLGCR0-MO
CUS-HLGNN30-MO,PUFF-HLGCR0-MO
CUS-HLGNN30-MO,STIC-BHGCN30R0-MO
CUS-HLGNN30-MO,CONT-ICHLGCR0-MO
CUS-HLGNN30-MO,CONT-HLGCR0-MO
CUS-HLGNN30-MO,CUS-HLGNN30-BULK
CUS-HLGNW33-MO,STIC-BHGCW33R0-MO
CUS-HLGNW33-MO,CONT-RHLGCR0-MO
CUS-HLGNW33-MO,STIC-SHLGCR0-MO
CUS-HLGNW33-MO,CONT-ICHLGCR0-MO
CUS-HLGNW33-MO,CONT-HLGCR0-MO
CUS-HLGNW33-MO,ISPO-HLGCR1-MO
CUS-HLGNW33-MO,PUFF-HLGCR0-MO
CUS-HLGNW33-MO,DUS-HLGCR1-MO
CUS-HLGNW33-MO,STIC-MOR0-MO
CUS-HLGNW33-MO,CUS-HLGNW33-BULK
CUS-HLGNW33-MO,STIC-VHGCW33R1-MO
CUS-HLGNW33-MO,KB-MOTWC3252-K150M12
ES-PSM-MO10G,"ES-PL-RP-MO1,25G"
ES-PSM-MO10G,"TC-FC02-RP-MO1,25G"
ES-PSM-MO10G,"ES-R-RP-MO1,25G"
ES-PSM-MO10G,"ES-SV-RP-MO1,25G"
ES-PSM-MO10G,"ES-BS-RP-MO1,25G"
ES-PSM-MO10G,"ES-PSM-06-RP-MO1,25G"
ES-PSM-MO10G,"ES-M-RP-MO1,25G"
ES-PSM-MO10G,"ES-PMEO-RP-MO1,25G"
ES-PSM-MO10G,CONT-ESPSR0-MO
ES-PSM-MO10G,PLAS-DMLPWNL-T01M115
ES-PSM-MO10G,BRUS-DEESR0-MOSH
ES-PSM-MO10G,STIC-BOTESPSR1-MO
ES-PSM-MO10G,PO-ESPR0-MOPE
ES-PSM-MO10G,DUS-ESPSR1-MO
ES-PSM-MO10G,KB-MOLCLR1-MO
B-R3L03I-W,B-R3L03I-BULK
B-R3L03I-W,CAPC-LLPR0-WASBS
B-R3L03I-W,CONT-LLPR0-WASBS
B-R3L03I-W,SHIF-LLPR0-WPPN
B-R3L03I-W,PUFF-LLPR0-WMFP
B-R3L03I-W,STIC-BLMP3RR0-W
B-R3L03I-W,DUS-LMP3R3-W
B-R3L03I-W,STIC-PILMPR0-W
B-R3L03I-W,STIC-PQLMP3R0-W
B-R3L03I-W,KB-W100BR2-KMM125BF
M-GSSNG-L,DUS-GBSNG50R0-L
M-GSSNG-L,M-GSSNG-BULK
M-GSSNG-L,TUBE-GBSNG50R0-L
M-GSSNG-L,STIC-SEALR0-L
M-GSSNG-L,KB-LABAR0-L
M-GSSNG-L,STIC-SEPOR0-X
M-GSSNG-L,PART-UBT50-L
MY-FACLFLMHCP-W,FA-CLFLMHCP-W
MY-FACLFLMHCP-W,STIC-PALLCR1-WM
MY-FACLFLMHCP-W,KB-WBG150R2-W
SRM-RRYIS-W,SRM-RRYUMS-BULK
SRM-RRYIS-W,BOTO-PSFRYIS15-W
SRM-RRYIS-W,PU-PSFBRYIS-W
SRM-RRYIS-W,CAP-PSFBRIS-W
FT-PHASN2-EM,STIC-SMPASFT100R1-E
FT-PHASN2-EM,PLU-PPBLANCT-X
FT-PHASN2-EM,BOTO-PETRF100C-X
FT-PHASN2-EM,FT-PHASN2-BULK
FT-PHASN2-EM,CAP-BSFT100-E
FT-PHASN2-EM,KB-EAR0-KMM125
ES-TGE-MO6G,STIC-BCESTGEMO-PW1W3
ES-TGE-MO6G,PO-TWCMOC105-9288T1P
ES-TGE-MO6G,STIC-BTESGER1-MOMSF
ES-TGE-MO6G,CONT-ESLB3MOASA-2PSC
ES-TGE-MO6G,KB-MOTWC3252-K150M12
ES-TGE-MO6G,PLAS-DMESBOR0-MO
ES-TGE-MO6G,KUAS-ESMO2KSNBR-THG
ES-TGE-MO6G,ES-SGOF2GRNFS-MO
ES-TGE-MO6G,ES-SGG2GRNFS-MO
ES-TGE-MO6G,ES-SGCY2GRNFS-MO
ES-TGE-MO6G,DUS-TESR2-MO
MY-BPRHEDT-KA,BP-RHEDT-BULK
MY-BPRHEDT-KA,BOTO-GEDTRO-K
MY-BPRHEDT-KA,PU-CEDT-K
MY-BPRHEDT-KA,PU-SEDT-K
MY-BPRHEDT-KA,CAP-PEDT-K
MY-BPRHEDT-KA,DUS-EDTROR0-K
MY-BPRHEDT-KA,STIC-PACMGR1-WM
MY-BPRHEDT-KA,KB-KAHFAR0-K
SRM-RLSAN2-W,TUBE-LSAR1-W
SRM-RLSAN2-W,SRM-LSA-BULK
SRM-RLSAN2-W,KB-GKMK-W
SRM-RLSAN2-W,PAP-LSAR0-WPETASTI
SRM-RLSAN2-W,PLAS-VCBSS-EPET
MY-FWLWFN2-W,FW-LWF-BULK
MY-FWLWFN2-W,TUBE-LWFF100R0-WPBL
MY-FWLWFN2-W,STIC-PAAR1-WM
MY-FWLWFN2-W,KB-WT100R1-KMM125BF
M-LNCN1-W,KB-WLS20R2-KMK125CF
M-LNCN1-W,DUS-LNC20RLR1-W
M-LNCN1-W,M-LNCN-BULK
M-LNCN1-W,TUBE-LNC20RLPBLOB-W
CUS-EFC01-W,CUS-EFC01-BULK
CUS-EFC01-W,CONT-ICEFCCR0-W
CUS-EFC01-W,CONT-REFCCR0-W
CUS-EFC01-W,CONT-EFCCR0-W
