"Product Korporat Code","BoM Lines/Product Template/Korporat Code"
"M-AGDC-BULK","FUCO-15PSLB-X"
,"PARF-FUN819-X"
,"PARS-1789-"
,"STEA-A-EST05M"
,"ACTI-MRV-X"
,"PROP-PGESK-X"
,"MATR-3000-X"
,"CETY---K"
,"ARLA-165--K"
,"PARS-5000-DSM"
,"SEPI-305-SF-K"
,"SILI-9546-EDC"
,"PEN-PRSVPE-X"
,"SILI-D2-TSFST-K"
,"ALAN-SL--X"
,"UVIN-MC80-BASF"
,"VITA-DL E-MS"
,"AIR-RO--L"
,"EDT-B--K"
,"FLMR-HYDTCM-X"
,"BIO-HYAL-BIL"
"SGL--BULK","SOLV-DEASB-X"
,"NIPA-G--K"
,"BAH-LUVIK30P-X"
,"POLY-MICOJ400-"
,"EMUL-DERMSOLP-"
,"AIR-RO--L"
,"PARF-CAEM1R101-PKG"
"CUS-IPE-BULK","ACTI-ECTC-X"
,"TIT-T85-X"
,"CRO1-ML-"
,"TITA-CROTS-X"
,"PR-ZPRDL-X"
,"SUNS-PEHS-X"
,"WARN-RED3AS-X"
,"WARN-BLCK3AS-X"
,"WARN-YLW3AS-X"
,"EMU-LEX7-X"
,"EDT-B--K"
,"UVIN-MC80-BASF"
,"AIR-RO--L"
,"GLYC--ECOS-K"
,"ALAN--AK-K"
,"SILI-MCMA-X"
,"SILI-KF54HV-X"
,"EMUL-KF6017-X"
,"SILI-BEL803-X"
,"THIC-RMGSO4-X"
,"PWD-SYS-X"
,"ORGA-EXD-ARK"
,"SILI-AXU3-X"
,"MOIS-TR100-X"
,"PEN-PRSVPE-X"
,"SILC-SP500LS-X"
,"PENG-SYM68-X"
,"PEN-SENSC50-X"
,"VITA-DL E-MS"
,"STEA-DSP300-X"
,"SILD--SI5H52D-K"
,"SILI-BDP-X"
,"BENT-BGVS5PC-X"
,"BIO-HYAL-BIL"
,"SILI-KFFA-X"
,"EMUL-KF68-X"
"F-LLF03-BULK","WARN-S12YL--K"
,"AIR-RO--L"
,"GLUZ-GLUZ-"
,"EDT-B--K"
,"VITA-DL E-MS"
,"SILD--SI5H52D-K"
,"OLIV-900BT-X"
,"EMO-SLCHS-X"
,"TOSP-2000B-X"
,"ALAN--AK-K"
,"WARN-S12RN217--K"
,"TIT-CR50HD-X"
,"WARN-TE--PBULK"
,"SILI-4515-"
,"SILI-BE6-X"
,"PEN-PRSVPE-X"
,"MOIS-TR100-X"
,"THIC-RMGSO4-X"
,"SILI-1202-"
,"SILI-D5225F-X"
,"PR-ZPRDL-X"
,"POLY-M-MP27-K"
,"SILI-SP105-X"
,"UVIN-MC80-BASF"
,"SILI-BPF-X"
,"VITA-B3PC-X"
"CUS-IPA-BULK","TIT-T85-X"
,"WARN-BLCK3AS-X"
,"THIC-RMGSO4-X"
,"UVIN-MC80-BASF"
,"BENT-BGVS5PC-X"
,"CRO1-ML-"
,"PWD-SYS-X"
,"ALAN--AK-K"
,"AIR-RO--L"
,"SILD--SI5H52D-K"
,"EMUL-KF6017-X"
,"EDT-B--K"
,"PENG-SYM68-X"
,"STEA-DSP300-X"
,"WARN-RED3AS-X"
,"VITA-DL E-MS"
,"PEN-SENSC50-X"
,"WARN-YLW3AS-X"
,"TITA-CROTS-X"
,"ORGA-EXD-ARK"
,"BIO-HYAL-BIL"
,"ACTI-ECTC-X"
,"SILI-AXU3-X"
,"EMU-LEX7-X"
,"MOIS-TR100-X"
,"SILI-MCMA-X"
,"GLYC--ECOS-K"
,"SILI-BEL803-X"
,"SILI-KF54HV-X"
,"SILI-BDP-X"
,"PR-ZPRDL-X"
,"SILI-KFFA-X"
,"PEN-PRSVPE-X"
,"SILC-SP500LS-X"
,"EMUL-KF68-X"
,"SUNS-PEHS-X"
"L-IMC005-BULK","ACTI-VEAC-X"
,"TITA-OTS2CR50-"
,"VCIP---K"
,"SILS-034-X"
,"DRYF-PC-X"
,"SILI-DCMQ1600-X"
,"BENT-BGVS5PC-X"
,"BENT-BGISDV-X"
,"COVA--"
,"EMO-BRB2835-X"
,"WARN-TPA502-X"
,"PARF-VMR-X"
,"NIPA-S--K"
,"WARN-C196619-R6-K"
,"COSM-222--K"
,"WARN-C335138--K"
,"PURO-IDD-X"
,"WAX-SBWX--X"
,"WARN-ABIO-X"
,"SILI-4515-"
"B-IPQSP14-BULK","SILI-SP105-X"
,"WARN-BLCK3AS-X"
,"TALC-C-2KPD-X"
,"POWD-TDMS-"
,"WARN-YLW3AS-X"
,"WARN-RED3ASTDMS-BULK"
,"VITA-DL E-MS"
,"AJID-ZN100-X"
,"TIT-CR50HD-X"
,"TALC-OSBRTPD-X"
,"PEN-PRSVPE-X"
,"HALL-BHB-X"
,"POWD-9701-"
,"UVIN-MC80-BASF"
,"TOSP-2000B-X"
,"SUNS-PTX-X"
,"SILD--SI5H52D-K"
,"AMH-LL-X"
,"ACTI-ECTC-X"
,"PEN-SENSC50-X"
,"PARF-A5961-X"
,"COSM-222--K"
"L-IMC011-BULK","SILS-034-X"
,"SILI-4515-"
,"SILI-DCMQ1600-X"
,"COSM-222--K"
,"WAX-SBWX--X"
,"PURO-IDD-X"
,"BENT-BGVS5PC-X"
,"BENT-BGISDV-X"
,"DRYF-PC-X"
,"PARF-VMR-X"
,"EMO-BRB2835-X"
,"COVA--"
,"NIPA-S--K"
,"VCIP---K"
,"ACTI-VEAC-X"
,"WARN-C335138--K"
,"WARN-C338--K"
,"TITA-OTS2CR50-"
,"WARN-TOA403-KF"
,"WARN-C19012-DCR6-K"
"B-PT03-BULK","TITA--3328EW-K"
,"POLY-M-MP27-K"
,"PEN-SENSC50-X"
,"SQUA-AMYR-X"
,"WARN-FW108S-X"
,"WARN-RED3ASTDMS-BULK"
,"WARN-BLCK3AS-X"
,"WARN-YLW3AS-X"
,"TIT-CR50HD-X"
,"POWD-TGDS-X"
,"PARF-AMSKLG-X"
,"PLAS-P-D400-K"
,"KAOL-JP100-X"
,"POWD-GHHDI-X"
,"PEN-PRSVPE-X"
,"ZINC-STW-X"
,"SILD--SI5H52D-K"
,"SERI-790-"
"L-IMC020-BULK","EMO-BRB2835-X"
,"COVA--"
,"SILI-DCMQ1600-X"
,"DRYF-PC-X"
,"VITA-DL E-MS"
,"BENT-BGVS5PC-X"
,"SILS-034-X"
,"WAX-SBWX--X"
,"COSM-222--K"
,"PURO-IDD-X"
,"BENT-BGISDV-X"
,"SILI-4515-"
,"TITA-OTS2CR50-"
,"WARN-ABIO-X"
,"VCIP---K"
,"WARN-C43001-MV-K"
,"NIPA-S--K"
,"WARN-C19011-R7CL-K"
,"PARF-VMR-X"
,"WARN-C394--K"
,"WARN-TOA403-KF"
"L-CM17-BULK","DRYF-PC-X"
,"BENT-BGVS5PC-X"
,"BENT-BGISDV-X"
,"PURO-IDD-X"
,"WAX-SBWX--X"
,"SILI-DCMQ1600-X"
,"SILS-034-X"
,"COSM-222--K"
,"SILI-DC-PSFCS-X"
,"VITA-DL E-MS"
,"WARN-C335138--K"
,"EMO-BRB2835-X"
,"PEN-PRSVPE-X"
,"COVA--"
,"TITA-OTS2CR50-"
,"WARN-C338--K"
,"PARF-VMR-X"
,"PEN-SENSC50-X"
,"WARN-C196619-R6-K"
,"WARN-ABIO-X"
,"WARN-C19012-DCR6-K"
"DDC-CDL-BULK","POLY-M-MP27-K"
,"ABIL-WE09-X"
,"GARA-RFS-X"
,"VITA-B3UPPC-X"
,"STEA-A-EST05M"
,"NT---K"
,"SUNS-PTX-X"
,"SILI-SF16-"
,"BENT-BGISDV-X"
,"EMU-PS-"
,"EMO-BRB2835-X"
,"SILI-FZ3196-X"
,"SILI-1202-"
,"BUTY--DAI1,3"
,"SILI-DC9045-X"
,"UVIN-MC80-BASF"
,"ACTI-VEAC-X"
,"SILI-DC749--X"
,"WARN-S12YL--K"
,"EDT-B--K"
,"TITA-OTS2CR50-"
,"AIR-RO--L"
,"VCIP---K"
,"WARN-TE--PBULK"
,"PEN-PRSVPE-X"
,"WARN-S12RN217--K"
,"OLIV-900BT-X"
,"BHT-CRTL-X"
,"ALAN--AK-K"
"CUS-IPF-BULK","EMU-LEX7-X"
,"TIT-T85-X"
,"EMUL-KF68-X"
,"CRO1-ML-"
,"SUNS-PEHS-X"
,"ORGA-EXD-ARK"
,"SILI-MCMA-X"
,"GLYC--ECOS-K"
,"SILC-SP500LS-X"
,"SILI-AXU3-X"
,"SILI-BEL803-X"
,"PEN-PRSVPE-X"
,"MOIS-TR100-X"
,"EMUL-KF6017-X"
,"PWD-SYS-X"
,"SILI-KF54HV-X"
,"THIC-RMGSO4-X"
,"PR-ZPRDL-X"
,"BIO-HYAL-BIL"
,"SILD--SI5H52D-K"
,"ACTI-ECTC-X"
,"PENG-SYM68-X"
,"PEN-SENSC50-X"
,"EDT-B--K"
,"ALAN--AK-K"
,"VITA-DL E-MS"
,"STEA-DSP300-X"
,"BENT-BGVS5PC-X"
,"UVIN-MC80-BASF"
,"AIR-RO--L"
,"SILI-KFFA-X"
,"WARN-BLCK3AS-X"
,"SILI-BDP-X"
,"WARN-YLW3AS-X"
,"TITA-CROTS-X"
,"WARN-RED3AS-X"
"MZ-M1W1-BULK","OIL-ORJVA-X"
,"BHT-CRTL-X"
,"PARF-EOMOD-X"
"L-CM14-BULK","COSM-222--K"
,"PURO-IDD-X"
,"BENT-BGVS5PC-X"
,"SILI-DC-PSFCS-X"
,"BENT-BGISDV-X"
,"WAX-SBWX--X"
,"SILI-DCMQ1600-X"
,"SILS-034-X"
,"WARN-C338--K"
,"WARN-C19011-R7CL-K"
,"COVA--"
,"DRYF-PC-X"
,"EMO-BRB2835-X"
,"WARN-C196619-R6-K"
,"WARN-TOA403-KF"
,"NIPA-S--K"
,"VITA-DL E-MS"
,"TITA-OTS2CR50-"
,"WARN-C335138--K"
,"PARF-VMR-X"
"FW-CD-BULK","EMUL-WFASA-X"
,"AIR-RO--L"
,"BENE-K200-X"
,"EDT-B--K"
,"PARF-SC2R151972-X"
,"PANT--DL-K"
,"EXTR-GS-"
,"MERQ-MQ550PP-X"
,"CUTI---K"
,"GLYC-MS-CGGMS N/EB25"
,"GLYC--ECOS-K"
,"KOH--PH-K"
,"STAY--DSMR-K"
,"PEN-PRSVPE-X"
,"OIL-OLV300-X"
,"EMUL-WLALA99-X"
,"AMI-GCK12K-"
,"MYRI-SOCI-X"
,"HUM-13BG-X"
"TC-R3LLF01-BULK","PEN-PRSVPE-X"
,"PARF-AMSKLG-X"
,"SILD--SI5H52D-K"
,"ACTI-VEAC-X"
,"WARN-BLCK3AS-X"
,"ASO--KB-K"
,"WARN-A407-X"
,"COSM-222--K"
,"SERI-TAS-KSP-X"
,"WARN-A450TDMS-BULK"
,"POLY-M-MP27-K"
,"TIT-CR50HD-X"
,"LAR-LICODDC-BULK"
,"POWD-MDMS-"
,"POWD-TDMS-"
,"EMO-BSLDMZ-X"
,"PEN-SENSC50-X"
"FA-CPFTSL-BULK","EXTR-JPBBR-X"
,"SILI-BELEG5-X"
,"MOIS-PRDSX-X"
,"EXTR-PCTGJ-X"
,"WARN-TMRD-X"
,"PR-ZPRDL-X"
,"STB-TL-X"
,"SILI-DCMQ1600-X"
,"SILI-BDP-X"
,"WARN-CLOG222--K"
,"EKS-FLAC-X"
,"AIR-RO--L"
,"EDT-B--K"
,"BENT-BGVS5PC-X"
,"SILI-MCMA-X"
,"EMUL-KF6017-X"
,"PENG-NPGEHP-X"
,"SILI-556-DC-K"
,"THIC-RMGSO4-X"
,"EMUL-KF68-X"
,"MOIS-TR100-X"
,"WARN-FW108S-X"
,"WARN-CSW-9000S-K"
,"VIT-ATCAT-X"
,"ALAN-SL--X"
,"WARN-GT0600--K"
,"OIL-OJJBIII-X"
"S-CSCB-BULK","AIR-RO--L"
,"VITA-B3PC-X"
,"SILI-CES1104-X"
,"SQUA-AMYR-X"
,"ACTI-SRCM-X"
,"ACTI-HXCTEC-X"
,"ACTI-IVLNC-X"
,"GLYC--ECOS-K"
,"AGF-9051-X"
,"EMO-ARLPS15E-X"
,"DPG-LO-"
,"ACTI-HDR-X"
,"PENG-PHC-X"
,"LAR-KOH30%-BULK"
,"ALAN-SL--X"
,"EMUL-PMLEZU-X"
,"PARF-C072-GIV"
,"EDT-B--K"
,"EXTR-LVDGE-X"
,"PARF-LVDMS-X"
,"BIO-HYAL-BIL"
"CUS-IPC-BULK","GLYC--ECOS-K"
,"CRO1-ML-"
,"TIT-T85-X"
,"EMUL-KF68-X"
,"SUNS-PEHS-X"
,"SILI-BDP-X"
,"AIR-RO--L"
,"PR-ZPRDL-X"
,"SILI-KFFA-X"
,"UVIN-MC80-BASF"
,"BENT-BGVS5PC-X"
,"EMU-LEX7-X"
,"WARN-BLCK3AS-X"
,"STEA-DSP300-X"
,"WARN-RED3AS-X"
,"VITA-DL E-MS"
,"PEN-PRSVPE-X"
,"PEN-SENSC50-X"
,"SILI-MCMA-X"
,"SILC-SP500LS-X"
,"EMUL-KF6017-X"
,"TITA-CROTS-X"
,"WARN-YLW3AS-X"
,"PENG-SYM68-X"
,"BIO-HYAL-BIL"
,"EDT-B--K"
,"ACTI-ECTC-X"
,"ALAN--AK-K"
,"SILD--SI5H52D-K"
,"SILI-KF54HV-X"
,"THIC-RMGSO4-X"
,"SILI-AXU3-X"
,"MOIS-TR100-X"
,"ORGA-EXD-ARK"
