FACTORY,ITEM CODE / BESAR BATCH,PROCESS TYPE,ROUTING TYPE,ITEM CODE,REFILL CODE,BULK CODE,ITEM NAME,REFILL NAME,BULK NAME,BULK SIZE PRIORITY,NUMBER OF COMPONENT,FM BULK SIZE (KG),MPQ OLAH (KG),MPQ SUPPLY KUNCI (KG),MPQ KEMAS (PCS),MPQ SUPPLY LOG (PCS),OUTPUT PRESSING (PCS/MIN),OUTPUT LABELLING (PCS/MIN),OUTPUT FILLING (PCS/MIN),OUTPUT FILLING/PACKING (PCS/MIN),LINE CODE WEIGHING,LINE CODE PREMIX,LINE CODE MILLING,LINE CODE MIXING,LINE CODE GRINDING,LINE CODE ADJUST,LINE CODE QC BULK,LINE CODE SIEVING,LINE CODE LABELLING,LINE CODE PRESSING,LINE CODE FILLING,LINE CODE FILLING/PACKING,LEADTIME WEIGHING (MIN),LEADTIME PREMIX (HOUR),LEADTIME MILLING (HOUR),LEADTIME MIXING (HOUR),LEADTIME GRINDING (HOUR),LEADTIME ADJUST (HOUR),LEADTIME QC BULK (HOUR),LEADTIME SIEVING (HOUR),LEADTIME LABELLING (HOUR),LEADTIME PRESSING (HOUR),LEADTIME FILLING (HOUR),LEADTIME FILLING/PACKING (HOUR),LEADTIME QC FG (HOUR),LEADTIME KARANTINA (HOUR),TOTAL LEADTIME (DAYS),JUMLAH OPERATOR WEIGHING,JUMLAH OPERATOR PREMIX,JUMLAH OPERATOR MILLING,JUMLAH OPERATOR MIXING,JUMLAH OPERATOR GRINDING,JUMLAH OPERATOR QC BULK,JUMLAH OPERATOR SIEVING,JUMLAH OPERATOR LABELLING,JUMLAH OPERATOR PRESSING,JUMLAH OPERATOR FILLING,JUMLAH OPERATOR FILLING/PACKING,STATUS PEARLIZE,PDT PREMIX CUCI KASAR (HOUR),PDT PREMIX CUCI BERSIH (HOUR),PDT MILLING CUCI KASAR (HOUR),PDT MILLING CUCI BERSIH (HOUR),PDT MIXING CUCI KASAR (HOUR),PDT MIXING CUCI BERSIH (HOUR),PDT GRINDING CUCI KASAR (HOUR),PDT GRINDING CUCI BERSIH (HOUR),SET UP MESIN AWAL (MIN),SET UP MESIN LANJUTAN (MIN),PERSIAPAN (MIN),HELLOM TIME (MIN),GANTI KAIN (MIN),BBM (MIN),CHANGE OVER (MIN),CUCI MESIN (MIN),PENCAIRAN BULK (MIN),WARNA BULK,ASUMSI JUMLAH SHIFT,PDT TANPA CO (HOUR),PDT DENGAN CO (HOUR),LEADTIME KOTOR PREMIX (HOUR),LEADTIME KOTOR MILLING (HOUR),LEADTIME KOTOR MIXING (HOUR),LEADTIME KOTOR LABELLING (HOUR),LEADTIME KOTOR PRESSING (HOUR),LEADTIME KOTOR FILLING (HOUR),LEADTIME KOTOR FILLING/PACKING (HOUR),SHRINK MACHINE,LAST MODIFIED ON,LAST MODIEFIED BY,NOTES
JTK02,CUS-REFIPRVF-W/50,STD,LR04,CUS-REFIPRVF-W,,CUS-IPF-BULK,Instaperfect Refill Skincover Air Cushion 52 Almond 11 g,,Instaperfect Skincover Air Cushion 52 Almond,SECONDARY_LINE,1,50,50,43,3083,3180,,,,13,LWE01,,LRM01,LVL05,,LVL05,QC BULK,,,,,CUP01,60,,5,5,,3,1,,,,,3.9525641025641,0.3,2,5,,,,,,1,,,,,12,-,,,0,1.5,0,2.5,,,30,0,0,10,0,0,0,60,0,gelap,0,1.66666666666667,1.66666666666667,,6.5,7.5,,,,5.61923076923077,No,2022-05-25 08:47,Dhyah Ayu Saraswati Devany,Item tidak memiliki konfigurasi Nominal Line
JTK02,CUS-REFIPRVF-W/30,STD,LR04,CUS-REFIPRVF-W,,CUS-IPF-BULK,Instaperfect Refill Skincover Air Cushion 52 Almond 11 g,,Instaperfect Skincover Air Cushion 52 Almond,SECONDARY_LINE,1,30,30,23,1416,1460,,,,13,LWE01,,LRM01,LVL05,,LVL05,QC BULK,,,,,CUP01,60,,4,4,,3,1,,,,,1.81538461538462,0.3,2,5,,,,,,1,,,,,12,-,,,0,1.5,0,2.5,,,30,0,0,10,0,0,0,60,0,gelap,0,1.66666666666667,1.66666666666667,,5.5,6.5,,,,3.48205128205128,No,2022-05-25 08:47,Dhyah Ayu Saraswati Devany,Item tidak memiliki konfigurasi Nominal Line
JTK04,F-RECF01-W/40,STD,SR09,F-RECF01-W,,F-RECF01-BULK,Wardah Exclusive Creamy Foundation 01 Light Beige 12 g,,Wardah Exclusive Creamy Foundation 01 Light Beige,SECONDARY_LINE,1,40,40,38.5,3020,3070,,,,8,SWE01,SPM07D,SRM07,SDM03,,SDM03,QC BULK,,,,,FOP03,60,1,1.75,3.5,,2,0.5,,,,,6.29166666666667,0.5,2,5,2,1,1,1,,1,,,,,5,-,0,0.5,0,0.5,0,1,,,0,0,5,10,0,0,0,0.25,0,-,0,0.254166666666667,0.254166666666667,1.5,2.25,4.5,,,,6.54583333333333,No,2022-08-04 14:18,Widara Novianti,Item tidak memiliki konfigurasi Nominal Line
JTK04,F-RECF01-W/20,STD,SR09,F-RECF01-W,,F-RECF01-BULK,Wardah Exclusive Creamy Foundation 01 Light Beige 12 g,,Wardah Exclusive Creamy Foundation 01 Light Beige,SECONDARY_LINE,1,20,20,19,1440,1464,,,,8,SWE01,SPM07D,SRM07,SDM06,,SDM06,QC BULK,,,,,FOP03,90,1.25,3,3.5,,2,0.5,,,,,3,0.5,2,5,2,1,1,1,,1,,,,,5,-,0,0.25,0,0.5,0.5,1,,,0,0,5,10,0,0,0,0.25,0,-,0,0.254166666666667,0.254166666666667,1.5,3.5,4.5,,,,3.25416666666667,No,2022-08-04 14:18,Widara Novianti,Item tidak memiliki konfigurasi Nominal Line
JTK02,HC-P1A2-P450/1000,STD,LR15,HC-P1A2-P450,,HC-A2-BULK,Putri Pure Clean Hair Conditioner Apple 450 ML (Pc(s)),,Bulk Hair Conditioner Apple,SECONDARY_LINE,1,1000,1000,1000,2173,2273,,,,15,LWE01,,,LVB01,,LVB01,QC BULK,,,,,EMP02,35,,,4.5,,0,1,,,,,2.41444444444444,0.3,2,4,,,,,,1,,,,,5,-,,,,,0,1.5,,,40,0,0,10,0,0,15,50,0,terang,1,1.66666666666667,1.91666666666667,,,6,,,,3.49777777777778,No,2022-03-22 16:14,OdooBot,Item tidak memiliki konfigurasi Nominal Line
JTK02,HC-P1A2-P450/1000,STD,LR15,HC-P1A2-P450,,HC-A2-BULK,Putri Pure Clean Hair Conditioner Apple 450 ML (Pc(s)),,Bulk Hair Conditioner Apple,SECONDARY_LINE,1,1000,1000,1000,2173,2273,,,,20,LWE01,,,LVB01,,LVB01,QC BULK,,,,,BOP09B,35,,,4.5,,0,1,,,,,1.81083333333333,0.3,2,4,,,,,,1,,,,,5,-,,,,,0,1.5,,,40,0,0,10,0,0,15,50,0,terang,1,1.66666666666667,1.91666666666667,,,6,,,,3.4775,No,2022-03-22 16:14,OdooBot,Item tidak memiliki konfigurasi Nominal Line
JTK04,L-SLWCL-W/200,STD,SR09,L-SLWCL-W,,L-SLWCL-BULK,Wardah Colorfit Last All Day Lip Paint 05 Stay Russet 4.2 g,,Wardah Colorfit Last All Day Lip Paint 05 Stay Russet,SECONDARY_LINE,1,200,200,197,46512,46745,,,,36,SWE01,SPM09D,SRM08,SVB05,,SVB05,QC BULK,,,,,BTP03,90,1.5,3,6,,5,0.5,,,,,21.5333333333333,2,14,5,2,1,1,1,,1,,,,,9,-,0,0.5,0,1,0,3.5,,,0,0,5,10,0,0,0,0.25,0,-,0,0.254166666666667,0.254166666666667,2,4,9.5,,,,21.7875,No,2022-08-05 00:36,Tiara Kristin,Item tidak memiliki konfigurasi Nominal Line
JTK02,M-RPBSPF-W20ML/1000,STD,LR15,M-RPBSPF-W20ML,,M-RPBS25-BULK,Wardah Perfect Bright Moisturizer SPF 28 20 ml,,Perfect Bright Moisturizer SPF 28 Bulk,SECONDARY_LINE,1,1000,1000,980,0,0,,,,0,LWE01,,,LVB01,,LVB01,QC BULK,,,,,COSMAX,90,,,5.5,,0,1,,,,,,0.3,2,9,,,,,,1,,,,,,-,,,,,0,2.5,,,0,0,0,0,0,0,0,0,0,terang,0,0,0,,,8,,,,,No,2022-07-15 00:11,OdooBot,Item tidak memiliki konfigurasi Nominal Line
JTK01,B-ESFBBLP-W8GR/18,STD,PR01,B-ESFBBLP-W8GR,,B-ESFBBLP-BULK,Wardah Everyday Shine Free BB Loose Powder 8 gr (Pc(s)),,Everyday Shine Free BB Loose Powder,NOMINAL_LINE,1,18,18,18,2106,2169,,,,16,PWE01,,,PSM06,PVT06,PSM06,QC BULK,RUSSEL02,,,,LPP02,40,,,2.75,3,0,0.5,1,,,,2.19375,0.5,0,5,2,,,1,1,1,1,,,,8,Non Pearlize,,,,,0.5,1,0.5,0.75,15,0,5,0,0,5,0,30,0,-,0,0.916666666666667,0.916666666666667,,,3.75,,,,3.11041666666667,No,2022-09-02 08:12,Anisa Masrucha Utami,
JTK02,EL-PPLCB-MO2.7G/5,STD,LR01,EL-PPLCB-MO2.7G,,EL-PPLCB-BULK,MAKE OVER Powerstay Precision Liquid Liner Cobalt Blue 2.7 g,,Powerstay Precision Liquid Liner Cobalt Blue,NOMINAL_LINE,1,5,5,4.5,1660,1760,,,10,,LWE02,,,LMM01,,LMM01,QC BULK,,,,EMP15,,45,,,4,,1.5,1,,,,2.76666666666667,,0.3,2,5,,,,,,1,,,,8,,-,,,,,0,0,,,30,0,0,10,0,0,0,40,0,gelap,0,1.33333333333333,1.33333333333333,,,4,,,4.1,,No,2022-08-25 02:59,Fawziah Ghina Saraswati,
