date_correction,snfg,fg_name,sisa_bulk,overfill,loading_unloading_loss,loss,brand,coitem,line,netto,netto_min
2022-01-15,LT-MP05-EM/H0001,EMINA MAGIC POTION 05 SUMMER 5.5 ML,0,0,3,UPSTREAM LOSS,EMINA,LT-MP05-EM,LMX01,,
2022-01-07,2PR--MO100ML/H0001,MAKE OVER MAKE UP REMOVER 100 ML (PC(S)),0,0,0.8,UPSTREAM LOSS,MAKE OVER,2PR--MO100ML,LMX02,,
2022-01-07,2PR--MO100ML/H0001,MAKE OVER MAKE UP REMOVER 100 ML (PC(S)),0,0,1,UPSTREAM LOSS,MAKE OVER,2PR--MO100ML,LMM01,,
2022-01-17,A-DM-W40ML/H0002,WARDAH ACNEDERM DAY MOISTURIZER 40 ML (PC(S)),0,0,20,UPSTREAM LOSS,WARDAH,A-DM-W40ML,Select Line,,
2022-01-17,A-DM-W40ML/H0001,WARDAH ACNEDERM DAY MOISTURIZER 40 ML (PC(S)),0,0,25,UPSTREAM LOSS,WARDAH,A-DM-W40ML,LVB04,,
2022-01-27,A-DM-W40ML/H0005,WARDAH ACNEDERM DAY MOISTURIZER 40 ML (PC(S)),0,0,20,UPSTREAM LOSS,WARDAH,A-DM-W40ML,LVB05,,
2022-01-27,A-DM-W40ML/H0006,WARDAH ACNEDERM DAY MOISTURIZER 40 ML (PC(S)),0,0,18,UPSTREAM LOSS,WARDAH,A-DM-W40ML,LVB03,,
2022-01-18,A-DM-W40ML/H0003,WARDAH ACNEDERM DAY MOISTURIZER 40 ML (PC(S)),0,0,22,UPSTREAM LOSS,WARDAH,A-DM-W40ML,LVB04,,
2022-01-26,A-DM-W40ML/H0004,WARDAH ACNEDERM DAY MOISTURIZER 40 ML (PC(S)),0,0,19,UPSTREAM LOSS,WARDAH,A-DM-W40ML,LVB04,,
2022-01-17,A-DM-W40ML/H0001,WARDAH ACNEDERM DAY MOISTURIZER 40 ML (PC(S)),0,107.54,2.03,DOWNSTREAM LOSS,WARDAH,A-DM-W40ML,TUP09,0.042,0.03732
2022-01-17,A-DM-W40ML/H0002,WARDAH ACNEDERM DAY MOISTURIZER 40 ML (PC(S)),0,67.56,54.83,DOWNSTREAM LOSS,WARDAH,A-DM-W40ML,TUP09,0.04026,0.03732
2022-01-18,A-DM-W40ML/H0003,WARDAH ACNEDERM DAY MOISTURIZER 40 ML (PC(S)),0,104.18,41.06,DOWNSTREAM LOSS,WARDAH,A-DM-W40ML,TUP09,0.042,0.03732
2022-01-26,A-DM-W40ML/H0004,WARDAH ACNEDERM DAY MOISTURIZER 40 ML (PC(S)),0,61.69,33.62,DOWNSTREAM LOSS,WARDAH,A-DM-W40ML,TUP09,0.04208,0.03732
2022-01-27,A-DM-W40ML/H0005,WARDAH ACNEDERM DAY MOISTURIZER 40 ML (PC(S)),0,63.26,20.76,DOWNSTREAM LOSS,WARDAH,A-DM-W40ML,TUP09,0.04208,0.03732
