"Korporat Code","Material Type","General Subcategory","General Accountable State","General State","Rnd Process State","Ppc State","Rnd State","Lifecycle State"
"LD-CDFB01-B","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Draft","Confirmed"
"P-RAM1-BD","Finished Goods","Sellable","Waiting for Approval","Waiting for Approval","Confirmed","Draft","Confirmed","Confirmed"
"P-RAM2-BD","Finished Goods","Sellable","Waiting for Approval","Waiting for Approval","Confirmed","Draft","Confirmed","Confirmed"
"P-RAM3-BD","Finished Goods","Sellable","Waiting for Approval","Waiting for Approval","Confirmed","Draft","Confirmed","Confirmed"
"P-RCM1-BD","Finished Goods","Sellable","Waiting for Approval","Waiting for Approval","Confirmed","Draft","Confirmed","Confirmed"
"P-RCM2-BD","Finished Goods","Sellable","Waiting for Approval","Waiting for Approval","Confirmed","Draft","Confirmed","Confirmed"
"P-RCM3-BD","Finished Goods","Sellable","Waiting for Approval","Waiting for Approval","Confirmed","Draft","Confirmed","Confirmed"
"P-RCM4-BD","Finished Goods","Sellable","Waiting for Approval","Waiting for Approval","Confirmed","Draft","Confirmed","Confirmed"
"P-RHLM1-BD","Finished Goods","Sellable","Waiting for Approval","Waiting for Approval","Confirmed","Draft","Confirmed","Confirmed"
"P-RHLM2-BD","Finished Goods","Sellable","Waiting for Approval","Waiting for Approval","Confirmed","Draft","Confirmed","Confirmed"
"P-RHLM3-BD","Finished Goods","Sellable","Waiting for Approval","Waiting for Approval","Confirmed","Draft","Confirmed","Confirmed"
"P-RHLM4-BD","Finished Goods","Sellable","Waiting for Approval","Waiting for Approval","Confirmed","Draft","Confirmed","Confirmed"
"P-BA-L","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"P-ETNYAP-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Draft","Confirmed"
"P-ETNYAY-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Draft","Confirmed"
