"Last Updated on","Created on","Internal Reference","Korporat Code","Name","Material Type","Unit of Measure/Display Name","Netto Claim","Netto Claim UOM/Display Name","Gross Weight","Master Box - Quantity","Pallet - Quantity","Trolly - Quantity","General Subcategory/Display Name","Brand/Display Name","Lifecycle","Factory/Display Name","Subcategory/Display Name","Format/Display Name","Variant/Display Name","Brand ABC Class","XYZ Class","Destination","Copackaging Routing Type/Display Name","Shrink machine","FG Brand Position/Display Name","Freeze Status","Shelf Life Year","Shelf Life Month","Production Start Date","Distribution Start Date","Purchase Start Date","Net Weight"
"2022-08-02 02:46:43","2022-01-20 02:45:23","04616","LD-CDFB01-B","Beyondly Fitclair Collagen Drink","Finished Goods","Pc(s)","375.0","ml","0.0","0","0","0","Sellable","Beyondly","new product","JTK06","SUPPLEMENT NUTRITION DRINK","LIQUID","BEYONDLY FITBRIGHT COLLAGEN DRINK","A","X","Local","","","MASSTIGE","","0","0.0","2022-05-09","2022-11-14","","0.0"
"2022-08-02 02:54:04","2022-02-17 09:40:33","04674","P-BA-L","Birthday Package A","Finished Goods","Pc(s)","0.0","g","0.0","0","0","0","Sellable","Labore","new product","JTK06","","","","A","X","Local","","","","","3","0.0","2022-07-18","2022-08-15","","0.0"
"2022-08-02 02:52:45","2021-04-22 02:19:24","01839","CUS-BWM01-EM","Emina Bare With Me Mineral Cushion 01 Light 15 g","Finished Goods","Pc(s)","15.0","g","71.64","0","0","0","Sellable","Emina","to be discontinued","JTK06","FACE MAKE UP","CUSHION","EMINA BARE WITH ME MINERAL CUSHION","B","X","Local","OEMNDC","","MASS","","2","0.0","","","","15.0"
"2022-08-02 02:52:42","2021-04-22 02:19:25","01840","CUS-BWM02-EM","Emina Bare With Me Mineral Cushion 02 Natural 15 g","Finished Goods","Pc(s)","15.0","g","71.64","0","0","0","Sellable","Emina","to be discontinued","JTK06","FACE MAKE UP","CUSHION","EMINA BARE WITH ME MINERAL CUSHION","B","Y","Local","OEMNDC","","MASS","","2","0.0","","","","15.0"
"2022-08-02 02:52:48","2021-04-22 02:19:26","01841","CUS-BWM03-EM","Emina Bare With Me Mineral Cushion 03 Caramel 15 g","Finished Goods","Pc(s)","15.0","g","71.64","0","0","0","Sellable","Emina","to be discontinued","JTK06","FACE MAKE UP","CUSHION","EMINA BARE WITH ME MINERAL CUSHION","C","Y","Local","OEMNDC","","MASS","","2","0.0","","","","15.0"
"2022-08-02 02:54:54","2022-05-30 08:51:20","04804","P-BSFSBSFW-EM","Emina Bundling Bright Stuff Face Scrub 50 ml + Emina Bright Stuff Face Wash 50 ml","Finished Goods","Pc(s)","0.0","g","0.0","0","0","0","Sellable","Emina","new product","JTK06","","","","A","X","Local","","","","","3","0.0","","","","0.0"
"2022-08-02 02:53:51","2022-05-30 08:49:07","04803","P-BSFSSBAT30-EM","Emina Bundling Bright Stuff Face Scrub 50 ml + Emina Sun Battle SPF 30 PA+++ 60 ml","Finished Goods","Pc(s)","0.0","g","0.0","0","0","0","Sellable","Emina","new product","JTK06","","","","A","X","Local","","","","","3","0.0","","","","0.0"
"2022-08-04 07:12:33","2021-09-23 02:34:17","04079","CUS-RVPDMCC21-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion C21 Pink Ivory 15 g Relaunch","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-12-04","2022-03-14","2021-12-03","15.0"
"2022-08-04 07:12:34","2021-09-23 02:33:14","04078","CUS-RVPDMCC51-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion C51 Cool Tan 15 g Relaunch","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK02","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-12-04","2022-03-14","2021-12-03","15.0"
"2022-08-04 07:12:35","2021-09-23 01:57:07","04073","CUS-RVPDMCN10-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion N10 Marble 15 g Relaunch","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-12-04","2022-03-14","2021-12-03","15.0"
"2022-08-04 07:12:35","2021-09-23 01:59:39","04075","CUS-RVPDMCN30-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion N30 Natural Beige 15 g Relaunch","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-12-04","2022-03-14","2021-12-03","15.0"
"2022-08-04 07:12:36","2021-09-23 02:31:56","04077","CUS-RVPDMCN50-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion N50 Tan 15 g Relaunch","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-12-04","2022-03-14","2021-12-03","15.0"
"2022-08-04 07:12:38","2021-09-23 01:58:12","04074","CUS-RVPDMCW22-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion W22 Warm Ivory 15 g Relaunch","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-12-04","2022-03-14","2021-12-03","15.0"
"2022-08-04 07:12:38","2021-09-23 02:36:24","04081","CUS-RVPDMCW30-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion W30 Creme Beige 15 g Relaunch","Finished Goods","Pc(s)","15.0","g","66.9","48","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-12-04","2022-03-14","2021-12-03","15.0"
"2022-08-04 07:12:39","2021-09-23 02:35:33","04080","CUS-RVPDMCW33-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion W33 Honey Beige 15 g Relaunch","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-12-04","2022-03-14","2021-12-03","15.0"
"2022-08-04 07:12:39","2021-09-23 02:37:26","04082","CUS-RVPDMCW41-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion W41 Coral Sand 15 g Relaunch","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-07-09","2022-03-14","2021-07-08","15.0"
"2022-08-04 07:12:39","2021-09-23 02:00:40","04076","CUS-RVPDMCW42-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion W42 Warm Sand 15 g Relaunch","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-12-04","2022-03-14","2021-12-03","15.0"
"2022-08-02 02:53:22","2021-08-04 02:49:01","03856","ES-PEPFTG-MO","Make Over Powerstay Eye Palette Futurist Gleam 12 x 1.5 g","Finished Goods","Pc(s)","18.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","EYE MAKE UP","EYE PALETTE","MAKE OVER POWERSTAY EYE SHADOW PALETTE","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2022-04-23","2023-01-16","2022-04-22","18.0"
"2022-08-02 02:53:23","2021-08-04 02:47:33","03855","ES-PEP24K-MO","Make Over Powerstay Eye Palette Hall Of Stars 12 x 1.5 g","Finished Goods","Pc(s)","18.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","EYE MAKE UP","EYE PALETTE","MAKE OVER POWERSTAY EYE SHADOW PALETTE","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2022-04-23","2023-01-16","2022-04-22","18.0"
"2022-08-04 06:58:32","2021-10-22 04:31:18","04439","MY-FTBSE-EM","Malaysia Emina Bright Stuff Exfoliating Toner 100 ml","Finished Goods","Pc(s)","100.0","ml","0.0","24","0","0","Sellable","Emina","inactive","JTK06","","","","A","X","Eksported","STD","","","","3","0.0","2022-10-10","2022-11-07","2022-07-12","104.0"
"2022-07-15 09:42:21","2021-10-22 04:32:28","04440","MY-MBSNC-EM","Malaysia Emina Bright Stuff Night Cream 20 g","Finished Goods","Pc(s)","20.0","g","0.0","0","0","0","Sellable","Emina","inactive","JTK06","","","","A","X","Eksported","STD","","","","3","0.0","2022-08-15","2022-11-07","2022-07-12","20.0"
"2022-06-08 04:35:44","2021-04-22 02:42:10","03078","MY-BRUSEBS-EM","Malaysia Emina Brush Set (Set)","Finished Goods","Pc(s)","1.0","g","0.0","16","0","0","Sellable","Emina","existing","JTK06","MAKE UP TOOLS","BRUSH","EMINA MALAYSIA BRUSH SET","B","X","Eksported","STD","","MASS","","0","0.0","2021-05-17","2021-06-06","2021-04-13","1.0"
"2022-08-05 04:25:36","2022-07-12 05:49:49","04990","MY-SRMCDSI-W","Malaysia Wardah C-Defense Serum 17 ml","Finished Goods","Pc(s)","17.0","ml","0.0","0","0","0","Sellable","Wardah","new product","JTK02","FACE MOISTURIZER","SERUM","WARDAH MALAYSIA C-DEFENSE SERUM","A","X","Eksported","STD","","MASS","","0","0.0","","","","0.0"
