"Korporat Code","Material Type","General Subcategory","General Accountable State","General State","Rnd Process State","Ppc State","Rnd State","Lifecycle State"
"BOTP-NLREV2450-P","Intermediate","Intermediate Pack","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"BOTS-NBHO30-K","Intermediate","Intermediate Pack","Confirmed","Confirmed","Draft","Confirmed","Draft","Draft"
"BOTS-PLGMR1-MO","Intermediate","Intermediate Pack","Confirmed","Confirmed","Waiting for Approval","Draft","Draft","Confirmed"
"BOTS-PWCM42R2-MO","Intermediate","Intermediate Pack","Confirmed","Confirmed","Waiting for Approval","Draft","Draft","Confirmed"
"BOTP-WEIMLR0-IP","Intermediate","Intermediate Pack","Confirmed","Confirmed","Confirmed","Draft","Draft","Draft"
"BOTP-MLMPR0-IP","Intermediate","Intermediate Pack","Confirmed","Confirmed","Confirmed","Draft","Draft","Draft"
"WARN-CBRRT-BULK","Intermediate","Intermediate Bulk","Confirmed","Confirmed","Confirmed","Draft","Draft","Draft"
"CONP-EFCCR0-W","Intermediate","Intermediate Pack","Confirmed","Confirmed","Confirmed","Draft","Draft","Draft"
"DUSS-CSBANC15-W","Intermediate","Intermediate Pack","Waiting for Approval","Waiting for Approval","Confirmed","Confirmed","Draft","Draft"
"DUSS-EBBCL15C-W","Intermediate","Intermediate Pack","Confirmed","Confirmed","Waiting for Approval","Draft","Draft","Confirmed"
"DUSS-EBBCL30C-W","Intermediate","Intermediate Pack","Confirmed","Confirmed","Waiting for Approval","Draft","Draft","Confirmed"
"DUSS-EBBCN15C-W","Intermediate","Intermediate Pack","Confirmed","Confirmed","Waiting for Approval","Draft","Draft","Confirmed"
"DUSS-EBBCN30C-W","Intermediate","Intermediate Pack","Confirmed","Confirmed","Waiting for Approval","Draft","Draft","Confirmed"
"DUSS-HROG17R0-W","Intermediate","Intermediate Pack","Confirmed","Confirmed","Confirmed","Draft","Draft","Confirmed"
"SAMP-LARC23A204-DCR17-X","Intermediate","Intermediate Bulk","Confirmed","Confirmed","Confirmed","Draft","Draft","Draft"
"CONP-PSEFCCR0-W","Intermediate","Intermediate Pack","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"TUBC-LLF01-W","Intermediate","Intermediate Pack","Confirmed","Confirmed","Confirmed","Draft","Draft","Draft"
"TUBF-UVSSG30-W","Intermediate","Intermediate Pack","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"TUBF-LSA8-W","Intermediate","Intermediate Pack","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"TUBF-NFSPBCFBO-W","Intermediate","Intermediate Pack","Confirmed","Confirmed","Draft","Confirmed","Draft","Draft"
"TUBS-KLDG20-W","Intermediate","Intermediate Pack","Confirmed","Confirmed","Confirmed","Draft","Draft","Draft"
