"Created on","Last Updated on","Internal Reference","Name","Unit of Measure/Display Name","Material Type","General Subcategory/Display Name","Brand/Display Name","Factory/Display Name","NFG Type/Display Name","Bulk status","Shelf Life Year","Shelf Life Month"
"2021-12-02 03:19:21","2022-08-02 03:46:25","BOTP-NLREV2450-P","BOTP Putri PRO Netlot 450 R2","Pc(s)","Intermediate","Intermediate Pack","Putri","","BOTPRINT","","0","0.0"
"2021-11-12 02:41:28","2022-08-02 02:27:46","BOTS-NBHO30-K","Botol Sticker NBH Oil 30 K","Pc(s)","Intermediate","Intermediate Pack","Kahf","JTK02","BOTSTK","","0","0.0"
"2022-06-30 08:38:22","2022-07-20 06:28:17","BOTP-WEIMLR0-IP","Bottle Printing + Wiper EIM Liquid Instaperfect,3 Pass Digital Printed","Pc(s)","Intermediate","Intermediate Pack","Instaperfect","JTK04","BOTPRINT","","0","0.0"
"2022-06-30 08:39:17","2022-07-22 01:56:50","BOTP-MLMPR0-IP","Bottle Printing Mattesetter Lip Matte Paint Instaperfect,3 Pass Digital Printed","Pc(s)","Intermediate","Intermediate Pack","Instaperfect","JTK04","BOTPRINT","","0","0.0"
"2021-06-28 04:41:26","2022-08-02 03:27:36","WARN-CBRRT-BULK","Color Base Red Russet","g","Intermediate","Intermediate Bulk","","JTK04","BULK ANTARA","New","0","3.0"
"2022-06-29 01:58:59","2022-06-29 02:36:32","CONP-EFCCR0-W","Container Printing Exclusive Flawless Cover Cushion Wardah,3 Pass Digital Printed","Pc(s)","Intermediate","Intermediate Pack","Wardah","","CONTPRINT","","0","0.0"
"2021-07-06 01:00:31","2022-08-02 03:11:49","SAMP-LARC23A204-DCR17-X","Larutan Sampel C23-A204 SunCROMA® D&C Red 17","g","Intermediate","Intermediate Bulk","","JTK02","BULK ANTARA","New","0","1.0"
"2022-07-12 02:13:23","2022-07-12 02:36:06","CONP-PSEFCCR0-W","PS Container Printing Exclusive Flawless Cover Cushion W,Digital Printed by PTI","Pc(s)","Intermediate","Intermediate Pack","Wardah","","CONTPRINT","","0","0.0"
"2021-10-05 09:20:42","2022-06-06 13:42:49","TUBC-LLF01-W","Tube Capped LLF 01 W","Pc(s)","Intermediate","Intermediate Pack","Wardah","JTK02","TUBE STICKER","","0","0.0"
"2021-08-26 08:15:56","2022-08-02 03:17:53","TUBF-UVSSG30-W","Tube FIlliing UVSE Sunscreen Gel SPF 30 W","Pc(s)","Intermediate","Intermediate Pack","Wardah","","TUBE FILLING","","0","0.0"
"2021-08-26 08:19:27","2022-08-02 04:18:51","TUBF-LSA8-W","Tube FIlling Lightening Serum Ampoule 8 W","Pc(s)","Intermediate","Intermediate Pack","Wardah","","TUBE FILLING","","0","0.0"
"2021-04-21 02:19:02","2022-08-02 03:48:03","TUBF-NFSPBCFBO-W","Tube Filling NFS PBCFB Oil Control 15 W","Pc(s)","Intermediate","Intermediate Pack","Wardah","JTK02","TUBE FILLING","","0","0.0"
