"Korporat Code","Factory","Lifecycle"
"HJ-P-BULK","JTK02",""
"MC-P-BULK","JTK02",""
"PUS-1P-BULK","JTK02",""
"PUS-2P-BULK","JTK02",""
"PUS-PL-BULK","JTK02",""
"S-LB-BULK","JTK02",""
"SUNS-GS-30NP-BULK","JTK02",""
"SOLV-BGKHN-X","","initial"
"BUTY--DAI1,3","",""
"HUM-13BG-X","",""
"OIL-O-POAS-CAN","",""
"PEN-PRSVPE-X","",""
"SOLV-2PEEPH-MO","",""
"PARF-256BU-X","",""
"FM-2IN1S-BULK","JTK02",""
"WARN-BB--K","",""
"KATI-JGRC14-X","",""
"PARF-819EC-X","",""
"SAMP-8HTS-X","",""
"POWD-HTTS-X","",""
"WARN-COGR--K","",""
"WARN-COGO--K","",""
"WARN-COGJ--K","",""
"WARN-CLRG-X","",""
"SCRU-HAL617-X","",""
"WARN-TP-","",""
"SERI-A790TS-X","",""
"SAMP-AA2G-X","","initial"
"HYA-AC511H-X","",""
"ACTI-AGTV-X","","initial"
"PARF-AGLD3-X","","initial"
"AMP-95--K","",""
"SURF-ASCO35-X","","initial"
"ASO--KB-K","",""
"LAR-ATGPUS-BULK","JTK02",""
"VITC-ASYA-X","",""
"ABIL-EM90-X","",""
"ABIL-WE09-X","",""
"ABIL-W9801-X","",""
"WAX-ABWAX-X","",""
"ACTI-ACNET-X","",""
"A-W1MG-W40 ML","JTK02","inactive"
"A-DM-BULK","JTK02",""
"A-FPW3-BULK","JTK01",""
"A-NTM-BULK","JTK02",""
"THIC-ACP9L-X","",""
"EMU-ACT-X","",""
"EKS-ACFPH-X","",""
"EXTR-CRBAC-X","",""
"ACTM-CTLA-X","",""
"ACTI-AICE06-X","","initial"
"SAMP-ACE06-X","",""
"ACTM-Q10-X","",""
"ACTM-WHTL-X","",""
"ACTI-ADNL-X","",""
"ACTI-ADPL-X","",""
"SILC-AERSLR-X","","initial"
"AGF-9051-X","",""
"AIR-RO--L","","initial"
"AJID--NL-K","",""
"AJID-ZN100-X","",""
"PARF-ALCMS-X","","initial"
"EMUL-AP2P-X","",""
"ALKO-ALKHCKI-X","",""
"D-R1ADP-BULK","JTK02",""
"VIT-ATCAT-X","","initial"
"ALAN--AK-K","",""
"PARF-AC046C-X","",""
"FW-AH-BULK","JTK02",""
"M-AHC-BULK","JTK02",""
"HBL-AHMG-BULK","JTK02",""
"ACTI-AVG10X-X","",""
"EXTR-ALVGE-X","",""
"OIL-100146-X","",""
"ACTI-AFEW-X","",""
"PEM-ARBKM-X","",""
"ACTI-ALARB-X","",""
"SAMP-ALPBTN-X","",""
"SAMP-AMGM-X","",""
"THIC-AMGM-X","",""
"AMH-LL-X","",""
"AMI-GCK12H-X","",""
"AMI-GCK12K-","",""
"AMON-A-KS","",""
"ATG-71-X","",""
"EMUL-AMPK-","",""
"BHT---K","",""
"ANTA---K","",""
"FLMR-AV2F-X","",""
"MOIS-APCAPGA-X","","initial"
"WAX-ACG-X","",""
"PARF-ABHE60-MN","",""
"FS-AJ-BULK","JTK02",""
"FM-AIS-BULK","JTK02",""
"THIC-AK10SNFC-X","",""
"AQUA-G35-X","",""
"SILI-LARAIR-X","",""
"SAMP-AQXY-X","",""
"OIL-ARG-X","",""
"ACTI-APSC-X","",""
"THIC-ARAVC-","",""
