item_code,product_description
2PR--MO100ML,MAKE OVER Make Up Remover 100 ml (Pc(s))
A-BPCB-W20G,Wardah Acnederm Pore Blackhead Balm 20 g (Pc(s))
A-DM-W40ML,Wardah Acnederm Day Moisturizer 40 ml (Pc(s))
A-FP-W20G,Wardah Acnederm Face Powder 20 g (Pc(s))
A-NTM-W40ML,Wardah Acnederm Night Treatment Moisturizer 40 ml (Pc(s))
A-PFC-W60ML,Wardah Acnederm Pure Foaming Cleanser 60 ml (Pc(s))
A-PRT-W100ML,Wardah Acnederm Pore Refining Toner 100 ml (Pc(s))
A-SATG-W15ML,Wardah Acnederm Acne Spot Treatment Gel 15 ml (Pc(s))
B-BSLP-EM,Emina Bright Stuff Loose Powder 55 g
B-CLCLPA-W,Wardah Colorfit Mattifying Powder 22N Light Ivory 15 g
B-CLCLPB-W,Wardah Colorfit Mattifying Powder 23W Warm Ivory 15 g
B-CLCLPC-W,Wardah Colorfit Mattifying Powder 32N Neutral Beige 15 g
B-CLCLPD-W,Wardah Colorfit Mattifying Powder 43W Golden Sand 15 g
B-CPGR01-W,WARDAH CRYSTALLURE Precious Glow Radiance Powder 12 IVORY 18 g
B-CPGR02-W,WARDAH CRYSTALLURE Precious Glow Radiance Powder 13 BEIGE 18 g
B-DMCP01-EM,Emina Daily Matte Compact Powder 01 Light 11 g
B-DMCP02-EM,Emina Daily Matte Compact Powder 02 Natural 11 g
B-DMCP03-EM,Emina Daily Matte Compact Powder 03 Caramel 11 g
B-DMCP04-EM,Emina Daily Matte Compact Powder 04 Mocca 11 g
B-DMLP01-EM,Emina Daily Matte Loose Powder 01 Light Beige 20 g
B-DMLP02-EM,Emina Daily Matte Loose Powder 02 Natural Beige 20 g
B-HRFP-MO,MAKE OVER Hydrastay Radiant Finishing Powder 10 gr
B-IPQSP11-W,Instaperfect QUICKMATTE Loose Powder 11 Fair Pink 9 g
B-IPQSP12-W,Instaperfect QUICKMATTE Loose Powder 22 Light Ivory 9 g
B-IPQSP13-W,Instaperfect QUICKMATTE Loose Powder 32 True Beige 9 g
B-IPQSP14-W,Instaperfect QUICKMATTE Loose Powder 33 Warm Olive 9 g
B-IPQSP15-W,Instaperfect QUICKMATTE Loose Powder 43 Creme Sand 9 g
B-IPQSP16-W,Instaperfect QUICKMATTE Loose Powder 52 Almond 9 g
B-PBTUBB-W,Wardah Perfect Bright BB Powder 50 g
B-PMT-MO11G,MAKE OVER Powerstay Mattifying Transparent Powder 11 g
B-PT01-MO35G,MAKE OVER Silky Smooth Translucent Powder 01 Porcelain 35 g (Pc(s))
B-PT02-MO35G,MAKE OVER Silky Smooth Translucent Powder 02 Rosy 35 g (Pc(s))
B-PT03-MO35G,MAKE OVER Silky Smooth Translucent Powder 03 Champagne 35 g (Pc(s)
B-PT04-MO35G,MAKE OVER Silky Smooth Translucent Powder 04 Toffee 35 g (Pc(s))
B-PT05-MO35G,MAKE OVER Silky Smooth Translucent Powder 05 Snow 35 g (Pc(s))
B-PT06-MO35G,MAKE OVER Silky Smooth Translucent Powder 06 Buttermilk 35 g
B-PT07-MO35G,MAKE OVER Silky Smooth Translucent Powder 07 Vanilla 35 g
B-R3L01LB-W,Wardah Lightening Matte Powder 01 Light Beige 20 g
B-R3L02B-W,Wardah Lightening Matte Powder 02 Beige 20 g
B-R3L03I-W,Wardah Lightening Matte Powder 03 Ivory 20 g
B-R3L04N-W,Wardah Lightening Matte Powder 04 Natural 20 g
B-RBMLP01-EM,Emina Bare With Me Mineral Loose Powder 01 Fair 8 g
B-RBMLP02-EM,Emina Bare With Me Mineral Loose Powder 02 Light Beige 8 g
B-RBMLP03-EM,Emina Bare With Me Mineral Loose Powder 03 Amber 8 g
B-RBMLP04-EM,Emina Bare With Me Mineral Loose Powder 04 Ebony 8 g
B-SFLP-EM8G,Emina Sebum Fighter Loose Powder 8 g
B-SPB-MO13GR,MAKE OVER Shimmering Powder Bronzed 13 gr
B-SPC-MO13GR,MAKE OVER Shimmering Powder Chrystalist 13 gr
B-SPG-MO13GR,MAKE OVER Shimmering Powder Goldinx 13 gr
B-SPQ-MO13GR,MAKE OVER Shimmering Powder Quartza 13 gr
B-W3ELFP01-W30G,Wardah Evd Lum Face Powder 01 Light Beige 30 g (Pc(s))
B-W3ELFP02-W30G,Wardah Evd Lum Face Powder 02 Beige 30 g (Pc(s))
B-W3ELFP03-W30G,Wardah Evd Lum Face Powder 03 Ivory 30 g (Pc(s))
B-W3ELFP04-W30G,Wardah Evd Lum Face Powder 04 Natural 30 g (Pc(s))
BBC-EL-W15ML,Wardah Everyday BB Cream Light 15 ml (pc(s))
BBC-EL-W30ML,Wardah Everyday BB Cream Light 30 ml (Pc(s))
BBC-EN-W15ML,Wardah Everyday BB Cream Natural 15 ml (Pc(s))
BBC-EN-W30ML,Wardah Everyday BB Cream Natural 30 ml (Pc(s))
BBC-HSBBC-EM,Emina Daily Matte BB Cream 03 Caramel 16 g
BBC-HSBBL-EM,Emina Daily Matte BB Cream 01 Light 16 g
BBC-HSBBN-EM,Emina Daily Matte BB Cream 02 Natural 16 g
BBC-LL-W15ML,Wardah Lightening BB Cream Light 15 ml (pc(s))
BBC-LL-W30ML,Wardah Lightening BB Cream Light 30 ml (Pc(s))
BBC-LN-W15ML,Wardah Lightening BB Cream Natural 15 ml (pc(s))
BBC-LN-W30ML,Wardah Lightening BB Cream Natural 30 ml (Pc(s))
BO-CLBSNT-EM,Emina Cheek Lit Highlighter Stick Nudetwinkle 7 g
BO-CLBSPE-EM,Emina Cheek Lit Blush Stick Peach 7 g
BO-CLBSPI-EM,Emina Cheek Lit Blush Stick Pink 7 g
BO-CLCNB-EM10ML,Emina Cheek Lit Cream Blush Nudie Brown 10 ml
BO-CLCPE-EM10ML,Emina Cheek Lit Cream Blush Peach 10 ml (Pc(s))
BO-CLCPI-EM10ML,Emina Cheek Lit Cream Blush Pink 10 ml (Pc(s))
BO-CLCVI-EM10ML,Emina Cheek Lit Cream Blush Violet 10 ml
BO-CLPCS-EM3.5GR,Emina Cheek Lit Pressed Blush Sugarcane 3.5 gr (Pc(s))
BO-CLPPB-EM3.5GR,Emina Cheek Lit Pressed Blush Bittersweet 3.5 gr (Pc(s))
BO-CLPPCCC-EM3.5GR,Emina Cheek Lit Pressed Blush Cotton Candy 3.5 gr (Pc(s))
BO-CLPPMCB-EM3.5GR,Emina Cheek Lit Pressed Blush Cherry Blossoms 3.5 gr (Pc(s))
BO-CLPPPML-EM3.5GR,Emina Cheek Lit Pressed Blush Marshmallow Lady 3.5 gr (Pc(s))
BO-CLPPTVB-EM3.5GR,Emina Cheek Lit Pressed Blush Violet Berry 3.5 gr (Pc(s))
BO-CM-MO20G,MAKE OVER Cheek Marbles 20 g (Pc(s))
BO-COCBMM-W,Wardah Colorfit Cream Blush 02 MERRY MAUVE 3 g
BO-COCBSC-W,Wardah Colorfit Cream Blush 01 SAND CORAL 3 g
BO-COCBSP-W,Wardah Colorfit Cream Blush 03 SUMMER PEACH 3 g
BO-CPFTLB-TA,Tavi Color Play Face Tint Love Bites 9 g
BO-CPFTM-TA,Tavi Color Play Face Tint Moonchild 9 g
BO-CPFTST-TA,Tavi Color Play Face Tint Starburst 9 g
BO-CPFTW-TA,Tavi Color Play Face Tint Wallflower 9 g
BO-CPLP-W,WARDAH CRYSTALLURE Precious Lustre Prism Blush 10 g
BO-DUA-MO,MAKE OVER Powerstay Suede Blush 10 Magnetic Rush 6 g
BO-DUB-MO,MAKE OVER Powerstay Suede Blush 20 Inferno Crush 6 g
BO-E01-W,Wardah Exclusive Blush On 01 Rosy Pink 6.5 g 
BO-E02-W,Wardah Exclusive Blush On 02 Coral Peach 6.5 g
BO-HLT01-MO,MAKE OVER Hydrastay Liquid Tint Blush 01 Flair 15 ml
BO-HLT02-MO,MAKE OVER Hydrastay Liquid Tint Blush 02 Gala 15 ml
BO-HLT03-MO,MAKE OVER Hydrastay Liquid Tint Blush 03 Solace 15 ml
BO-HLT04-MO,MAKE OVER Hydrastay Liquid Tint Blush 04 Dolce 15 ml
BO-HLT05-MO,MAKE OVER Hydrastay Liquid Tint Blush 05 Sun-Baked 15 ml
BO-IPCBBC01-W5.6G,Wardah Instaperfect CITY BLUSH Blusher Click 01. Bliss 5.6 g
BO-IPCBBC02-W5.6G,Wardah Instaperfect CITY BLUSH Blusher Click 02. Adore 5.6 g
BO-MMB01-MO,MAKE OVER Multifix Matte Blusher 01 Rose Hour 9 g 
BO-MMB02-MO,MAKE OVER Multifix Matte Blusher 02 Quickpinker 9 g 
BO-MMB03-MO,MAKE OVER Multifix Matte Blusher 03 Blush Rush 9 g 
BO-MMB04-MO,MAKE OVER Multifix Matte Blusher 04 Peach Flash 9 g 
BO-MMB05-MO,MAKE OVER Multifix Matte Blusher 05 Heatshot 9 g 
"BO-PPS-MO8X3,5G","MAKE OVER Perfect Shade Blush On Palette 8X3,5 g (Pc(s))"
BO-SKCC08-MO6G,MAKE OVER BO Single 08 Cruise Coral 6 g (Pc(s))
BO-SKCS06-MO6G,MAKE OVER BO Single 06 Caribbean Sunset 6 g (Pc(s))
BO-SKPF01-MO6G,MAKE OVER BO Single 01 Pink Fantasist 6 g (Pc(s))
BO-SKPP10-MO6G,MAKE OVER BO Single 10 Passion Pink 6 g (Pc(s))
BO-SKPS03-MO6G,MAKE OVER BO Single 03 Promiscious Peach 6g (Pc(s))
BO-SKSS07-MO6G,MAKE OVER BO Single 07 Scarlet Sheen 6 g (Pc(s))
BO-SKST09-MO6G,MAKE OVER BO Single 09 Summer Twist 6 g (Pc(s))
BO-W1A-W4GR,Wardah Blush On A 4 gr
BO-W1C-W4GR,Wardah Blush On C 4 gr
BP-BMISN2-EM,Emina Body Mist Indian Summer 10 ml
BP-BMPDN2-EM,Emina Body Mist Pixie Dust 10 ml
BP-BMRFN2-EM,Emina Body Mist Rain Forest 10 ml
BP-BMSSN2-EM,Emina Body Mist Ocean Mist 10 ml
BP-HREDT-KA,Kahf Humbling Forest Eau de Toilette 35 ml
BP-IWEDT-KA,Kahf Invigorating Waterfall Eau de Toilette 35 ml
BP-MOEDP-KA,Kahf Saffron Oud Eau de Parfum 100 ml
BP-RHEDP-KA,Kahf Revered Oud Eau de Parfum 100 ml
BP-RHEDT-KA,Kahf Revered Oud Eau de Toilette 35 ml
BP-SBSBM-W100ML,Wardah Scentsation Bliss Body Mist 100 ml (Pc(s))
BP-SBSE-W35ML,Wardah Scentsation Bliss Eau De Toilette 35 ml (Pc(s))
BP-SJYBM-W100ML,Wardah Scentsation Joyful Body Mist 100 ml (Pc(s))
BP-SJYE-W35ML,Wardah Scentsation Joyful Eau De Toilette 35 ml (Pc(s))
BP-SPCBM-W100ML,Wardah Scentsation Peaceful Body Mist 100 ml (Pc(s))
BP-SPCE-W35ML,Wardah Scentsation Peaceful Eau De Toilette 35 ml (Pc(s))
BP-SPNBM-W100ML,Wardah Scentsation Passion Body Mist 100 ml (Pc(s))
BP-SPNE-W35ML,Wardah Scentsation Passion Eau De Toilette 35 ml (Pc(s))
BP-SPRBM-W100ML,Wardah Scentsation Purity Body Mist 100 ml (Pc(s))
BP-SPRE-W35ML,Wardah Scentsation Purity Eau De Toilette 35 ml (Pc(s))
BP-WSEDT-KA,Kahf True Brotherhood Eau de Toilette 35 ml
BRO-RNBO-KA,Kahf Nourishing Beard & Hair Oil 30 ml
BRUS-BLD-MO17CM,MAKE OVER Blending Brush 17 cm
BRUS-EBS-EM,Emina Brush Set (Set)
BUT-W0LG-W50ML,Wardah Creamy Body Butter With Lavender & Ginger 50 ml (pc(s))
BUT-W0MP-W50ML,Wardah Creamy Body Butter With Milk & Pearl 50 ml (pc(s))
BUT-W0O-W50ML,Wardah Creamy Body Butter With Olive 50 ml (pc(s))
BUT-W0P-W50ML,Wardah Creamy Body Butter With Passion Fruit 50 ml (pc(s))
BUT-W0R-W50ML,Wardah Creamy Body Butter With Rose 50 ml (pc(s))
BUT-W0S-W50ML,Wardah Creamy Body Butter With Strawberry 50 ml (pc(s))
C-P1-P450,Putri Cold Wave 450 ML (Pc(s))
CB-P1A-P240,Putri Natural Creambath Avocado 240 ML (Pc(s))
CB-P1A-P720,Putri Natural Creambath Avocado 720 ML (Pc(s))
CB-P1G-P240,Putri Natural Creambath Ginseng 240 ML (Pc(s))
CB-P1G-P720,Putri Natural Creambath Ginseng 720 ML (Pc(s))
CB-P1K-P240,Putri Natural Creambath Candlenut 240 ML (Pc(s))
CB-P1K-P720,Putri Natural Creambath Candlenut 720 ML (Pc(s))
CB-P1L1-P240,Putri Natural Creambath Aloe Vera 240 ML (Pc(s))
CB-P1L1-P720,Putri Natural Creambath Aloe Vera 720 ML (Pc(s))
CM-CML-EM50ML,Emina Creamy Milk Cleansing Lotion 50 ml (Pc(s))
CM-LCC-W,Wardah Lightening Cleansing Milk 100 ml
CM-RWSPBC-W,Wardah Crystal Secret Melting Milk Cleanser 100 ml
CM-WSOG-W,Wardah Crystal Secret Micellar Cleansing Gel 95 ml
CON-C-MO11ML,MAKE OVER Camouflage Cream Face Concealer 5X2g (Pc(s))
CON-CPADC01-W,WARDAH CRYSTALLURE Precious All Day Corrective Concealer 11 LIGHT 1.9 ml
