Attribute number;Attribute value;Attribute description;Attribute name
1;FG;Finished Goods;Product category
1;PM;Packaging Material;Product category
1;RM;Raw Material;Product category
1;SFG;Semi Finished Goods;Product category
1;WIP;Work In Progress;Product category
10;2PR--MO100ML;MAKE OVER Make Up Remover 100 ml (Pc(s));Product Name
10;2PR-A-BULK;MAKE OVER Make Up Remover Fase A Bulk;Product Name
10;2PR-B-BULK;MAKE OVER Make Up Remover Fase B Bulk;Product Name
10;A-BGFA200-X;AAG1-CGAHG;Product Name
10;A-BGSA200-X;ACN3-AAB;Product Name
10;A-BPCB-BULK;Wardah Acnederm Pore Blackhead Balm;Product Name
10;A-BPCB-W20G;Wardah Acnederm Pore Blackhead Balm 20 g (Pc(s));Product Name
10;A-DM-BULK;Acnederm Day Moisturizer;Product Name
10;A-DM-W40ML;Wardah Acnederm Day Moisturizer 40 ml (Pc(s));Product Name
10;A-EDSM80-X;SAI1-CGAHH;Product Name
10;A-FP-W20G;Wardah Acnederm Face Powder 20 g (Pc(s));Product Name
10;A-FPW3-BULK;Acnederm Face Powder;Product Name
10;A-NTM-BULK;Acnederm Night Treatment Moisturizer Bulk;Product Name
10;A-NTM-W40ML;Wardah Acnederm Night Treatment Moisturizer 40 ml (Pc(s));Product Name
10;A-PFC-BULK;Wardah Acnederm Pure Foaming Cleanser Bulk;Product Name
10;A-PFC-W60ML;Wardah Acnederm Pure Foaming Cleanser 60 ml (Pc(s));Product Name
10;A-PRT-BULK;Wardah Acnederm Pore Refining Toner Bulk;Product Name
10;A-PRT-W100ML;Wardah Acnederm Pore Refining Toner 100 ml (Pc(s));Product Name
10;A-SATG-BULK;Wardah Acnederm Acne Spot Treatment Gel;Product Name
10;A-SATG-W15ML;Wardah Acnederm Acne Spot Treatment Gel 15 ml (Pc(s));Product Name
10;ABIL-EM90-X;EMS1-AAB;Product Name
10;ABIL-W9801-X;EMO1-ACH;Product Name
10;ABIL-WE09-X;EMS1-AAF;Product Name
10;ABS-PLNBL-X;SBA3-BLBGG;Product Name
10;ACTI-ACNET-X;Bahan Anti Acne;Product Name
10;ACTI-ADNL-X;AAG1-ABC;Product Name
10;ACTI-ADPL-X;AAG1-ABE;Product Name
10;ACTI-AFEW-X;SCR1-AAG;Product Name
10;ACTI-AGTV-X;AAG3-CCAEG;Product Name
10;ACTI-AICE06-X;MST1-BIAJJ;Product Name
10;ACTI-ALARB-X;WHT3-AAJ;Product Name
10;ACTI-APLR-X;APL3-AAB;Product Name
10;ACTI-APSC-X;WHT1-AAF;Product Name
10;ACTI-AVG10X-X;WBE1-ADC;Product Name
10;ACTI-AZCLR-X;ACN1-BDADF;Product Name
10;ACTI-BCPL-X;HRC1-ABG;Product Name
10;ACTI-BEUT-X;APL3-AAE;Product Name
10;ACTI-BTWH-X;WHT1-AAC;Product Name
10;ACTI-BWCTA-X;MST2-AAE;Product Name
10;ACTI-CBSS-AM;EXF3-ABE;Product Name
10;ACTI-CCLRK-X;MST1-ALACB;Product Name
10;ACTI-CPXY-X;HRC1-ABF;Product Name
10;ACTI-CSR10S-X;AAG1-BIBAA;Product Name
10;ACTI-DFSLSF-X;SAI1-CCAEB;Product Name
10;ACTI-DNA-X;AAG1-CCAEF;Product Name
10;ACTI-ECFA-X;AAG1-AAH;Product Name
10;ACTI-ECTC-X;APL3-AAC;Product Name
10;ACTI-ECTNOL-X;APL1-BLBGI;Product Name
10;ACTI-FPMG-X;AA1-ABA;Product Name
10;ACTI-GRPLMD-X;AAG3-BLBJA;Product Name
10;ACTI-GRR-X;AAG1-ABD;Product Name
10;ACTI-HAOL-X;MST3-AAH;Product Name
10;ACTI-HDR-X;MST1-ACD;Product Name
10;ACTI-HFG-X;EMO1-AHD;Product Name
10;ACTI-HFX-X;CLA1-AAC;Product Name
10;ACTI-HXCTEC-X;SAI1-ALACC;Product Name
10;ACTI-HYRP-X;MST3-AAI;Product Name
10;ACTI-IVLNC-X;AAG3-BLBFD;Product Name
10;ACTI-LTL-X;AAG1-AAJ;Product Name
10;ACTI-LW36-X;EXF3-ABC;Product Name
10;ACTI-MDIC-X;AAG1-AAF;Product Name
10;ACTI-MEBSA-X;SAI1-AAE;Product Name
10;ACTI-MGCPW-X;AAG3-AAH;Product Name
10;ACTI-MGCS-X;AAG1-AAI;Product Name
10;ACTI-MRV-X;AAG1-ABB;Product Name
10;ACTI-NADS2-X;AAG1-AAE;Product Name
10;ACTI-NXBHT-X;ASB3-BHAFH;Product Name
10;ACTI-PCFL-X;SAI1-AJABA;Product Name
10;ACTI-PHA1-X;WHT3-ABC;Product Name
10;ACTI-PHA3-X;WHT3-ABB;Product Name
10;ACTI-PTLS8951-X;AAG3-BDADB;Product Name
