Code/Header;Type;Component code;Type;Coefficient;UOM of Header;UOM of Component;Loos%;No.;Start date;End date
2PR--MO100ML;FG;BOTS-MUR100R0-MO;SFG Packs;1;Pc(s);Pc(s);0.1618122977;10;;
2PR--MO100ML;FG;CAP-BNG100HG-X;PM;1;Pc(s);Pc(s);0.1618122977;11;;
2PR--MO100ML;FG;KB-MOSSTP-291145K150;PM;0.04167;Pc(s);Pc(s);0.1618122977;12;;
2PR--MO100ML;FG;PLU-BB100N-;PM;1;Pc(s);Pc(s);0.1618122977;13;;
2PR--MO100ML;FG;PS-PVCMUR-WPVC;PM;1;Pc(s);Pc(s);0.1618122977;14;;
A-BPCB-W20G;FG;CAP-CABPCB-WASABS;PM;1;Pc(s);Pc(s);;15;;
A-BPCB-W20G;FG;CONT-ABPCB-WASABS;PM;1;Pc(s);Pc(s);;16;;
A-BPCB-W20G;FG;DUS-APBBR1-WACLG;PM;1;Pc(s);Pc(s);;17;;
A-BPCB-W20G;FG;KB-W100BR2-KMM125BF;PM;0.02083;Pc(s);Pc(s);;18;;
A-BPCB-W20G;FG;STIC-BOTAPBB-WCNF;PM;1;Pc(s);Pc(s);;19;;
A-BPCB-W20G;FG;STIC-BOTAPBBR1-WCNF;PM;1;Pc(s);Pc(s);;19;;
A-DM-W40ML;FG;DUS-ADM40CR1-WACLG;PM;1;Pc(s);Pc(s);0.0009025270758;20;;
A-DM-W40ML;FG;DUS-ADM40CR2-WACLG;PM;1;Pc(s);Pc(s);0.0009025270758;20;;
A-DM-W40ML;FG;KB-WTHETAR1-W;PM;0.03333;Pc(s);Pc(s);0.0009025270758;21;;
A-DM-W40ML;FG;TUBE-ADM40R2-W;PM;1;Pc(s);Pc(s);0.0009025270758;22;;
A-FP-W20G;FG;CAP-CAFP-WASABS;PM;1;Pc(s);Pc(s);0.02170138889;23;;
A-FP-W20G;FG;CONT-AFP-WASN;PM;1;Pc(s);Pc(s);0.02170138889;24;;
A-FP-W20G;FG;DUS-AFPR2-WACLG;PM;1;Pc(s);Pc(s);0.02170138889;25;;
A-FP-W20G;FG;KB-W200R1-W;PM;0.02083;Pc(s);Pc(s);0.02170138889;26;;
A-FP-W20G;FG;PUFF-AFP-WMFLH;PM;1;Pc(s);Pc(s);0.02170138889;27;;
A-FP-W20G;FG;SHIF-CAFPR1-W;PM;1;Pc(s);Pc(s);0.02170138889;28;;
