Process code;Routing Type;Item code;Refill code;Bulk code;Bulk size;Bulk size_FM;Priority;Filling/Packing line code;Filling/Packing ALT;Filling/Packing loss rate;Filling/Packing production rate;Filling/Packing production rate with change over;Efficiency of Packing;Pressing code;Pressing ALT.;Pressing loss rate;Pressing production rate;Pressing production rate with change over;Efficiency of Pressing;Shieving code;Shieving ALT.;Shieving loss rate;Shieving production rate;Shieving production rate with change over;Efficiency of Shieving;Grinding code;Grinding ALT.;Grinding loss rate;Grinding production rate;Grinding production rate with change over;Efficiency of Grinding;Mixing code;Mixing ALT.;Mixing loss rate;Mixing production rate;Mixing production rate with change over;Efficiency of Mixing;Weighing code;Weighing ALT.;Weighing loss rate;Weighing production rate;Weighing production rate with change over;Efficiency of Weighing;Labelling line code;Labelling ALT;Labelling loss rate;Labelling production rate;Labelling production rate with change over;Efficiency of Labelling
STD;PR01;A-FP-W20G;;A-FPW3-BULK;100;100;NOMINAL_LINE;LPP02;1;0.0784;720;629.79;0.87;;;;;;;RUSSEL02;1;0;1;1;1;PVT01;1;0;0.8;0.36;0.45;PSM01;1;0;0.4;0.29;0.71;PWE01;1;0;0.8;0.8;1;;;;;;
STD;PR01;B-BSLP-EM;;B-BSLP-BULK;300;300;NOMINAL_LINE;LPP01;1;0.043;480;442.69;0.92;;;;;;;RUSSEL02;1;0;1;1;1;PVT04;1;0;0.31;0.19;0.62;PSM18;1;0;0.25;0.2;0.8;PWE01;1;0;0.57;0.57;1;;;;;;
STD;PR01;B-CLCLPA-W;;B-CLCLPA-BULK;40;40;SECONDARY_LINE;LPP02;1;0.064;960;775.38;0.81;;;;;;;RUSSEL02;1;0;1;1;1;PVT01;1;0;0.8;0.5;0.63;PSM11;1;0;0.4;0.29;0.71;PWE01;1;0;1.2;1.2;1;;;;;;
STD;PR01;B-CLCLPA-W;;B-CLCLPA-BULK;60;60;NOMINAL_LINE;LPP02;1;0.076;960;775.38;0.81;;;;;;;RUSSEL02;1;0;1;1;1;PVT01;1;0;0.8;0.5;0.63;PSM01;1;0;0.4;0.31;0.77;PWE01;1;0;1.2;1.2;1;;;;;;
STD;PR01;B-CLCLPB-W;;B-CLCLPB-BULK;40;40;SECONDARY_LINE;LPP02;1;0.064;960;775.38;0.81;;;;;;;RUSSEL02;1;0;1;1;1;PVT01;1;0;0.8;0.5;0.63;PSM11;1;0;0.4;0.29;0.71;PWE01;1;0;1.2;1.2;1;;;;;;
STD;PR01;B-CLCLPB-W;;B-CLCLPB-BULK;60;60;NOMINAL_LINE;LPP02;1;0.076;960;775.38;0.81;;;;;;;RUSSEL02;1;0;1;1;1;PVT01;1;0;0.8;0.5;0.63;PSM01;1;0;0.4;0.31;0.77;PWE01;1;0;1.2;1.2;1;;;;;;
STD;PR01;B-CLCLPC-W;;B-CLCLPC-BULK;40;40;SECONDARY_LINE;LPP02;1;0.064;960;775.38;0.81;;;;;;;RUSSEL02;1;0;1;1;1;PVT01;1;0;0.8;0.5;0.63;PSM11;1;0;0.4;0.29;0.71;PWE01;1;0;1.2;1.2;1;;;;;;
STD;PR01;B-CLCLPC-W;;B-CLCLPC-BULK;60;60;NOMINAL_LINE;LPP02;1;0.076;960;775.38;0.81;;;;;;;RUSSEL02;1;0;1;1;1;PVT01;1;0;0.8;0.5;0.63;PSM01;1;0;0.4;0.31;0.77;PWE01;1;0;1.2;1.2;1;;;;;;
STD;PR01;B-CLCLPD-W;;B-CLCLPD-BULK;40;40;NOMINAL_LINE;LPP02;1;0.064;960;709.76;0.74;;;;;;;RUSSEL02;1;0;1;1;1;PVT01;1;0;0.8;0.5;0.63;PSM11;1;0;0.4;0.29;0.71;PWE01;1;0;1.2;1.2;1;;;;;;
STD;PR01;B-CPGR01-W;;B-CPGR01-BULK;60;60;SECONDARY_LINE;LPP02;1;0.0123;600;526.67;0.88;;;;;;;RUSSEL01;1;0;1;1;1;PVT01;1;0;0.5;0.36;0.73;PSM01;1;0;0.44;0.31;0.69;PWE01;1;0;1.2;1.2;1;;;;;;
