Process code;Routing type;Item code;Refill code;Bulk code;Bulk size;Bulk size_FM;Priority;Filling/Packing line code;Filling/Packing ALT.;Filling/Packing loss rate;Filling/Packing production rate;Filling/Packing production rate with change over;Efficiency of Filling/Packing;Filling code;Filling ALT.;Filling loss rate;Filling production rate;Filling production rate with change over;Efficiency of Filling;Labelling code;Labelling ALT.;Labelling loss rate;Labelling production rate;Labelling production rate with change over;Efficiency of labelling;Mixing code;Mixing ALT.;Mixing loss rate;Mixing production rate;Mixing production rate with change over;Efficiency of mixing;Milling code;Milling ALT.;Milling loss rate;Milling production rate;Milling production rate with change over;Efficiency of milling;Premix code;Premix ALT.;Premix loss rate;Premix production rate;Premix production rate with change over;Efficiency of premix;Weighing code;Weighing ALT.;Weighing loss rate;Weighing production rate;Weighing production rate with change over;Efficiency of weighing;flag item;flag bulk;flag refill
MULTIPLEBULK;LR15;2PR--MO100ML;;2PR-A-BULK;100;200;NOMINAL_LINE;BOP05;1;0;1500;402.08;0.27;;;;;;;;;;;;;LMX02;1;0;0.13;0.11;0.84;;;;;;;;;;;;;LWE02;1;0;2;2;1;Pc(s);g;
MULTIPLEBULK;LR15;2PR--MO100ML;;2PR-B-BULK;100;200;NOMINAL_LINE;BOP05;2;0;1500;402.08;0.27;;;;;;;;;;;;;LMM01;1;0;0.13;0.11;0.84;;;;;;;;;;;;;LWE02;1;0;2;2;1;Pc(s);g;
STD;LR01;A-DM-W40ML;;A-DM-BULK;600;600;NOMINAL_LINE;;;;;;;TUP09;1;0.173;3600;2832.95;0.79;;;;;;;LVB01;1;0;0.22;0.17;0.75;;;;;;;;;;;;;LWE01;1;0;0.71;0.71;1;Pc(s);g;
STD;LR01;A-NTM-W40ML;;A-NTM-BULK;1000;1000;NOMINAL_LINE;;;;;;;TUP09;1;0.0922;2400;2071.42;0.86;;;;;;;LVB01;1;0;0.17;0.13;0.8;;;;;;;;;;;;;LWE01;1;0;0.8;0.8;1;Pc(s);g;
STD;LR15;A-PFC-W60ML;;A-PFC-BULK;3000;3000;NOMINAL_LINE;TUP04;1;0.0448;3600;3071.76;0.85;;;;;;;;;;;;;LVL06;1;0;0.1;0.09;0.87;;;;;;;;;;;;;LWE01;1;0;0.86;0.86;1;Pc(s);g;
STD;LR15;A-PRT-W100ML;;A-PRT-BULK;1000;1000;SECONDARY_LINE;BOP04;1;0.2063;1500;1063.91;0.71;;;;;;;;;;;;;LPF02;1;0;0.2;0.15;0.77;;;;;;;;;;;;;LWE02;1;0;2;2;1;Pc(s);g;
STD;LR15;A-PRT-W100ML;;A-PRT-BULK;1200;1200;NOMINAL_LINE;BOP04;1;0.203;1500;1119.29;0.75;;;;;;;;;;;;;LPF02;1;0;0.17;0.13;0.8;;;;;;;;;;;;;LWE02;1;0;2;2;1;Pc(s);g;
STD;LR15;A-SATG-W15ML;;A-SATG-BULK;300;300;NOMINAL_LINE;TUP11B;1;0.0983;3600;2440.49;0.68;;;;;;;;;;;;;LVB04;1;0;0.17;0.13;0.8;;;;;;;;;;;;;LWE01;1;0;1.5;1.5;1;Pc(s);g;
STD;LR15;A-SATG-W15ML;;A-SATG-BULK;600;600;SECONDARY_LINE;TUP08;1;0.1098;3600;2458.91;0.68;;;;;;;;;;;;;LVB04;1;0;0.17;0.13;0.8;;;;;;;;;;;;;LWE01;1;0;1.5;1.5;1;Pc(s);g;
STD;LR01;BBC-EL-W15ML;;BBC-EL-BULK;800;800;NOMINAL_LINE;;;;;;;TUP06;1;0.1522;3600;3215.93;0.89;;;;;;;LVL02;1;0;0.06;0.05;0.84;;;;;;;;;;;;;LWE01;1;0;0.4;0.4;1;Pc(s);g;
