Process code;Routing type;Item code;Refill code;Bulk code;Bulk size;Bulk size_FM;Priority;Filling/Packing line code;Filling/Packing ALT.;Filling/Packing loss rate;Filling/Packing production rate;Filling/Packing production rate with change over;Efficiency of Filling/Packing;Filling code;Filling ALT.;Filling loss rate;Filling production rate;Filling production rate with change over;Efficiency of Filling;Pressing code;Pressing ALT.;Pressing loss rate;Pressing production rate;Pressing production rate with change over;Efficiency of Pressing;Labelling code;Labelling ALT.;Labelling loss rate;Labelling production rate;Labelling production rate with change over;Efficiency of labelling;Mixing code;Mixing ALT.;Mixing loss rate;Mixing production rate;Mixing production rate with change over;Efficiency of mixing;Milling code;Milling ALT.;Milling loss rate;Milling production rate;Milling production rate with change over;Efficiency of milling;Premix code;Premix ALT.;Premix loss rate;Premix production rate;Premix production rate with change over;Efficiency of premix;Weighing code;Weighing ALT.;Weighing loss rate;Weighing production rate;Weighing production rate with change over;Efficiency of weighing
STD;SR11;A-BPCB-W20G;;A-BPCB-BULK;120;120;NOMINAL_LINE;JRP02;1;0.04;900;866.17;0.96;;;;;;;;;;;;;;;;;;;SVB05;1;0;0.33;0.33;1;;;;;;;;;;;;;SWE02;1;0;1;1;1
STD;SR11;A-BPCB-W20G;;A-BPCB-BULK;200;200;SECONDARY_LINE;JRP02;1;0;900;860.64;0.96;;;;;;;;;;;;;;;;;;;SVB05;1;0;0.33;0.1658;0.5;;;;;;;;;;;;;SWE01;1;0;0.6667;0.6667;1
STD;SR11;BO-CLBSNT-EM;;BO-CLBSNT-BULK;40;40;NOMINAL_LINE;LIP10;1;0.0676;240;237.33;0.99;;;;;;;;;;;;;;;;;;;SDM01;1;0;0.1835;0.155;0.84;;;;;;;;;;;;;SWE02;1;0;1.3333;1.3333;1
STD;SR09;BO-CLBSPE-EM;;BO-CLBSPE-BULK;40;40;SECONDARY_LINE;LIP10;1;0.0676;240;237.33;0.99;;;;;;;;;;;;;;;;;;;SDM01;1;0;0.155;0.1342;0.87;SRM07;1;0;0.4348;0.4348;1;SPM07D;1;0;1.25;1.25;1;SWE01;1;0;1;1;1
STD;SR09;BO-CLBSPE-EM;;BO-CLBSPE-BULK;5;5;NOMINAL_LINE;LIP06;1;0.3952;240;210.3;0.88;;;;;;;;;;;;;;;;;;;SMX01;1;0;0.4;0.4;1;SRM06;1;0;1;0.8;0.8;SPM03D;1;0;1.33;1.33;1;SWE01;1;0;1.33;1.33;1
STD;SR09;BO-CLBSPI-EM;;BO-CLBSPI-BULK;40;40;SECONDARY_LINE;LIP10;1;0.0676;240;232.06;0.97;;;;;;;;;;;;;;;;;;;SDM01;1;0;0.1183;0.1058;0.89;SRM07;1;0;0.4348;0.4348;1;SPM07D;1;0;1.25;1.25;1;SWE01;1;0;1;1;1
STD;SR09;BO-CLBSPI-EM;;BO-CLBSPI-BULK;5;5;NOMINAL_LINE;LIP06;1;0.3952;240;210.3;0.88;;;;;;;;;;;;;;;;;;;SMX01;1;0;0.4;0.4;1;SRM06;1;0;1;0.8;0.8;SPM03D;1;0;1.33;1.33;1;SWE01;1;0;1.33;1.33;1
STD;SR09;BO-COCBMM-W;;BO-COCBMM-BULK;45;45;NOMINAL_LINE;FOP03;1;0.1168;480;467.14;0.97;;;;;;;;;;;;;;;;;;;SDM06;1;0;0.1111;0.1;0.9;SRM07;1;0;0.5;0.5;1;SPM07D;1;0;0.7692;0.7692;1;SWE01;1;0;1;1;1
STD;SR09;BO-COCBMM-W;;BO-COCBMM-BULK;80;80;SECONDARY_LINE;FOP03;1;0.1036;480;480;1;;;;;;;;;;;;;;;;;;;SDM06;1;0;0.1;0.0909;0.91;SRM07;1;0;0.4;0.4;1;SPM07D;1;0;0.7692;0.7692;1;SWE01;1;0;0.8;0.8;1
STD;SR09;BO-COCBMM-W;;BO-COCBMM-BULK;100;100;SECONDARY_LINE;FOP03;1;0.0957;480;478.1;1;;;;;;;;;;;;;;;;;;;SDM06;1;0;0.1;0.0909;0.91;SRM07;1;0;0.3333;0.3333;1;SPM07D;1;0;0.7692;0.7692;1;SWE01;1;0;0.8;0.8;1
