Process code;Routing Type;Item code;Refill code;Bulk code;Bulk size;Bulk size_FM;Priority;Packing line code;Packing ALT.;Packing loss rate;Packing production rate;Packing production rate with chane over;Eficiency of packing;Filling code;Filling ALT.;Filling loss rate;Filling production rate;Filling production rate with change over;Eficiency of Filling
STD;RR03;EB-PBE-MO1,14G;;;;;NOMINAL_LINE;VMP10;1;0;540;540;1;;;;;;
STD;RR03;EB-PBL-MO1,14G;;;;;NOMINAL_LINE;VMP10;1;0;540;540;1;;;;;;
STD;RR03;EL-EDCPBL-EM0.2GR;;;;;NOMINAL_LINE;VMP10;1;0;600;600;1;;;;;;
STD;RR03;EL-LB-MO1,7ML;;;;;NOMINAL_LINE;VMP10;1;0;600;600;1;;;;;;
STD;RR01;F-L01-OMG;;;;;NOMINAL_LINE;VMP99;1;0;600000;600000;1;;;;;;
STD;RR01;F-L02-OMG;;;;;NOMINAL_LINE;VMP99;1;0;600000;600000;1;;;;;;
STD;RR01;F-L03-OMG;;;;;NOMINAL_LINE;VMP99;1;0;600000;600000;1;;;;;;
STD;RR01;F-L04-OMG;;;;;NOMINAL_LINE;VMP99;1;0;600000;600000;1;;;;;;
STD;RR01;F-L05-OMG;;;;;NOMINAL_LINE;VMP99;1;0;600000;600000;1;;;;;;
STD;RR01;F-L06-OMG;;;;;NOMINAL_LINE;VMP99;1;0;600000;600000;1;;;;;;
STD;RR01;FT-FT-OMG;;;;;NOMINAL_LINE;VMP99;1;0;600000;600000;1;;;;;;
STD;RR01;FW-FWN2-OMG;;;;;NOMINAL_LINE;VMP99;1;0;600000;600000;1;;;;;;
STD;RR01;M-MN2-OMG;;;;;NOMINAL_LINE;VMP99;1;0;600000;600000;1;;;;;;
STD;RR01;MY-BBSLP-EM;;;;;NOMINAL_LINE;VMP10;1;0;1200;1200;1;;;;;;
STD;RR01;MY-BCLCLPA-W;;;;;NOMINAL_LINE;VMP10;1;0;840;840;1;;;;;;
STD;RR01;MY-BCLCLPB-W;;;;;NOMINAL_LINE;VMP10;1;0;840;840;1;;;;;;
STD;RR01;MY-BCLCLPC-W;;;;;NOMINAL_LINE;VMP10;1;0;840;840;1;;;;;;
STD;RR01;MY-BCLCLPD-W;;;;;NOMINAL_LINE;VMP10;1;0;840;840;1;;;;;;
STD;RR01;MY-BOCLCNB-EM;;;;;NOMINAL_LINE;VMP10;1;0;1200;1200;1;;;;;;
STD;RR01;MY-BOCLCPE-EM;;;;;NOMINAL_LINE;VMP10;1;0;1200;1200;1;;;;;;
STD;RR01;MY-BOCLCPI-EM;;;;;NOMINAL_LINE;VMP10;1;0;1200;1200;1;;;;;;
