Line Code;Factory Code;YYYY;MM;DD;Line Capacity
ALP03;JTK04;2022;10;18;21
APL01;JTK02;2022;10;18;8
BLH01;JTK01;2022;10;18;21
BLH02;JTK01;2022;10;18;21
BLHD;JTK01;2022;10;18;16
BLP01;JTK02;2022;10;18;45
BLP02;JTK02;2022;10;18;45
BOP01;JTK02;2022;10;18;21
BOP01B;JTK02;2022;10;18;8
BOP02;JTK02;2022;10;18;21
BOP03;JTK02;2022;10;18;21
BOP03B;JTK02;2022;10;18;8
BOP04;JTK02;2022;10;18;21
BOP04B;JTK02;2022;10;18;8
BOP05;JTK02;2022;10;18;21
BOP05B;JTK02;2022;10;18;8
BOP06;JTK02;2022;10;18;21
BOP07;JTK02;2022;10;18;16
BOP08;JTK02;2022;10;18;16
BOP09;JTK02;2022;10;18;21
BOP09B;JTK02;2022;10;18;8
BOP10;JTK02;2022;10;18;21
BPP01;JTK04;2022;10;18;24
BTP02;JTK04;2022;10;18;21
BTP02D;JTK04;2022;10;18;21
BTP03;JTK04;2022;10;18;21
BTP03D;JTK04;2022;10;18;21
BTP04;JTK04;2022;10;18;21
COP01;JTK01;2022;10;18;21
COP02;JTK01;2022;10;18;21
CUP01;JTK02;2022;10;18;21
CUP01B;JTK02;2022;10;18;21
EMP01;JTK02;2022;10;18;21
EMP02;JTK02;2022;10;18;21
EMP02B;JTK02;2022;10;18;21
EMP03;JTK02;2022;10;18;21
EMP03B;JTK02;2022;10;18;8
EMP05;JTK02;2022;10;18;21
EMP05B;JTK02;2022;10;18;8
EMP07;JTK02;2022;10;18;21
EMP07B;JTK02;2022;10;18;8
EMP15;JTK02;2022;10;18;21
EMP15B;JTK02;2022;10;18;8
EMP16;JTK02;2022;10;18;21
EMP16B;JTK02;2022;10;18;21
EMP17;JTK02;2022;10;18;21
EMP17B;JTK02;2022;10;18;21
FOP03;JTK04;2022;10;18;21
FOP03D;JTK04;2022;10;18;24
JAP01;JTK02;2022;10;18;21
JAP01B;JTK02;2022;10;18;8
JAP03;JTK02;2022;10;18;21
JRP02;JTK04;2022;10;18;21
JRP02D;JTK04;2022;10;18;21
LBL01;JTK02;2022;10;3;8
LBL02;JTK02;2022;10;3;8
LBL03;JTK02;2022;10;3;8
LBL04;JTK02;2022;10;3;8
LBL05;JTK02;2022;10;3;8
LBL06;JTK02;2022;10;3;8
LBTP01;JTK02;2022;10;18;21
LHL01;JTK02;2022;10;17;21
LHL02;JTK02;2022;10;17;21
LIP06;JTK04;2022;10;18;21
LIP08;JTK04;2022;10;18;21
LIP10;JTK04;2022;10;18;21
LIP11;JTK04;2022;10;18;21
LIP12;JTK04;2022;10;18;21
LIP14;JTK04;2022;10;18;21
LIP16;JTK04;2022;10;18;21
LIP18;JTK04;2022;10;18;21
LLIP11;JTK02;2022;10;18;21
LLIP11B;JTK02;2022;10;18;21
LLM04;JTK02;2022;10;18;21
LMM01;JTK02;2022;10;3;21
LMM02;JTK02;2022;10;17;21
LMX01;JTK02;2022;10;17;21
LMX01A;JTK02;2022;10;17;21
LMX02;JTK02;2022;10;17;21
LMX02A;JTK02;2022;10;17;21
LMX03A;JTK02;2022;10;17;16
LPF01;JTK02;2022;10;17;21
LPF02;JTK02;2022;10;17;21
LPP01;JTK01;2022;10;18;21
LPP02;JTK01;2022;10;18;21
LPP03;JTK01;2022;10;18;21
LRM01;JTK02;2022;10;3;21
LRM02;JTK02;2022;10;3;16
LRP01;JTK04;2022;10;18;21
LSBM01;JTK02;2022;10;17;16
LSDP02;JTK02;2022;10;3;16
LSP01;JTK02;2022;10;18;21
LSPM09;JTK02;2022;10;17;16
LSRM06;JTK02;2022;10;17;8
LSRM07;JTK02;2022;10;17;8
LSVB01;JTK02;2022;10;17;8
LSVB02;JTK02;2022;10;17;7
LSVB03;JTK02;2022;10;17;16
LSVB04;JTK02;2022;10;17;7
LSWE01;JTK02;2022;10;14;21
LTE01;JTK02;2022;10;18;21
LVAM01;JTK02;2022;10;18;21
LVB01;JTK02;2022;10;17;21
LVB01A;JTK02;2022;10;17;8
LVB02;JTK02;2022;10;3;21
LVB03;JTK02;2022;10;17;21
LVB04;JTK02;2022;10;17;21
LVB05;JTK02;2022;10;17;21
LVB06;JTK02;2022;10;17;21
LVB07;JTK02;2022;10;17;21
LVB08;JTK02;2022;10;17;21
LVL01;JTK02;2022;10;17;21
LVL02;JTK02;2022;10;17;21
LVL03;JTK02;2022;10;17;21
LVL04;JTK02;2022;10;17;21
LVL05;JTK02;2022;10;17;21
LVL06;JTK02;2022;10;17;21
LVL07;JTK02;2022;10;17;21
LVL08;JTK02;2022;10;17;21
LVL09;JTK02;2022;10;17;21
LVL10;JTK02;2022;10;17;21
LVL11;JTK02;2022;10;17;21
LVL12;JTK02;2022;10;17;21
LVMN01;JTK02;2022;10;18;21
LVMN03;JTK02;2022;10;18;21
LVSN03;JTK02;2022;10;18;21
LVST01;JTK02;2022;10;18;21
LVST02;JTK02;2022;10;18;21
LVVB01;JTK02;2022;10;17;8
LVVB02;JTK02;2022;10;17;8
LVWM01;JTK02;2022;10;18;21
LWE01;JTK02;2022;10;3;21
LWE02;JTK02;2022;10;3;21
LWE03;JTK02;2022;10;14;21
MAP01;JTK02;2022;10;18;21
MIP08;JTK02;2022;10;18;50
MIP08B;JTK02;2022;10;18;50
MIP09;JTK02;2022;10;18;50
MIP10;JTK02;2022;10;18;50
MIP11;JTK02;2022;10;18;50
MITRAPACK;JTK02;2022;10;18;8
MPL01;JTK02;2022;10;3;8
MPL02;JTK02;2022;10;3;8
MPL03;JTK02;2022;10;3;8
MPL04;JTK02;2022;10;3;8
MUK01;JTK01;2022;10;18;21
MUL01;JTK04;2022;10;17;16
OSP01;JTK02;2022;10;18;21
PAP01;JTK01;2022;10;17;21
PCP01;JTK01;2022;10;18;21
PCP01D;JTK01;2022;10;18;21
PCP02;JTK01;2022;10;18;21
PCP03;JTK01;2022;10;18;21
PCP04;JTK01;2022;10;18;21
PCP05;JTK01;2022;10;18;21
PEP01;JTK01;2022;10;18;21
PEP02;JTK01;2022;10;18;21
PEP03;JTK01;2022;10;18;21
PEP03D;JTK01;2022;10;18;21
PEP04;JTK01;2022;10;18;16
PEP05;JTK01;2022;10;18;21
PEP06;JTK01;2022;10;18;21
PGT01;JTK01;2022;10;17;21
PHS01;JTK01;2022;10;3;21
PHS02;JTK01;2022;10;3;21
PLB01;JTK01;2022;10;3;21
PLB02;JTK01;2022;10;3;21
PLP01;JTK01;2022;10;18;21
PMG01;JTK01;2022;10;17;7
PMG02;JTK01;2022;10;17;7
PMG03;JTK01;2022;10;17;7
PMG04;JTK01;2022;10;17;7
PMG05;JTK01;2022;10;17;7
PMG06;JTK01;2022;10;17;7
PMG07;JTK01;2022;10;17;7
PMG08;JTK01;2022;10;17;21
PMG09;JTK01;2022;10;3;7
PMG10;JTK01;2022;10;17;7
PMS01;JTK01;2022;10;17;21
PMS02;JTK01;2022;10;17;21
PMT01;JTK01;2022;10;17;16
PNP01;JTK01;2022;10;18;21
PNP02;JTK01;2022;10;18;21
PNP03;JTK01;2022;10;18;21
PNP04;JTK01;2022;10;18;21
PNP04D;JTK01;2022;10;18;8
PPS01;JTK01;2022;10;17;21
PPS02;JTK01;2022;10;17;21
PSM01;JTK01;2022;10;17;21
PSM02;JTK01;2022;10;17;21
PSM03;JTK01;2022;10;17;21
PSM04;JTK01;2022;10;17;21
PSM05;JTK01;2022;10;17;21
PSM06;JTK01;2022;10;17;14
PSM07;JTK01;2022;10;17;14
PSM08;JTK01;2022;10;17;14
PSM09;JTK01;2022;10;17;14
PSM10;JTK01;2022;10;17;14
PSM11;JTK01;2022;10;17;21
PSM12;JTK01;2022;10;3;21
PSM13;JTK01;2022;10;17;21
PSM14;JTK01;2022;10;17;14
PSM15;JTK01;2022;10;17;14
PSM16;JTK01;2022;10;17;14
PSM17;JTK01;2022;10;3;21
PSM18;JTK01;2022;10;17;21
PSM19;JTK01;2022;10;3;14
PSM20;JTK01;2022;10;3;21
PTP06;JTK01;2022;10;18;8
PVT01;JTK01;2022;10;17;21
PVT02;JTK01;2022;10;17;21
PVT03;JTK01;2022;10;17;21
PVT04;JTK01;2022;10;17;21
PVT04DANPVT06;JTK01;2022;10;17;21
PVT05;JTK01;2022;10;17;21
PVT06;JTK01;2022;10;17;21
PVT07;JTK01;2022;10;17;7
PVT08;JTK01;2022;10;17;21
PVT09;JTK01;2022;10;17;21
PWE01;JTK01;2022;10;3;21
PWE02;JTK01;2022;10;3;21
PWT01;JTK01;2022;10;17;21
RUSSEL01;JTK01;2022;10;17;21
RUSSEL02;JTK01;2022;10;17;21
SAP01;JTK04;2022;10;18;21
SBM01;JTK04;2022;10;17;21
SBM02;JTK04;2022;10;31;21
SBOP08;JTK04;2022;10;18;21
SBP01;JTK04;2022;10;18;21
SDM01;JTK04;2022;10;17;21
SDM02;JTK04;2022;10;31;21
SDM03;JTK04;2022;10;17;21
SDM04;JTK04;2022;10;31;21
SDM05;JTK04;2022;10;31;21
SDM06;JTK04;2022;10;17;21
SDM07;JTK04;2022;10;17;21
SDP01;JTK04;2022;10;3;21
SDP02;JTK04;2022;10;3;21
SDP03;JTK04;2022;10;3;21
SDP04;JTK04;2022;10;3;21
SDP05;JTK04;2022;10;3;21
SDP06;JTK04;2022;10;3;21
SMP01;JTK04;2022;10;18;21
SMPL01;JTK04;2022;10;3;21
SMU01;JTK04;2022;10;17;21
SMX01;JTK04;2022;10;17;21
SMX02;JTK04;2022;10;17;21
SMX03;JTK04;2022;10;17;21
SMX03D;JTK04;2022;10;17;21
SMX04;JTK04;2022;10;17;21
SPL01;JTK04;2022;10;3;48
SPM01;JTK04;2022;10;17;21
SPM01D;JTK04;2022;10;3;21
