"Korporat Code","Name"
"HJ-P-BULK","*Hair Jelly Putri Bulk (Kg"
"MC-P-BULK","*Massage Cream Putri Bulkb (Kg"
"PUS-1P-BULK","*Pustreite I Putri Bulk"
"PUS-2P-BULK","*Pustreite II Putri Bulk"
"PUS-PL-BULK","*Pustreite Platinum Bulk (Kg"
"S-LB-BULK","*Shampoo Lemon Botol Buk (Kg"
"SUNS-GS-30NP-BULK","*Sunscreen Gel SPF 30 Non Parfum Bulk (Kg"
"FM-2IN1S-BULK","2in1 scrub mask"
"A-W1MG-W40 ML","Acne Perfecting Moisurizer Gel Wardah 40 ml (Pc(s))"
"A-DM-BULK","Acnederm Day Moisturizer"
"A-FPW3-BULK","Acnederm Face Powder"
"A-NTM-BULK","Acnederm Night Treatment Moisturizer Bulk"
"D-R1ADP-BULK","All Day Protection Bulk"
"FW-AH-BULK","Aloe Hydramild Facial Wash Bulk"
"M-AHC-BULK","Aloe Hydramild Moisturizer Cream"
"HBL-AHMG-BULK","Aloe Hydramild Multifunction Gel"
"FS-AJ-BULK","Apricot Jam Face Scrub Bulk"
"FM-AIS-BULK","Aqua Infused Sleeping Mask Bulk"
"FW-ADCDN2-AM","Atmos Men Anti-Acne Acne Defence Face Wash 100 ml"
"FW-ADCDN1-AM","Atmos Men Anti-Acne Acne Defence Face Wash 50 ml"
"FW-ADCD-BULK","Atmos Men Anti-Acne Acne Defence Face Wash Bulk"
"FW-DCPPN1-BULK","Atmos Men Deepcool Power Pore Face Wash"
"FW-DCPPN2-AM","Atmos Men Deepcool Power Pore Face Wash 100 ml"
"FW-DCPPN1-AM","Atmos Men Deepcool Power Pore Face Wash 50 ml"
"FW-PBOC-BULK","Atmos Men Power Bright Oil Control Face Wash"
"FW-PBOCN2-AM","Atmos Men Power Bright Oil Control Face Wash 100 ml"
"FW-PBOCN1-AM","Atmos Men Power Bright Oil Control Face Wash 50 ml"
"FW-PBPDN2-AM","Atmos Men Power Bright Pollution Defence Face Wash 100 ml"
"FW-PBPDN1-AM","Atmos Men Power Bright Pollution Defence Face Wash 50 ml"
"BB-BBC-BULK","BIODEF NATURAL PROTECTION ANTISEPTIC BATHBOMB MINT + GREEN TEA"
"BB-BBN1C-BD","BIODEF NATURAL PROTECTION ANTISEPTIC BATHBOMB MINT + GREEN TEA 125 g"
"BB-BBA-BULK","BIODEF NATURAL PROTECTION ANTISEPTIC BATHBOMB MINT + SEASALT"
"BB-BBN1A-BD","BIODEF NATURAL PROTECTION ANTISEPTIC BATHBOMB MINT + SEASALT 125 g"
"BB-BBD-BULK","BIODEF NATURAL PROTECTION ANTISEPTIC BATHBOMB MINT + YUZU"
"BB-BBN1D-BD","BIODEF NATURAL PROTECTION ANTISEPTIC BATHBOMB MINT + YUZU 125 g"
"BO-W1A-01 BULK","BLUSH ON A 01"
"BO-W1A-02 BULK","BLUSH ON A 02"
"BO-W1B-01 BULK","BLUSH ON B 01"
"BO-W1B-02 BULK","BLUSH ON B 02"
"BO-W1C-01-BULK","BLUSH ON C 01"
"BO-W1C-02 BULK","BLUSH ON C 02"
"BO-W0D-01 BULK","BLUSH ON D 01"
"BO-W0D-02 BULK","BLUSH ON D 02"
"ES-PRPBK01-BULK","BRICK 01"
"B-BMLPF1-BULK","Bare With Me Mineral Loose Powder 01 Fair (LPF)"
"B-BMLPLB2-BULK","Bare With Me Mineral Loose Powder 02 Light Beige (LPL)"
"B-BMLPA3-BULK","Bare With Me Mineral Loose Powder 03 Amber (LPA)"
"B-BMLPE4-BULK","Bare With Me Mineral Loose Powder 04 Ebony (LPE)"
"P-BHC-KA","Beard and Hair Care Package"
"BBC-BBL-BULK","Beauty Bliss BB Cream Light Bulk"
"BBC-BBN-BULK","Beauty Bliss BB Cream Natural"
"B-SHN12GRNFS-W","Bedak Shading Netto 12gr Refill Not For Sale Wardah (Pc(s))"
"B-TWCGC107RNFS1-DF","Bedak Two Way Cake Goddes Charm 107 Refill Not For Df Clinic (Pc(s))"
"L-BKML01-B","Beyondly Baby Multipurpose Lotion"
