"Korporat Code","Material Type","General Subcategory","General Accountable State","General State","Rnd Process State","Ppc State","Rnd State","Lifecycle State"
"BOTO-APDHCP60-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"BOTO-PETCHEERS240-X","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"BOTO-PSVFP20-ELL","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"BOTO-JKLTS05R0-OMG","Packaging Material","Regular","Draft","Draft","Draft","Draft","Draft","Draft"
"BOTO-NGS01R0-E","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"BOTO-NGS07R0-E","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"BOTO-NWLS01R0-E","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"CAPA-NGS01R0-E","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"CAPA-NGS07R0-E","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"CAPA-NWLS01R0-E","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"CAP-PSVFP20-ELL","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"CAPA-PTMLCR2-MO","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"CONT-EFSLGNS-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"DUS-CLVMR1-E","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"DUS-CUCR0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"DUS-EMLC12R1-WILD","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"DUS-HLTB15R1-MO","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"DUS-HSLWR1-MO","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"DUS-MKLCBER0-OMG","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"DUS-SMULCCR1-E","Packaging Material","Regular","Draft","Draft","Draft","Draft","Draft","Draft"
"DUS-SMULCLR1-E","Packaging Material","Regular","Draft","Draft","Draft","Draft","Draft","Draft"
"DUS-SMULCNR1-E","Packaging Material","Regular","Draft","Draft","Draft","Draft","Draft","Draft"
"DUS-SACRR0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"ENV-NGS01R0-E","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"ENV-NGS07R0-E","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"ENV-NWLS01R0-E","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"EBP-ABBLR2-E","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"EBP-ABBRR2-E","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"ELP-EDBLR2-E","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"ELP-EDBRR2-E","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"IBOX-BOILR0-B","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"IBOX-RRPMKLCR3-OMG","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"IBOX-RRPTMKLCBER0-OMG","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"KB-MOLLC-3K150","Packaging Material","Regular","Draft","Draft","Draft","Draft","Draft","Draft"
"KB-BPU5LR1-P","Packaging Material","Regular","Draft","Draft","Draft","Draft","Draft","Draft"
"KB-P250R1-P","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"KB-PHS200R1-P","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"KB-PHT200DR1-P","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"BOTO-PSMUFT100R1-K","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"BOTO-PSNFSMPLTR0-E","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"CAP-PSPLELF01L-MO","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"CAPA-PSNFSMPLTR0-E","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"DUS-PSMUAIOPTFS100R0-K","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"DUS-PSFMLMPFE14R0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"PART-IRRPTMKLCBER0-OMG","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"PLAS-DMEXER0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"PLAS-DM62R0-P","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"PUFF-PPFR0-MO","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-BCEBPBLR2-MO","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
