"Korporat Code","Variant Seller/Vendor/Reference","Variant Seller/Percentage","Variant Seller/Delivery Lead Time","Variant Seller/QC Leadtime in days","Variant Seller/Min Qty","Variant Seller/Lot Size","Variant Seller/Purchase Start Date","Variant Seller/Purchase End Date","Variant Seller/Incoterms"
"BOTO-JKLTS05R0-OMG","","","","","","","","",""
"CAPA-PTMLCR2-MO","","","","","","","","",""
"CONT-EFSLGNS-W","2309472","1.0","10","2","50000.0","100.0","2022-02-28","","FREE ON BOARD"
"","2309472","1.0","10","2","50000.0","100.0","2022-02-28","","FREE ON BOARD"
"DUS-CLPB04RVR0-E","","","","","","","","",""
"DUS-CLPB05RVR0-E","","","","","","","","",""
"DUS-EMLC12R1-WILD","2200043","1.0","4","2","25000.0","100.0","","2021-01-25","DELIVERED DUTY PAID"
"","2200152","1.0","4","2","25000.0","100.0","2022-01-19","","DELIVERED DUTY PAID"
"DUS-RYDC15R1-W","","","","","","","","",""
"DUS-SMULCCR1-E","","","","","","","","",""
"DUS-SMULCLR1-E","","","","","","","","",""
"DUS-SMULCNR1-E","","","","","","","","",""
"ENV-NFSBLAR0-WL","","","","","","","","",""
"ENV-NFSBLFR0-WL","","","","","","","","",""
"ENV-NFSBLER0-WL","","","","","","","","",""
"ENV-NFSBLRR0-WL","","","","","","","","",""
"ENV-NFSBLVR0-WL","","","","","","","","",""
"ENV-NFSER0-ELL","","","","","","","","",""
"KB-BPU5LR1-P","","","","","","","","",""
"KB-P250R1-P","","","","","","","","",""
"KB-PHS200R1-P","","","","","","","","",""
"KB-PHT200DR1-P","","","","","","","","",""
"BOTO-PSNFSMPLTR0-E","","","","","","","","",""
"CAP-PSPLELF01L-MO","2308295","1.0","2","2","400.0","100.0","2021-09-09","","EX WORKS"
"CAPA-PSNFSMPLTR0-E","","","","","","","","",""
"BOTO-PSFSUAR0-IP","2307799","1.0","4","2","200.0","200.0","2022-02-10","2022-02-11","EX WORKS"
"","2307799","1.0","4","2","200.0","200.0","2022-02-10","2022-02-11","EX WORKS"
"DUS-PSFMLMPFE14R0-IP","","","","","","","","",""
"PAP-PBS8R0-W","","","","","","","","",""
"PLAS-DMEXER0-W","","","","","","","","",""
"PLAS-DM62R0-P","","","","","","","","",""
"PO-ETWCR-WPE","2200094","1.0","5","2","50000.0","1000.0","2021-01-25","2022-02-25","DELIVERED DUTY PAID"
"","2200094","1.0","5","2","50000.0","1000.0","2021-01-25","","DELIVERED DUTY PAID"
"PUFF-DMCPR0-E","2200056","1.0","4","2","50000.0","4000.0","2021-11-03","","DELIVERED DUTY PAID"
"","2200056","1.0","4","2","50000.0","4000.0","2021-11-03","","DELIVERED DUTY PAID"
"","2200056","1.0","4","2","50000.0","4000.0","2021-11-03","","DELIVERED DUTY PAID"
"PUFF-LPMOD58FP-PH","2310113","1.0","18","2","12000.0","100.0","2022-01-19","","FREE ON BOARD"
"","2303688","1.0","19","2","12000.0","100.0","2021-01-25","","FREE ON BOARD"
"PUFF-PPFR0-MO","","","","","","","","",""
"PUFF-TWCNBRR1-W","2309163","1.0","5","2","100000.0","100.0","2021-02-22","","DELIVERED DUTY PAID"
"STIC-BCLF13CIR1-OMG","","","","","","","","",""
"STIC-BCEBPBLR2-MO","","","","","","","","",""
"STIC-BCESTNNMO-PW1W3","2303751","1.0","3","2","5000.0","100.0","2021-01-25","","DELIVERED DUTY PAID"
"","2303751","1.0","3","2","5000.0","100.0","2021-01-25","","DELIVERED DUTY PAID"
"","2303751","1.0","3","2","5000.0","100.0","2021-07-31","","DELIVERED DUTY PAID"
"","2303751","1.0","3","2","5000.0","100.0","2021-01-25","","DELIVERED DUTY PAID"
"","2303751","1.0","3","2","5000.0","100.0","2021-01-25","","DELIVERED DUTY PAID"
"","2303751","1.0","3","2","5000.0","100.0","2021-07-31","","DELIVERED DUTY PAID"
"","2303751","1.0","3","2","5000.0","100.0","2021-01-25","","DELIVERED DUTY PAID"
"","2303751","1.0","3","2","5000.0","100.0","2021-01-25","","DELIVERED DUTY PAID"
"","2303751","1.0","3","2","5000.0","100.0","2021-07-31","","DELIVERED DUTY PAID"
"","2303751","1.0","3","2","5000.0","100.0","2021-01-25","","DELIVERED DUTY PAID"
"","2303751","1.0","3","2","5000.0","100.0","2021-07-31","","DELIVERED DUTY PAID"
"","2303751","1.0","3","2","5000.0","100.0","2021-07-31","","DELIVERED DUTY PAID"
"","2303751","1.0","3","2","5000.0","100.0","2021-01-25","","DELIVERED DUTY PAID"
"","2303751","1.0","3","2","5000.0","100.0","2021-07-31","","DELIVERED DUTY PAID"
"","2303751","1.0","3","2","5000.0","100.0","2021-07-31","","DELIVERED DUTY PAID"
"","2303751","1.0","3","2","5000.0","100.0","2021-07-31","","DELIVERED DUTY PAID"
"","2303751","1.0","3","2","5000.0","100.0","2021-07-31","","DELIVERED DUTY PAID"
"STIC-BEOSLR0-B","","","","","","","","",""
"STIC-BCLPF12RR0-W","","","","","","","","",""
"STIC-BCLPF13RR0-W","","","","","","","","",""
"STIC-BCLPF14RR0-W","","","","","","","","",""
"STIC-BPM06RR0-E","","","","","","","","",""
"STIC-BPM08RR0-E","","","","","","","","",""
"STIC-CEOSER0-B","","","","","","","","",""
"STIC-ELGE50-W","","","","","","","","",""
"STIC-PDGELR1-WPPSB","2200015","1.0","3","2","5000.0","100.0","","2021-01-25","DELIVERED DUTY PAID"
"STIC-PIETWC01R0-W","","","","","","","","",""
"STIC-PIETWCR0-W","","","","","","","","",""
"STIC-PIETWC02R0-W","","","","","","","","",""
"STIC-PIETWC03R0-W","","","","","","","","",""
"STIC-PIETWC04R0-W","","","","","","","","",""
"STIC-PIETWC05R0-W","","","","","","","","",""
"STIC-PIETWCR01R0-W","","","","","","","","",""
"STIC-PIETWCRR0-W","","","","","","","","",""
"STIC-PIETWCR02R0-W","","","","","","","","",""
"STIC-PIETWCR03R0-W","","","","","","","","",""
"STIC-PIETWCR04R0-W","","","","","","","","",""
"STIC-PIETWCR05R0-W","","","","","","","","",""
"STIC-PIIBBMR0-W","","","","","","","","",""
"STIC-PIISCEPR0-W","","","","","","","","",""
"STIC-PNISCEPR0-W","","","","","","","","",""
"STIC-PQETWC01R0-W","","","","","","","","",""
"STIC-PQETWC02R0-W","","","","","","","","",""
"STIC-PQETWC03R0-W","","","","","","","","",""
"STIC-PQETWC04R0-W","","","","","","","","",""
"STIC-PQETWC05R0-W","","","","","","","","",""
"STIC-PQETWCR01R0-W","","","","","","","","",""
"STIC-PQETWCR02R0-W","","","","","","","","",""
"STIC-PQETWCR03R0-W","","","","","","","","",""
"STIC-PQETWCR04R0-W","","","","","","","","",""
"STIC-PQETWCR05R0-W","","","","","","","","",""
"STIC-QRMFMPR1-E","","","","","","","","",""
"STIC-QRMFMRR1-E","","","","","","","","",""
"STIC-QRMFTTOR1-E","","","","","","","","",""
"STIC-VDMCW04R0-E","2200066","1.0","3","2","5000.0","100.0","2022-08-11","","DELIVERED DUTY PAID"
"","2200066","1.0","3","2","5000.0","100.0","2022-08-11","","DELIVERED DUTY PAID"
"","2200066","1.0","3","2","5000.0","100.0","2022-08-11","","DELIVERED DUTY PAID"
"","2200066","1.0","3","2","5000.0","100.0","2022-08-11","","DELIVERED DUTY PAID"
"STIC-VIBBM01R1-W","","","","","","","","",""
"STIC-VIBBM02R1-W","","","","","","","","",""
"STIC-VPWLF24HW32-MO","","","","","","","","",""
"STIC-VTCPFTSNR0-T","2200161","1.0","3","2","3000.0","100.0","2022-07-25","","DELIVERED DUTY PAID"
"","2200161","1.0","3","2","3000.0","100.0","2022-07-25","","DELIVERED DUTY PAID"
"","2200161","1.0","3","2","3000.0","100.0","2022-07-25","","DELIVERED DUTY PAID"
"","2200161","1.0","3","2","3000.0","100.0","2022-07-25","","DELIVERED DUTY PAID"
"","2200161","1.0","3","2","3000.0","100.0","2022-07-25","","DELIVERED DUTY PAID"
"STIC-VTCPFTSLR0-T","2200161","1.0","3","2","3000.0","100.0","2022-07-25","","DELIVERED DUTY PAID"
"","2200161","1.0","3","2","3000.0","100.0","2022-07-25","","DELIVERED DUTY PAID"
"","2200161","1.0","3","2","3000.0","100.0","2022-07-25","","DELIVERED DUTY PAID"
"","2200161","1.0","3","2","3000.0","100.0","2022-07-25","","DELIVERED DUTY PAID"
"","2200161","1.0","3","2","3000.0","100.0","2022-07-25","","DELIVERED DUTY PAID"
"TUBE-NFSBSRE-ELL","","","","","","","","",""
"PUFF-TWCSR0-MO","2306597","1.0","11","2","5000.0","100.0","2021-01-25","","FREE ON BOARD"
"","2306597","1.0","11","2","5000.0","100.0","2021-01-25","2021-01-25","FREE ON BOARD"
