"Last Updated on","Created on","Korporat Code","Internal Reference","Name","Internal Name","Material Type","Unit of Measure/Display Name","PO Conversion Coeff","Brand/Display Name","Source","NFG Type/Display Name","Type of RM/PM","Customized UOM PO/Display Name"
"2022-08-05 04:49:55","2022-08-05 04:47:32","BOTO-PETCHEERS100-X","BOTO-PETCHEERS100-X","Botol PET CHEERS 100 ml X, Natural, Oval, 24/410, 13 gr,","Botol PET CHEERS 100 X","Packaging Material","Pc(s)","0.0","Non Brand","","BOTPOT","Irregular","Pc(s)"
"2022-08-02 03:03:50","2021-10-15 08:57:32","BOTO-JKLTS05R0-OMG","BOTO-JKLTS05R0-OMG","Bottle Juicy Kiss Lip Tint 05 OMG,LG-897,PETG,TintedPinkTransparentColour,1PassPrinting,NoFinishing","Bottle Juicy Kiss Lip Tint 05 OMG","Packaging Material","Pc(s)","0.0","OMG","","BOTPOT","Irregular","Pc(s)"
"2022-08-05 04:38:06","2022-06-13 06:16:14","BOX-HSB22-L","BOX-HSB22-L","Box Healthy Skin Barrier 2022 Labore, Corrugated E flute lapis Art Carton 190gsm, 190x42x145mm, CMYK+1w (5/1), VarMatte","Box Healthy Skin Barrier 2022 L","Packaging Material","Pc(s)","0.0","Labore","","BOX","Irregular","Pc(s)"
"2022-08-02 03:10:53","2022-03-10 03:08:28","CAPA-PTMLCR2-MO","CAPA-PTMLCR2-MO","Cap+Applicator Powerstay TM Lip Cream REV-2 Make Over,PW5001B,ABS,BlackInjection,1PassPrinting,SprayMatte","Cap+Applicator Powerstay TM Lip Cream R2 MO","Packaging Material","Pc(s)","0.0","Make Over","","BOTPOT","Irregular","Pc(s)"
"2022-08-02 02:49:06","2021-04-21 04:42:13","CONT-EFSLGNS-W","CONT-EFSLGNS-W","Container Everyday Fruity Sheer Lip Balm Grape NS Wardah.AS.1W.Injection.Spray Matte Clear","Container Everyday Fruity Sheer Lip Balm Grape NS W","Packaging Material","Pc(s)","0.0","Wardah","Imported","CASECONT","Regular","Pc(s)"
"2022-06-30 08:35:23","2022-06-28 00:09:38","DUS-CLPB04RVR0-E","DUS-CLPB04RVR0-E","Dus Cheek Lit Pressed Blush 04 Revamp Emina,Ivory 300 gsm,4W,52x52x13mm,VarDoff","Dus Cheek Lit Pressed Blush 04 RV Emina","Packaging Material","Pc(s)","0.0","Emina","","DUS","Irregular","Pc(s)"
"2022-06-30 08:35:56","2022-06-28 00:10:41","DUS-CLPB05RVR0-E","DUS-CLPB05RVR0-E","Dus Cheek Lit Pressed Blush 05 Revamp Emina,Ivory 300 gsm,4W,52x52x13mm,VarDoff","Dus Cheek Lit Pressed Blush 05 RV Emina","Packaging Material","Pc(s)","0.0","Emina","","DUS","Irregular","Pc(s)"
"2022-08-02 02:52:31","2022-08-02 02:51:28","DUS-DMCR0-E","DUS-DMCR0-E","Dus Daily Matte Cushion Emina,Ivory 300gsm,3W,75x28x75mm,VarnishGlossy","Dus Daily Matte Cushion E","Packaging Material","Pc(s)","0.0","Emina","","DUS","Irregular","Pc(s)"
"2022-08-02 02:46:12","2021-10-07 08:34:55","DUS-ELCP01R1-W","DUS-ELCP01R1-W","Dus EveLum Compact Powder 01 REV-1 Wardah (Relaunch),Ivory 300gsm,5W,76x76x19mm,Lam Glossy","Dus EveLum Compact Powder 01 R1 (Relaunch) W","Packaging Material","Pc(s)","0.0","Wardah","Local","DUS","Irregular","Pc(s)"
"2022-08-02 02:57:24","2021-10-07 08:35:33","DUS-ELCP02R1-W","DUS-ELCP02R1-W","Dus EveLum Compact Powder 02 REV-1 Wardah (Relaunch),Ivory 300gsm,5W,76x76x19mm,Lam Glossy","Dus EveLum Compact Powder 02 R1 (Relaunch) W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-08-02 02:53:01","2021-10-07 08:36:16","DUS-ELCP03R1-W","DUS-ELCP03R1-W","Dus EveLum Compact Powder 03 REV-1 Wardah (Relaunch),Ivory 300gsm,5W,76x76x19mm,Lam Glossy","Dus EveLum Compact Powder 03 R1 (Relaunch) W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-08-02 03:05:13","2021-10-07 08:37:03","DUS-ELCP04R1-W","DUS-ELCP04R1-W","Dus EveLum Compact Powder 04 REV-1 Wardah (Relaunch),Ivory 300gsm,5W,76x76x19mm,Lam Glossy","Dus EveLum Compact Powder 04 R1 (Relaunch) W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-08-02 04:06:13","2021-04-21 05:14:49","DUS-EMLC12R1-WILD","DUS-EMLC12R1-WILD","Dus Exclusive Matte Lip Cream 12 REV-1 Wardah,Ivory 250 gsm,2W,20x20x112mm,Lam Doff,HS Silver,J2","Dus Dus Exclusive Matte Lip Cream 12 R1 W Wardah","Packaging Material","Pc(s)","0.0","Wardah","Local","DUS","Irregular","Pc(s)"
"2022-08-05 02:28:15","2022-08-05 02:27:37","DUS-LDC30RLR2-W","DUS-LDC30RLR2-W","Dus Lightening Day Cream 30 g Relaunch REV-2 Wardah, I300,59x59x43,4W,HS,VarGlos,NewBlockColor","Dus Lightening Day Cream 30 Relaunch R2 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-08-05 02:31:06","2022-08-05 02:30:00","DUS-LDG20R2-W","DUS-LDG20R2-W","Dus Lightening Day Gel 20 ml Relaunch REV-2 Wardah, I300,40x25x115,4W,HS,VarGlos,NewBlockColor","Dus Lightening Day Gel 20 Relaunch R2 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-08-05 02:25:27","2022-08-05 02:24:39","DUS-LDG30RLR2-W","DUS-LDG30RLR2-W","Dus Lightening Day Gel 30 g Relaunch REV-2 Wardah, I300,59x59x43,4W,HS,VarGlos,NewBlockVariant","Dus Lightening Day Gel 30 Relaunch R2 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-08-02 02:48:34","2022-05-24 04:37:49","DUS-RYDC15R1-W","DUS-RYDC15R1-W","Dus Renew You Day Cream 15 g R1 Wardah, Ivory Metallizing 325, 40x26x115 mm, CMYK + 3W, Varnish Matte","Dus Renew You Day Cream 15 R1 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-08-02 02:53:07","2021-08-13 01:19:16","DUS-SMULCCR1-E","DUS-SMULCCR1-E","Dus SMU L Concealer Caramel REV-01 Emina, Ivory 300, 115x26x20mm,3W, LamDoff, SpotUV","Dus SMU L Concealer Caramel R1 E","Packaging Material","Pc(s)","0.0","Emina","","DUS","Irregular","Pc(s)"
"2022-08-02 02:53:19","2021-08-13 01:17:09","DUS-SMULCLR1-E","DUS-SMULCLR1-E","Dus SMU L Concealer Light REV-01 Emina, Ivory 300, 115x26x20mm,3W, LamDoff, SpotUV","Dus SMU L Concealer Light R1 E","Packaging Material","Pc(s)","0.0","Emina","","DUS","Irregular","Pc(s)"
"2022-08-02 02:53:00","2021-08-13 01:18:20","DUS-SMULCNR1-E","DUS-SMULCNR1-E","Dus SMU L Concealer Natural REV-01 Emina, Ivory 300, 115x26x20mm,3W, LamDoff, SpotUV","Dus SMU L Concealer Natural R1 E","Packaging Material","Pc(s)","0.0","Emina","","DUS","Irregular","Pc(s)"
"2022-08-02 02:53:32","2022-04-06 01:12:00","DUS-SSTPR3-MO","DUS-SSTPR3-MO","Dus Silky Smooth Translucent Powder REV-3 Make Over. Ivory 300gsm. 3/1. 70x70x43mm. LamGlossy","Dus Silky Smooth Translucent Powder R3 MO","Packaging Material","Pc(s)","0.0","Make Over","","DUS","Irregular","Pc(s)"
"2022-08-02 02:48:12","2022-04-06 01:14:09","DUS-VMP20CR1-MO","DUS-VMP20CR1-MO","Dus Velvet Mattifying Primer 20 ml REV-1 CRT Make Over. Ivory250. 2W. 40x26x120. LamDoff","Dus Velvet Mattifying Primer 20 R1 CRT MO","Packaging Material","Pc(s)","0.0","Make Over","","DUS","Irregular","Pc(s)"
"2022-07-26 06:16:14","2022-07-26 06:15:35","ENV-NFSBWMGT15-BD","ENV-NFSBWMGT15-BD","Envelope NFS Body Wash Mint + Green Tea 15 ml Biodef, Ivory300, 286x75mm(terbuka), CMYK/CMYK, Waterbase varnish","Envelope NFS Body Wash Mint + Green Tea 15 BD","Packaging Material","Pc(s)","0.0","Biodef","","ENVELOPE","Irregular","Pc(s)"
"2022-07-26 06:07:15","2022-07-26 06:06:27","ENV-NFSBWMSS15-BD","ENV-NFSBWMSS15-BD","Envelope NFS Body Wash Mint + Sea Salt 15 ml Biodef, Ivory300, 286x75mm(terbuka), CMYK/CMYK, Waterbase varnish","Envelope NFS Body Wash Mint + Sea Salt 15 BD","Packaging Material","Pc(s)","0.0","Biodef","","ENVELOPE","Irregular","Pc(s)"
"2022-07-26 06:11:43","2022-07-26 06:11:21","ENV-NFSBWMYZ15-BD","ENV-NFSBWMYZ15-BD","Envelope NFS Body Wash Mint + Yuzu 15 ml Biodef, Ivory300, 286x75mm(terbuka), CMYK/CMYK, Waterbase varnish","Envelope NFS Body Wash Mint + Yuzu 15 BD","Packaging Material","Pc(s)","0.0","Biodef","","ENVELOPE","Irregular","Pc(s)"
"2022-07-04 04:22:02","2022-06-17 06:41:08","KB-BPU5LR1-P","KB-BPU5LR1-P","Karton Box Polos 5 L REV-1 Putri. K150/M125/K150 C/F. 1W. 333x278x132mm. No Finishing. Glue","Karton Box Polos 5 L R1 Putri","Packaging Material","Pc(s)","0.0","Putri","","KARTON BOX","Irregular","Pc(s)"
"2022-06-17 06:44:19","2022-06-17 06:40:20","KB-P250R1-P","KB-P250R1-P","Karton Box Putri 12x250ml REV-1 Putri. K150/M125/K150 C/F. 1W. 252x162x155 mm. No Finishing. Glue","Karton Box 250 R1 Putri","Packaging Material","Pc(s)","0.0","Putri","","KARTON BOX","Irregular","Pc(s)"
"2022-06-17 06:42:16","2022-06-17 06:42:02","KB-PHS200R1-P","KB-PHS200R1-P","Karton Box Putri Hair Spray 24x200 ml REV-1 Putri. K150/M125/K150 C/F. 1W. 285x182x182 mm. No Finishing. Glue","Karton Box Putri HS 200 R1 Putri","Packaging Material","Pc(s)","0.0","Putri","","KARTON BOX","Irregular","Pc(s)"
"2022-06-17 06:43:19","2022-06-17 06:42:59","KB-PHT200DR1-P","KB-PHT200DR1-P","Karton Box Putri Hair tonik 24x200 ml Dus REV-1 Putri. K150/M125/K150 C/F. 1W. 315x268x173 mm. No Finishing. Glue","Karton Box Putri HT 200 Dus R1 Putri","Packaging Material","Pc(s)","0.0","Putri","","KARTON BOX","Irregular","Pc(s)"
"2022-08-05 04:39:28","2022-06-13 06:18:27","LEAF-HSB22-L","LEAF-HSB22-L","Leaflet Healthy Skin Barrier 2022 Labore, Art Carton 190gsm, 90x120mm, CMYK+1w, LamDoff","Leaflet Healthy Skin Barrier 2022 L","Packaging Material","Pc(s)","0.0","Labore","","LEAFLET","Irregular","Pc(s)"
"2022-08-02 03:42:00","2021-08-19 02:41:08","BOTO-PSNFSMPLTR0-E","BOTO-PSNFSMPLTR0-E","PS Bottle NFS Magic Potion Lip Tint Emina,Sanjin,PP,Injection Natural,No Finishing","PS Bottle NFS Magic Potion Lip Tint 0.5 mL Emina","Packaging Material","Pc(s)","0.0","Emina","","BOTPOT","Irregular","Pc(s)"
"2022-08-02 03:42:01","2021-08-19 02:40:04","CAPA-PSNFSMPLTR0-E","CAPA-PSNFSMPLTR0-E","PS Cap+Wiper NFS Magic Potion Lip Tint Emina,Sanjin,Cap:PP,Wiper:LLDPE+EVA,Cap:Injection Color White,Wiper:Injection Natural,No Finishing","PS Cap+Wiper NFS Magic Potion Lip Tint 0.5 mL Emina","Packaging Material","Pc(s)","0.0","Emina","","CAP","Irregular","Pc(s)"
"2022-08-02 03:19:21","2022-02-02 06:39:36","BOTO-PSFSUAR0-IP","BOTO-PSFSUAR0-IP","PS Final Bottle Step Up Anna IP,HCP,65Q,InjectionTransparent,MetalizingRoseGoldCollar,1PassPrinting,HotstampingRoseGold,SprayMatte","PS Final Bottle Step Up Anna IP","Packaging Material","Pc(s)","0.0","Instaperfect","Imported","BOTPOT","Irregular","Pc(s)"
"2022-08-02 03:05:14","2021-11-24 01:20:53","DUS-PSFMLMPFE14R0-IP","DUS-PSFMLMPFE14R0-IP","PS Final Dus Mattesetter Lip Matte Paint Festive Edition 14 Instaperfect,Ivory 250 gsm,20x20x87mm,4W(Tinta ULR),Varnish Matte,Spot UV","PS Final Dus Mattesetter Lip Matte Paint Festive Edition 14 IP","Packaging Material","Pc(s)","0.0","Instaperfect","","DUS","Irregular","Pc(s)"
"2022-08-02 04:00:00","2021-10-12 01:01:03","PLAS-DMEXER0-W","PLAS-DMEXER0-W","Plastik Dalam Mica PET EyeXpert Eyebrow Kit Wardah, PET 100 mic,1W, 60x40mm","Plastik Dalam Mica PET EyeXpert Eyebrow Kit W","Packaging Material","Pc(s)","0.0","Wardah","","PLASTIK MICA","Irregular","Pc(s)"
"2022-08-02 03:58:13","2021-10-12 01:15:45","PLAS-DM62R0-P","PLAS-DM62R0-P","Plastik Dalam Mica PET Lulur 150 ml Putri, PET 100 mic, D=62 mm","Plastik Dalam Mica PET Lulur 150 ml P","Packaging Material","Pc(s)","0.0","Putri","","PLASTIK MICA","Irregular","Pc(s)"
"2022-08-02 02:48:41","2021-04-21 04:49:37","PUFF-DMCPR0-E","PUFF-DMCPR0-E","Puff Daily Matte Compact Powder Emina.Polyester.White.d=54mm.t=5mm","Puff Daily Matte Compact Powder E","Packaging Material","Pc(s)","0.0","Emina","Local","PUFF","Irregular","Pc(s)"
"2022-08-02 02:13:16","2021-04-21 05:01:20","PUFF-LPMOD58FP-PH","PUFF-LPMOD58FP-PH","Puff Loose Powder Make Over,D=58mm,Flocked puff,Black Ribbon","Case/Container Puff Loose Powder d=58mm Pita Hitam Make ove","Packaging Material","Pc(s)","0.0","Make Over","Imported","PUFF","Irregular","Pc(s)"
"2022-08-02 03:48:06","2021-12-09 07:25:12","PUFF-PPFR0-MO","PUFF-PPFR0-MO","Puff Powerstay Matte Powder Foundation Revamp Make Over. Dual sided NBR + Flock. D=54.5 mm, T= 5.5 mm. Black","Puff Powerstay Matte Powder Foundation Revamp MO","Packaging Material","Pc(s)","0.0","Make Over","","PUFF","Irregular","Pc(s)"
"2022-08-02 02:49:14","2021-04-21 04:49:40","PUFF-TWCNBRR1-W","PUFF-TWCNBRR1-W","Puff Two Way Cake NBR 100 % REV-1 D=54,5mm Tebal 5,5 mm,Putih","Puff Two Way Cake NBR 100 % R1","Packaging Material","Pc(s)","0.0","Wardah","Local","PUFF","Irregular","Pc(s)"
"2022-08-02 08:08:25","2022-08-02 08:08:25","STIC-BCLF13CIR1-OMG","STIC-BCLF13CIR1-OMG","Sticker Back Coverlast Liquid Foundation 25 mL 13 C Ivory REV-1 OMG. PEWhite. 62x31mm. 3W. VarMatte. TintaULR. RDD","Sticker Back Coverlast Liquid Foundation 25 mL 13 C Ivory R1 OMG","Packaging Material","Pc(s)","0.0","OMG","","STICKER","Irregular","Pc(s)"
"2022-08-05 03:13:36","2022-08-03 06:31:01","STIC-BCEBPBLR2-MO","STIC-BCEBPBLR2-MO","Sticker Barcode Eye Brow Pencil Black Lines REV-2 Make Over. PP White. 1W. 40x15mm.","Sticker BC Eye Brow Pencil Black Lines R2 MO","Packaging Material","Pc(s)","0.0","Make Over","","STICKER","Irregular","Pc(s)"
"2022-08-05 03:12:38","2022-08-03 06:29:37","STIC-BCEBPBTER2-MO","STIC-BCEBPBTER2-MO","Sticker Barcode Eye Brow Pencil Brown To Earth REV-2 Make Over. PP White. 1W. 40x15mm.","Sticker BC Eye Brow Pencil Brown to Earth R2 MO","Packaging Material","Pc(s)","0.0","Make Over","","STICKER","Irregular","Pc(s)"
"2022-08-02 02:50:52","2021-04-21 05:27:42","STIC-BCESTNNMO-PW1W3","STIC-BCESTNNMO-PW1W3","Sticker Barcode Eye Shadow Trivia Natural Nude Make Over,PP White,1W,3x1,5cm,Pond","Sticker Barcode Trivia ES Natural Nude Make over","Packaging Material","Pc(s)","0.0","Make Over","Local","STICKER","Regular","Pc(s)"
"2022-07-18 07:35:56","2022-07-18 07:35:20","STIC-BEOSLR0-B","STIC-BEOSLR0-B","Sticker Botol Essential Oil Lemon Beyondly. PE White. 31x75mm. 1W. VarMatte","Sticker Botol Essential Oil Single Lemon Beyondly B/LB","Packaging Material","Pc(s)","0.0","Beyondly","","STICKER","Irregular","Pc(s)"
"2022-08-02 03:51:38","2021-05-03 05:42:27","STIC-BCLPF12RR0-W","STIC-BCLPF12RR0-W","Sticker Bottom Crystallure PLS Powder Foundation 12 Refill Wardah.PETSilverMatte.2W.45x35mm.Gold.VarMatte","Sticker Bottom Crystallure PLS Powder Foundation 12 Refill W","Packaging Material","Pc(s)","0.0","Crystallure","","STICKER","Irregular","Pc(s)"
"2022-08-02 03:51:51","2021-05-03 05:43:25","STIC-BCLPF13RR0-W","STIC-BCLPF13RR0-W","Sticker Bottom Crystallure PLS Powder Foundation 13 Refill Wardah.PETSilverMatte.2W.45x35mm.Gold.VarMatte","Sticker Bottom Crystallure PLS Powder Foundation 13 Refill W","Packaging Material","Pc(s)","0.0","Crystallure","","STICKER","Irregular","Pc(s)"
