"Korporat Code","Material Type","General Subcategory","General Accountable State","General State","Rnd Process State","Ppc State","Rnd State","Lifecycle State"
"L-TRMLCA-OMG","Semi Finished Goods","Refill","Waiting for Approval","Waiting for Approval","Draft","Draft","Waiting for Approval","Draft"
"L-TRMLCB-OMG","Semi Finished Goods","Refill","Waiting for Approval","Waiting for Approval","Draft","Draft","Waiting for Approval","Draft"
"L-TRMLCD-OMG","Semi Finished Goods","Refill","Waiting for Approval","Waiting for Approval","Draft","Draft","Waiting for Approval","Draft"
"L-TRMLCE-OMG","Semi Finished Goods","Refill","Waiting for Approval","Waiting for Approval","Draft","Draft","Waiting for Approval","Draft"
"L-TRMLCF-OMG","Semi Finished Goods","Refill","Waiting for Approval","Waiting for Approval","Draft","Draft","Waiting for Approval","Draft"
"L-TRMLCG-OMG","Semi Finished Goods","Refill","Waiting for Approval","Waiting for Approval","Draft","Draft","Waiting for Approval","Draft"
"L-TRMLCH-OMG","Semi Finished Goods","Refill","Waiting for Approval","Waiting for Approval","Draft","Draft","Waiting for Approval","Draft"
"L-TRMLCI-OMG","Semi Finished Goods","Refill","Waiting for Approval","Waiting for Approval","Draft","Draft","Waiting for Approval","Draft"
"L-TRMLCJ-OMG","Semi Finished Goods","Refill","Waiting for Approval","Waiting for Approval","Draft","Draft","Waiting for Approval","Draft"
"L-TRMLCK-OMG","Semi Finished Goods","Refill","Waiting for Approval","Waiting for Approval","Draft","Draft","Waiting for Approval","Draft"
"L-TRMLCL-OMG","Semi Finished Goods","Refill","Waiting for Approval","Waiting for Approval","Draft","Draft","Waiting for Approval","Draft"
"L-TRMLCM-OMG","Semi Finished Goods","Refill","Waiting for Approval","Waiting for Approval","Draft","Draft","Waiting for Approval","Draft"
"L-TRMLCN-OMG","Semi Finished Goods","Refill","Waiting for Approval","Waiting for Approval","Draft","Draft","Waiting for Approval","Draft"
"L-TRMLCO-OMG","Semi Finished Goods","Refill","Waiting for Approval","Waiting for Approval","Draft","Draft","Waiting for Approval","Draft"
"L-TRMLCP-OMG","Semi Finished Goods","Refill","Waiting for Approval","Waiting for Approval","Draft","Draft","Waiting for Approval","Draft"
"L-TRMLCQ-OMG","Semi Finished Goods","Refill","Waiting for Approval","Waiting for Approval","Draft","Draft","Waiting for Approval","Draft"
"L-TRMLCR-OMG","Semi Finished Goods","Refill","Waiting for Approval","Waiting for Approval","Draft","Draft","Waiting for Approval","Draft"
"M-NSPJT-W","Finished Goods","Not Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"SS-NSSPF50-W","Finished Goods","Not Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"B-NSZZ-W","Finished Goods","Not Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
