"Last Updated on","Created on","Internal Reference","Name","Material Type","General Subcategory/Display Name","Unit of Measure/Display Name","Bulk status","Netto Claim","Netto Claim UOM/Display Name","Factory/Display Name"
"2022-07-25 11:01:20","2022-07-25 06:28:44","BB-BBC-BULK","BIODEF NATURAL PROTECTION ANTISEPTIC BATHBOMB MINT + GREEN TEA","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-25 11:01:33","2022-07-25 06:27:24","BB-BBA-BULK","BIODEF NATURAL PROTECTION ANTISEPTIC BATHBOMB MINT + SEASALT","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-25 11:01:43","2022-07-25 06:25:15","BB-BBD-BULK","BIODEF NATURAL PROTECTION ANTISEPTIC BATHBOMB MINT + YUZU","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 08:21:40","2022-07-18 03:17:59","LD-CDFB-BULK","Beyondly Fitclair Collagen Drink","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-19 07:59:38","2022-07-19 01:02:36","BO-R2CLPBML-BULK","EMINA Cheek Lit Pressed Blush Marshmallow Lady","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-19 08:00:15","2022-07-19 01:12:58","BO-R2CLPBVB-BULK","EMINA Cheek Lit Pressed Blush Violet Berry","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-06-28 04:02:42","2022-06-15 04:13:07","GWP-ERDPA-BULK","Earth Love Life Reed Diffuser, Moringa Breeze","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-06-28 04:03:06","2022-06-15 04:15:55","GWP-ERDPB-BULK","Earth Love Life Reed Diffuser, Morning Glory","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-05 07:45:48","2022-07-05 03:56:51","EB-IPBC-BULK","Instaperfect Browfessional Clear","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-05 07:57:40","2022-07-05 04:18:42","EB-IPEM03-BULK","Instaperfect Browflash New Color 3","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-05 07:57:53","2022-07-05 04:17:30","EB-RIPEM01-BULK","Instaperfect Browflash Revamp 1","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-05 09:17:24","2022-07-05 04:18:04","EB-RIPEM02-BULK","Instaperfect Browflash Revamp 2","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-27 09:38:33","2022-07-27 00:45:53","ES-IPB-01-BULK","Instaperfect Spectrum Eyeshadow Peachstellar 01","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-27 09:47:32","2022-07-27 00:46:45","ES-IPB-02-BULK","Instaperfect Spectrum Eyeshadow Peachstellar 02","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-27 09:55:51","2022-07-27 00:47:25","ES-IPB-03-BULK","Instaperfect Spectrum Eyeshadow Peachstellar 03","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-27 09:56:24","2022-07-27 00:48:13","ES-IPB-04-BULK","Instaperfect Spectrum Eyeshadow Peachstellar 04","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-27 09:56:58","2022-07-27 00:48:57","ES-IPB-05-BULK","Instaperfect Spectrum Eyeshadow Peachstellar 05","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-27 09:57:32","2022-07-27 00:49:31","ES-IPB-06-BULK","Instaperfect Spectrum Eyeshadow Peachstellar 06","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-27 09:57:51","2022-07-27 00:34:10","ES-IPA-01-BULK","Instaperfect Spectrum Eyeshadow Rosette Hue 01","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-27 09:58:41","2022-07-27 00:34:46","ES-IPA-02-BULK","Instaperfect Spectrum Eyeshadow Rosette Hue 02","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-27 09:59:27","2022-07-27 00:35:43","ES-IPA-03-BULK","Instaperfect Spectrum Eyeshadow Rosette Hue 03","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-27 10:00:46","2022-07-27 00:42:22","ES-IPA-04-BULK","Instaperfect Spectrum Eyeshadow Rosette Hue 04","Semi Finished Goods","Bulk","g","","0.0","",""
