"Korporat Code","Variant Seller/Vendor/Reference","Variant Seller/Delivery Lead Time","Variant Seller/QC Leadtime in days"
"PU-AKMUMFS-X","","",""
"BRUS-ABBR0-MO","2304171","15","6"
"BRUS-ABR0-MO","2304171","15","6"
"SACH-ADSS10R1-W","2200105","4","2"
"SACH-ADSS10-W","2200105","4","2"
"KUAS-ES-AQSAC09-P","","",""
"KUAS-ESMO2KSNBR-THG","2310113","18","2"
"","2310113","18","2"
"","2303688","19","2"
"","2303688","19","2"
"APPL-EBR0-ENPS","2200060","9","2"
"","2200060","9","2"
"KUAS-LIPP10BH-BP","2310113","18","2"
"","2310113","18","2"
"","2303688","19","2"
"KUAS-LIPP10BT-BP","2310113","18","2"
"","2303688","19","2"
"PIP-ACSROSR0-W","2200025","15","2"
"","2200113","15","2"
"BAL-BROBPPEC-D254W23","2200086","2","2"
"BAL-EXPPLR0-W","2200148","10","2"
"","2200148","10","2"
"","2200148","10","2"
"","2200148","10","2"
"","2200148","10","2"
"BAL-SPPLL-MOSS","2200032","15","2"
"","2200032","17","2"
"","2200032","15","2"
"BAL-SSLEL-WSS","2200032","17","2"
"","2200032","15","2"
"BAL-BALTEPLR0-E","2200148","11","2"
"","2200148","11","2"
"","2200148","11","2"
"CUSH-EBWMMC01L-X","2300964","12","2"
"CUSH-EBWMMC02N-X","2300964","12","2"
"CUSH-EBWMMC03C-X","2300964","12","2"
"CUSH-EBWMMC04M-X","2300964","12","6"
"DUS-BBLPAR0-WILD","2303752","4","2"
"DUS-BBLPBR0-WILD","2303752","4","2"
"DUS-BBLPCR0-WILD","2303752","4","2"
"DUS-BBLPDR0-WILD","2303752","4","2"
"BASE-CLBPER0-E","2200131","10","2"
"","2200131","10","2"
"","2200131","10","2"
"","2200131","10","2"
"BASE-CLBPIR0-E","2200131","10","2"
"","2200131","10","2"
"","2200131","10","2"
"","2200131","10","2"
"BASE-CLHNTR0-E","2200131","10","2"
"","2200131","10","2"
"","2200131","10","2"
"","2200131","10","2"
"BASE-CSS-W","2200115","14","2"
"BASC-UVSSR0-W","2200115","14","2"
"","2200115","14","2"
"CONT-CGRPR0-W","2200093","5","2"
"BASE-MMB01-MO","2303771","16","2"
"","2303771","16","2"
"","2303771","16","2"
"BASE-MMB02-MO","2303771","16","2"
"","2303771","16","2"
"","2303771","16","2"
"BASE-MMB03-MO","2303771","16","2"
"","2303771","16","2"
"","2303771","16","2"
"BASE-MMB04-MO","2303771","16","2"
"","2303771","16","2"
"","2303771","16","2"
"BASE-MMB05-MO","2303771","16","2"
"","2303771","16","2"
"","2303771","16","2"
"BASE-PNCWSWNLPT-063W","","",""
"BASE-PCSS-W","2200115","14","2"
"BRUS-BBR0-MO","2302221","14","6"
"","2302221","14","6"
"PAP-CULML01R0-W","","",""
"PAP-CULML05R0-W","","",""
"PAP-CULML08R0-W","","",""
"PAP-EBPBLR0-W","2307359","2","2"
"","2307359","2","2"
"PAP-EBPBRR0-W","2307359","2","2"
"","2307359","2","2"
"PAP-LLC01LR1-W","","",""
"PAP-LLC01LR0-W","2200043","4","2"
"","2200152","4","2"
"","2200152","4","2"
"PAP-LLC02BR1-W","","",""
"PAP-LLC02BR0-W","2200043","4","2"
"","2200152","4","2"
"","2200152","4","2"
"PAP-LLF01LB-W","2200043","4","2"
"","2200043","4","2"
"PAP-LLF01LBR1-W","2200043","4","2"
"","2200152","4","2"
"","2200152","4","2"
"PAP-LLF01LBR2-W","","",""
"PAP-LLF02B-W","2200043","4","2"
"","2200043","4","2"
"PAP-LLF02BR1-W","2200043","4","2"
"","2200152","4","2"
"PAP-LLF02BR2-W","","",""
"PAP-LLF03I-W","2200043","4","2"
"","2200152","4","2"
"PAP-LLF03IR1-W","2200043","4","2"
"","2200152","4","2"
"PAP-LLF03IR2-W","","",""
"PAP-LLF04N-W","2200043","4","2"
"","2200043","4","2"
"PAP-LLF04NR2-W","","",""
"PAP-LLF04NR1-W","2200043","4","2"
"","2200152","4","2"
"","2200152","4","2"
"PAP-UVSSR1-W","2200037","6","2"
"","2200037","6","2"
"","2200037","6","2"
"","2200037","6","2"
"","2200037","6","2"
"","2200037","6","2"
"PAP-UVSSR0-W","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"BAL-BPR1D882B08-WT","2200027","18","2"
"","2200154","18","2"
"BOTO-CAUSSSR0-TV","2302336","4","2"
"","2302336","4","2"
"BOTO-ALMR1-WPETG","2200032","16","2"
"","2200032","16","2"
"","2200032","17","2"
"","2200032","16","2"
"BOTO-ALMW-PGFB","","",""
"BOTO-BNG100PVC-","2200042","4","2"
"","2200042","4","2"
"BOTO-BWMGTR0-BD","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"BOTO-BWMSSR0-BD","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"BOTO-BWMYZR0-BD","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"BOTO-CSDSBS20R0-W","2302356","11","2"
"","2302356","11","2"
"","2302356","11","2"
"","2302356","11","2"
"BOTO-CSPTE30-W","2200004","4","2"
"","2200004","4","2"
"BOTO-C240GTP-PET24","2200104","22","2"
"BOTO-C240RPP-PET24","","",""
"BOTO-C240SBP-PET24","","",""
"BOTO-C240TBP-PET24","","",""
"BOTO-C750GTP-PET28","","",""
"BOTO-C750RPP-PET28","","",""
"BOTO-C750SBP-PET28","","",""
"BOTO-CLFR0-OMG","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"BOTO-DROR0-K","2200028","4","2"
"","2200028","4","2"
"","2200028","4","2"
"BO-EDTKITR0-K","2302356","11","2"
"BOTO-ELMFR0-W","2200028","4","2"
"","2200028","4","2"
"","2200028","4","2"
"","2200028","4","2"
"BOTO-EDGLR0-EPNP1","","",""
"BOTO-FS8CCONE-HPWO","","",""
"BOTO-FANC100PEA-","","",""
"BOTO-G150HBLFBW-P2PH","","",""
"BOTO-G150LBLR1-WHD","2200036","4","2"
"BOTO-G150LFTR1-WHD","2200036","4","2"
"BOTO-G150LFTRC-WHD","2200036","4","2"
"BOTO-G150LMCRC-WHD","2200036","4","2"
"BOTO-G150WSELG-WHD","2200036","4","2"
"BOTO-G150WSPBCG-WHD","2200036","4","2"
"BOTO-G150WSEL-WH1P","","",""
"BOTO-G150LFTWNL-BPP3","","",""
"BOTO-GBSRS20-L","2302356","9","2"
"","2302356","9","2"
"BOTO-GBHT100R0-L","2200042","8","2"
"","2200042","8","2"
"","2200042","8","2"
"BOTO-GBHT30-L","2200004","5","2"
"","2200004","5","2"
"","2200004","5","2"
"BOTO-GBHT30PSF-L","2200004","4","2"
"BOTO-GAACS15R1-W","2306553","9","2"
"BOTO-GAACS15R2-W","2306553","9","2"
"BOTO-GAACS15R3-W","2306553","9","2"
"BOTO-GAACS20-W","2306553","9","2"
"","2306553","9","2"
"","2306553","9","2"
"","2306553","9","2"
"","2306553","9","2"
"","2306553","9","2"
"BOTO-GCDSW-GPOP2W","2200151","15","2"
"","2200151","15","2"
"","2200151","15","2"
"","2200151","15","2"
"","2200151","15","2"
"","2200119","15","2"
"","2200119","15","2"
"","2200119","15","2"
"","2200119","15","2"
"","2200119","15","2"
"BOTO-GEDT35R0-WF1W","","",""
"BOTO-GELFRLR0-W","2306553","12","2"
"","2306553","12","2"
"","2306553","12","2"
"","2306553","12","2"
"","2306553","12","2"
"","2306553","12","2"
"BOTO-GELF20ML-GFRO","2310113","25","2"
"","2303688","26","2"
"BOTO-GNSMS30-T","2200025","10","2"
"BOTO-GHCIX986-GTB","","",""
"BOTO-GLSA30R1-W","2306553","8","2"
"","2306553","8","2"
"BOTO-GLSA30R0-W","","",""
"BOTO-GMOA1302F-P1W","","",""
"BOTO-GMOF986FTD-P2W","2303688","26","2"
"","2310113","25","2"
"BOTO-GMUAF-MO","2200025","4","2"
"","2200113","6","2"
"BOTO-GMUCLT100-W","","",""
"BOTO-GMUATB-MO","2200025","4","2"
"BOTO-GPGS20R0-OMG","2306553","14","2"
"","2306553","14","2"
"","2304377","14","2"
"BOTO-GRYAASW-GPPP1WH","2200151","15","2"
"","2200151","15","2"
"","2200151","15","2"
"","2200151","15","2"
"","2200151","15","2"
"","2200119","15","2"
"","2200119","15","2"
"","2200119","15","2"
"","2200119","15","2"
"","2200119","15","2"
"BOTO-GA1302R1-MOF","2200025","26","2"
"","2303688","26","2"
"BOTO-GA1302RX-MO","","",""
"BOTO-GWSMS30-T","2200025","10","2"
"BOTO-GWSEW-GPW","2200151","15","2"
"","2200151","15","2"
"","2200151","15","2"
"","2200151","15","2"
"","2200151","15","2"
"","2200119","15","2"
"","2200119","15","2"
"","2200119","15","2"
"","2200119","15","2"
"","2200119","15","2"
"BOTO-HDPEBC250L-X","2302356","10","2"
"BOTO-HW100NP-DK12033","2200004","6","2"
"","2200004","6","2"
"","2200004","6","2"
"","2200004","6","2"
"BOTO-HWR0-BD","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"","2305884","2","2"
"BOTO-HS200NATR-","","",""
"BOTO-HFPO5-K","","",""
"BOTO-HRPIT30-W","","",""
"BOTO-GHGFFR0-MO","2200025","13","2"
"","2200025","13","2"
"","2200025","13","2"
"BOTO-GHLTBR0-MO","2200113","15","2"
"","2200025","15","2"
"","2200113","15","2"
"","2200025","15","2"
"","2200113","15","2"
"","2200025","15","2"
"BOTO-HFS8-WOW","","",""
"BOTO-IWPO5-K","","",""
"BOTO-KMUMFS-X","2200141","4","2"
"","2200141","4","2"
"BOTO-K200PET-X","2200008","4","2"
"","2200008","4","2"
"BOTO-PETRF60M-W","2200008","4","2"
"","2200008","4","2"
"BOTO-L100EEMUR1-WHD","2200036","4","2"
"","2200036","4","2"
"BOTO-L100EEMURR2-WHD","2200036","4","2"
"BOTO-L100EEMUR-WHD","2200036","6","2"
"","2200036","6","2"
"BOTO-L100GR0-W","2200036","4","2"
"","2200036","4","2"
"","2200036","4","2"
"","2200036","4","2"
"BOTO-L100NAT-UPP","","",""
"BOTO-L100TURR0-WPP","2200036","4","2"
"BOTO-L200BLA-PP","2200028","4","2"
"","2200028","4","2"
"","2200028","4","2"
"BOTO-L200NAT-PP","2200028","4","2"
"","2200028","4","2"
"","2200028","4","2"
"BOTO-L450BLA-PP","2200028","5","2"
"","2200028","5","2"
"","2200028","5","2"
"BOTO-L450NAT-PP","2200028","4","2"
"","2200028","4","2"
"","2200028","8","2"
"BOTO-L450WHI-PP","2200028","4","2"
"BOTO-L50EEMURR1-WHD","2200036","4","2"
"","2200036","4","2"
"BOTO-L50EEMURR2-WHD","2200036","4","2"
"BOTO-L50EEMUR-WHD","","",""
"BOTO-L50NAT-UPP","2200036","4","2"
"","2200036","4","2"
"","2200036","4","2"
"BOTO-LLS-EPETG","2200006","16","2"
"","2200006","16","2"
"BOTO-MF01LR0-E","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"BOTO-MF02NR0-E","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"BOTO-MF03CR0-E","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"BOTO-MF04MR0-E","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
"","2305884","4","2"
