"Korporat Code","General State","MPS Lead Time","Ppc State"
"P-RPB04-W","Confirmed","0","Draft"
"P-RPB03-W","Confirmed","0","Draft"
"P-RPB01-W","Confirmed","0","Draft"
"LAR-ATGPUS-BULK","Confirmed","5","Confirmed"
"A-W1MG-W40 ML","Confirmed","5","Confirmed"
"FW-ADCDN2-AM","Confirmed","5","Confirmed"
"FW-ADCDN1-AM","Confirmed","5","Confirmed"
"FW-DCPPN2-AM","Confirmed","5","Confirmed"
"FW-DCPPN1-AM","Confirmed","5","Confirmed"
"FW-PBOCN2-AM","Confirmed","5","Confirmed"
"FW-PBOCN1-AM","Confirmed","5","Confirmed"
"FW-PBPDN2-AM","Confirmed","5","Confirmed"
"FW-PBPDN1-AM","Confirmed","5","Confirmed"
"BB-BBN1C-BD","Confirmed","0","Draft"
"BB-BBN1A-BD","Confirmed","0","Draft"
"BB-BBN1D-BD","Confirmed","0","Draft"
"BOTP-CCA10150-IX","Confirmed","5","Confirmed"
"BOTP-CCA20150-IX","Confirmed","5","Confirmed"
"BOTP-CCA30150-IX","Confirmed","5","Confirmed"
"BOTP-CCA40150-IX","Confirmed","5","Confirmed"
"BOTP-ERBSAS30-T","Confirmed","3","Confirmed"
"BOTP-NZASS30-T","Confirmed","3","Confirmed"
"BOTP-PBSCMBS30-T","Confirmed","3","Confirmed"
"BOTP-NLREV2450-P","Waiting for Approval","0","Draft"
"BOTP-SL200R2-P","Confirmed","3","Confirmed"
"BOTP-HSNANB200R2-P","Confirmed","3","Confirmed"
"BOTP-HSNANB450R2-P","Confirmed","3","Confirmed"
"BOTP-HSNASH200R2-P","Confirmed","3","Confirmed"
"BOTP-HSNASH450R2-P","Confirmed","3","Confirmed"
"BOTS-SCMWR0-W","Confirmed","5","Confirmed"
"BASE-PC-BULK","Confirmed","5","Confirmed"
"BASE-PMPF-BULK","Confirmed","3","Confirmed"
"BASE-R3L-BULK","Confirmed","5","Confirmed"
"BASE-R3LLF-BULK","Confirmed","5","Confirmed"
"P-BHC-KA","Confirmed","0","Draft"
"L-BKML01-B","Draft","0","Draft"
"L-BKSS01-B","Draft","0","Draft"
"S-CSCB01-B","Confirmed","4","Confirmed"
"MB-COTR01-B","Confirmed","4","Confirmed"
"M-SSSC01-B","Confirmed","4","Confirmed"
"D-DEN01-B","Waiting for Approval","3","Confirmed"
"EO-BOLC01-B","Confirmed","4","Confirmed"
"EO-SOCB01-B","Confirmed","4","Confirmed"
"EO-SOEC01-B","Confirmed","4","Confirmed"
"EO-BOBR01-B","Confirmed","5","Confirmed"
"EO-BOHF01-B","Confirmed","3","Confirmed"
"EO-BOMB01-B","Confirmed","4","Confirmed"
"EO-SOLD01-B","Confirmed","4","Confirmed"
"EO-SOLM01-B","Confirmed","4","Confirmed"
"EO-SOLG01-B","Confirmed","4","Confirmed"
"EO-SOOR01-B","Confirmed","4","Confirmed"
"EO-SOPM01-B","Confirmed","4","Confirmed"
"EO-BOCR01-B","Confirmed","5","Confirmed"
"EO-BORF01-B","Confirmed","4","Confirmed"
"EO-BOSN01-B","Confirmed","5","Confirmed"
"EO-BOSH01-B","Confirmed","5","Confirmed"
"EO-SOTT01-B","Confirmed","4","Confirmed"
"EO-BOTB01-B","Confirmed","5","Confirmed"
