"Korporat Code","Previous Korporat Code","Transition Status","Batch Split","Production Start Date","Production End Date","Purchase Start Date","Purchase End Date","Supplier Text","Previous Supplier Text","State"
"BOTO-CSET125R1-W","BOTO-CSET125R0-W","Flow Through","yes","2021-12-27","","2021-06-07","","NATAMAS PLAST, PT","NATAMAS PLAST, PT","Confirmed"
"BOTO-LFT125R2-W","BOTO-LFT125R1-W","Immediately","no","2021-12-27","","2021-07-23","","NATAMAS PLAST, PT","NATAMAS PLAST, PT","Confirmed"
"BOTO-RYTER1-WPET","BOTO-RYTER0-WPET","Immediately","yes","","","2021-12-27","","","A.BEST INTER PRODUCTS CO.,LTD","Draft"
"CAPC-BMLPR2-E","CAPC-BMLPR1-EASBS","Flow Through","no","2021-12-27","","2021-05-11","","ALBEA RIGID PACKAGING, PT; TECHPACK ASIA, PT","TIGERMANDIRI PRATAMA, PT","Draft"
"CAPC-SFLPR1-E","CAPC-SFLPR0-EASBS","Flow Through","no","2021-12-27","","2021-05-11","","ALBEA RIGID PACKAGING, PT; TECHPACK ASIA, PT","TIGERMANDIRI PRATAMA, PT","Draft"
"CONT-BMLPR2-E","CONT-BMLPR1-EASNF","Flow Through","no","2021-12-27","","2021-05-11","","ALBEA RIGID PACKAGING, PT; TECHPACK ASIA, PT","TIGERMANDIRI PRATAMA, PT","Draft"
"CONT-DMCPR1-E","CONT-DMCPR0-E","Flow Through","yes","","","2021-12-28","","NATAMAS PLAST, PT","NATAMAS PLAST, PT","Draft"
"CONT-LRTWCRER1-W","CONT-LRTWCRE-WPPPB","Flow Through","yes","2021-12-27","","2021-10-19","","NATAMAS PLAST, PT","BERLINA TBK, PT; NATAMAS PLAST, PT","Confirmed"
"CONT-RCVPFR1-W","CONT-RCVPFR0-W","Flow Through","yes","2021-12-27","","2021-10-19","","NATAMAS PLAST, PT","NATAMAS PLAST, PT","Confirmed"
"CONT-SFLPR1-E","CONT-SFLPR0-EASNF","Flow Through","no","2021-12-27","","2021-05-11","","ALBEA RIGID PACKAGING, PT; TECHPACK ASIA, PT","TIGERMANDIRI PRATAMA, PT","Draft"
"CSMC-101BR1MO-X","CSMC-101BMO-X","Flow Through","no","","","2022-04-05","","ELEGANT BEST INVESTMENT LTD.","ELEGANT BEST INVESTMENT LTD.","Draft"
"CSMC-102IR1MO-X","CSMC-102IMO-X","Flow Through","no","","","2022-04-05","","ELEGANT BEST INVESTMENT LTD.","ELEGANT BEST INVESTMENT LTD.","Draft"
"CSMC-103HR1MO-X","CSMC-103HMO-X","Flow Through","no","","","2022-06-21","","ELEGANT BEST INVESTMENT LTD.","ELEGANT BEST INVESTMENT LTD.","Draft"
"CSMC-104BR1MO-X","CSMC-104BMO-X","Flow Through","no","","","2022-06-21","","ELEGANT BEST INVESTMENT LTD.","ELEGANT BEST INVESTMENT LTD.","Draft"
"CSMC-105SR1MO-X","CSMC-105SMO-X","Flow Through","no","","","2022-03-29","","ELEGANT BEST INVESTMENT LTD.","ELEGANT BEST INVESTMENT LTD.","Draft"
"CUS-PDCCC21R1-MO","CUS-PDCCC21R0-MO","Flow Through","no","","","2021-12-31","","COSMAX INDONESIA, PT","COSMAX INDONESIA, PT","Draft"
"CUS-PDCCN10R1-MO","CUS-PDCCN10R0-MO","Flow Through","no","","","2021-12-31","","COSMAX INDONESIA, PT","COSMAX INDONESIA, PT","Draft"
"CUS-PDCCN30R1-MO","CUS-PDCCN30R0-MO","Flow Through","no","","","2021-12-31","","COSMAX INDONESIA, PT","COSMAX INDONESIA, PT","Draft"
"CUS-PDCCW22R1-MO","CUS-PDCCW22R0-MO","Flow Through","no","","","2021-12-31","","COSMAX INDONESIA, PT","COSMAX INDONESIA, PT","Draft"
"CUS-PDCCW33R1-MO","CUS-PDCCW33R0-MO","Flow Through","no","","","2022-02-07","","COSMAX INDONESIA, PT","COSMAX INDONESIA, PT","Draft"
"DUS-ADM40CR2-WACLG","DUS-ADM40CR1-WACLG","Immediately","no","","","","","","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-ASATG15MR1-WM","DUS-ASATG15M-WM","Immediately","no","2021-12-27","","2021-11-22","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-BSAPMCR2-E","DUS-BSAPMCR1-E","Flow Through","no","2021-12-27","","2021-08-03","","PRINTINDO UTAMA, PT","PRINTINDO UTAMA, PT","Draft"
"DUS-BSMCFR4-E","DUS-BSMCR2-E","Immediately","no","2021-12-27","","2021-08-03","","PRINTINDO UTAMA, PT","PRINTINDO UTAMA, PT","Draft"
"DUS-BSTUCR3-E","DUS-BSTUCR1-EIVG","Immediately","no","2021-12-27","","2021-08-03","","PRINTINDO UTAMA, PT","PRINTINDO UTAMA, PT","Draft"
"DUS-BSTUCR4-E","DUS-BSTUCR3-E","Immediately","no","2021-12-27","","2021-09-20","","PRINTINDO UTAMA, PT","PRINTINDO UTAMA, PT","Draft"
