"Product/Internal Reference","Product/Product Name","Location","Lot/Serial Number","Inventoried Quantity","Reserved Quantity","Unit of Measure"
"TEXA---K","SRF2-AAB","JTK 6/Stock/RM/RIL-I-S","GBMJTK6/GK14022","1.16415321826935e-10","1.16415321826935e-10","g"
"TALC-OSBRTPD-X","PWD3-AAI","JTK 6/Stock/RM/RIL-I-S","GBMJTK6/GJ10055","1.01863406598568e-10","1.01863406598568e-10","g"
"UVIN-MC80-BASF","SCR1-AAC","JTK 6/Stock/RM/Release-RM","GBMJTK6/HA07069","5.82076609134674e-11","5.82076609134674e-11","g"
"VITA-B3PC-X","AAG3-AAF","JTK 6/Stock/RM/Release-RM","GBMJTK6/HB05033","2.3283064365387e-10","2.3283064365387e-10","g"
"EMU-CTL8-X","EMO1-AGI","JTK 6/Stock/RM/Release-RM","GBMJTK6/HB07013","5.82076609134674e-11","5.82076609134674e-11","g"
"WARN-BG3745-","CLR3-GRN-AAD","JTK 6/Stock/RM/GD-DB-04","AI23","50000.0","0.0","g"
"SAMP-NW377-X","Sampel Parfum Night Warrior 377","JTK 6/Stock/RM/Release-RM","GBMJTK6/HF05021","0.00439999999999996","0.0","kg"
"SURF-DIAK-X","SRF1-ABH","JTK 6/Stock/RM/Release-RM","GBMJTK6/HG14081","4.41998868061511e-14","0.0039000000000442","kg"
"TEXA---K","SRF2-AAB","JTK 6/Stock/RM/Release-RM","GBMJTK6/HJ13073","1.16415321826935e-10","0.0","g"
"AMI-GCK12H-X","SRF1-ABE","JTK 6/Stock/RM/Release-RM","GBMJTK6/HJ14051","9.82254277914762e-11","0.0","g"
"KAOL-JP100-X","PWD3-ADH","JTK 6/Stock/RM/Release-RM","GBMJTK6/HJ21055","5.82076609134674e-11","5.82076609134674e-11","g"
"EMUL-WLALA99-X","EMS3-AJAAD","JTK 6/Stock/RM/Release-RM","GBMJTK6/HJ22089","9.89876583479266e-16","0.00110000000000099","kg"
"EMUL-EMLP-X","EMS3-ABD","JTK 6/Stock/RM/Release-RM","GBMJTK6/HK12064","1.69135538907739e-16","0.00450000000000017","kg"
"GLYC--ECOS-K","EMO1-ABD","JTK 6/Stock/RM/Release-RM","GBMJTK6/HK16048","5.82076609134674e-11","0.0","g"
"EMUL-EMLP-X","EMS3-ABD","JTK 6/Stock/RM/Release-RM","GBMJTK6/HK19117","1.09721259855533e-16","0.00300000000000011","kg"
"WARN-CLRBDX-X","CLR3-VLT-AAE","JTK 6/Stock/RM/GD-AC-03","GBMJTK6/GG31130","4500.0","0.0","g"
"GLYC--ECOS-K","EMO1-ABD","JTK 6/Stock/RM/Release-RM","GBMJTK6/HL02024","1.16415321826935e-10","0.0","g"
"GLYC--ECOS-K","EMO1-ABD","JTK 6/Stock/RM/GOR-B-03","GBMJTK6/HL02060","1.16415321826935e-10","0.0","g"
"TALC-OSBRTPD-X","PWD3-AAI","JTK 6/Stock/RM/Release-RM","GBMJTK6/HL11098","5.82076609134674e-11","0.0","g"
"TEXA---K","SRF2-AAB","JTK 6/Stock/RM/Release-RM","GBMJTK6/HL10102","5.82076609134674e-11","0.0","g"
"MYRI-SOCI-X","RHM3-AAI","JTK 6/Stock/RM/GD-F-10","GBMJTK6/HL21149","1.16415321826935e-10","0.0","g"
"STA--C18-K","WAX3-ABE","JTK 6/Stock/RM/Release-RM","GBMJTK6/IC10084","1.45519152283669e-11","1.01863406598568e-10","g"
"SUNS-HYAB-X","SCR3-ABC","JTK 6/Stock/RM/GOR-H-05","GBMJTK6/ID01058","1.27979224440189e-15","0.00372000000000128","kg"
"TALC-OSBRTPD-X","PWD3-AAI","JTK 6/Stock/RM/Release-RM","GBMJTK6/ID07070","5.82076609134674e-11","0.0","g"
"SUNS-HYAB-X","SCR3-ABC","JTK 6/Stock/RM/GD-B-40","GBMJTK6/ID20078","5.19766521489551e-16","19.9913","kg"
"EMUL-LCG-X","RHM3-AFH","JTK 6/Stock/RM/GD-FC-04","GBMJTK6/HA13076","5000.0","0.0","g"
"SAMP-CDWXCG7-X","Sampel Candelilla Wax CG-7","JTK 6/Stock/RM/GD-AA-05","190904","10000.0","0.0","g"
"SAMP-IMTD2-X","Parfum Immuni Tea Mod 2 Ex. Givaudan, France","JTK 6/Stock/RM/GD-AC-A2","GBMJTK6/HH10036","25.0","0.0","kg"
"ACTI-WLHA-AM","WBE1-ADA","JTK 6/Stock/RM/GD-AC-B2","GBMJTK6/II29075","10.0","0.0","kg"
"ACTI-HYRP-X","MST3-AAI","JTK 6/Stock/RM/GD-AC-B3","GBMJTK6/IG15165","100.0","0.0","g"
"ACTI-BTWH-X","WHT1-AAC","JTK 6/Stock/RM/GD-AC-C5","GBMJTK6/IF28059","5000.0","0.0","g"
"ACTI-WLHA-AM","WBE1-ADA","JTK 6/Stock/RM/GD-AC-C5","GBMJTK6/HL03045","4.9","0.0","kg"
"BENT-BGVS5PC-X","RHM2-AAD","JTK 6/Stock/RM/Release-RM","GBMJTK6/IL07008","9.45874489843845e-11","0.0","g"
"POWD-GHHDI-X","PWD3-BAAAD","JTK 6/Stock/RM/GOR-L-16","GBMJTK6/IL21009","0.00177999999999656","0.0","kg"
"SERI-LLSCFSE-X","PWD3-AIF","JTK 6/Stock/RM/GG-C1-01","GBMJTK6/GE2143","1250.0","0.0","g"
"EMUL-WLALA99-X","EMS3-AJAAD","JTK 6/Stock/RM/GOR-E-48","GBMJTK6/IL13048","9.9999998894873e-06","0.0","kg"
"WARN-BL98-X","CLR3-BLK-ABC","JTK 6/Stock/RM/GG-C1-04","GBMJTK6/GF1263","300.0","0.0","g"
"EXTR-RW-R-X","WBE1-ACF","JTK 6/Stock/RM/GOR-E-08","GBMJTK6/JA06072","200000.0","0.0","g"
"EXTR-RW-R-X","WBE1-ACF","JTK 6/Stock/RM/GOR-E-08","GBMJTK6/JA06071","200000.0","0.0","g"
"SAMP-GPWDUSQ-X","Sampel Granpowder USQ","JTK 6/Stock/RM/GG-C1-09","GBMJTK6/HC31041","20000.0","0.0","g"
"WARN-7702-","Warna C14-7702","JTK 6/Stock/RM/GG-C1-05","1EB2826","106.0","0.0","g"
"SURF-EC702C-X","SRF2-BCACA","JTK 6/Stock/RM/Release-RM","GBMJTK6/IL15155","0.00145999999998025","0.00145999999998025","kg"
"EXTR-RW-R-X","WBE1-ACF","JTK 6/Stock/RM/GOR-E-08","GBMJTK6/JA06069","200000.0","0.0","g"
"EXTR-RW-R-X","WBE1-ACF","JTK 6/Stock/RM/GOR-E-08","GBMJTK6/JA06070","200000.0","0.0","g"
"SILC-MKOL-X","RHM3-AFA","JTK 6/Stock/RM/AA-06B1","GBMJTK6/IK18093","6000.0","0.0","g"
"SILC-MKOL-X","RHM3-AFA","JTK 6/Stock/RM/AA-06B1","GBMJTK6/IK18094","6000.0","0.0","g"
