"#","Schedule Due","Kode SL","Snfg","Nama Fg","Jumlah Pcs","Qty Release","Qty Not Hit","Type","Remark","Level 1","Level 2","Level 3","Actions"
"1","2022-07-18","RT1 ","TC-R3LLF02-W/H0048","Wardah Lightening Powder Foundation Light Feel 02 Golden Beige 12 g","7272","6721","551","NI","(not set)","(not set)","(not set)","(not set)",""
"2","2022-07-18","LQ1 ","MASK-EEVE-W7GR/H0019","Wardah EyeXpert The Volume Expert Mascara 7 gr (Pc(s))","27120","25880","1240","NI","(not set)","(not set)","(not set)","(not set)",""
"3","2022-07-18","ADL1 ","M-AN1-EM/H0006","Emina Natura Pal Gel Moisturizer 20 ml","8627","8388","239","NI","(not set)","(not set)","(not set)","(not set)",""
"4","2022-07-18","ABD1 ","L-CUMKORC-W/H0016","Wardah Colorfit Ultralight Matte Lipstick 11 Sunkissed Jeju 3.6 g","4752","4440","312","NI","(not set)","(not set)","(not set)","(not set)",""
"5","2022-07-18","RV3 ","TC-R3LLF04-W/H0035","Wardah Lightening Powder Foundation Light Feel 04 Natural 12 g","7488","7197","291","NI","(not set)","(not set)","(not set)","(not set)",""
"6","2022-07-18","LK1 ","L-EMC10-W4GR/H0003","Wardah Exclusive Matte Lip Cream 10 Berry Pretty 4 gr (Pc(s))","10368","10079","289","NI","(not set)","(not set)","(not set)","(not set)",""
"7","2022-07-18","GC1 ","CB-P1G-P240/H0002","Putri Natural Creambath Ginseng 240 ML (Pc(s))","1128","792","336","NI","(not set)","(not set)","(not set)","(not set)",""
"8","2022-07-18","MP1 ","F-RELF03-W/H0004","Wardah Exclusive Liquid Foundation 03 Sandy Beige 20 ml","22512","21896","616","NI","(not set)","(not set)","(not set)","(not set)",""
"9","2022-07-18","UN1 ","EB-IPB3M01-W5.5G/H0005","Wardah Instaperfect BROWFESSIONAL 3D Brow Mascara 01. BROWN 5.5 g","2456","2419","37","NI","(not set)","(not set)","(not set)","(not set)",""
"10","2022-07-18","WV5 ","FT-LFT-W/H0062","Wardah Lightening Face Toner 125 ml","23640","22632","1008","NI","(not set)","(not set)","(not set)","(not set)",""
"11","2022-07-18","AB3 ","ES-W0I-W3,3GR/H0016","Wardah Eye Shadow I 3,3 gr (pc(s))","9480","8107","1373","NI","(not set)","(not set)","(not set)","(not set)",""
"12","2022-07-18","VN1 ","TC-RRE02-W/H0042","Wardah Refill Exclusive Two Way Cake 02 Light Beige 12 g","7425","7198","227","NI","(not set)","(not set)","(not set)","(not set)",""
"13","2022-07-18","QP6 ","ES-W1G-W3,3GR/H0012","Wardah Eye Shadow G 3,3 gr (pc(s))","1800","1737","63","NI","(not set)","(not set)","(not set)","(not set)",""
"14","2022-07-18","UZ1 ","L-CSGC104-MO/H0008","MAKE OVER Color Stick Gloss Crayon 104 Chloe 3 g","180","159","21","NI","(not set)","(not set)","(not set)","(not set)",""
"15","2022-07-18","RS2 ","TC-R3LLF01-W/H0035","Wardah Lightening Powder Foundation Light Feel 01 Light Beige 12 g","7488","7389","99","NI","(not set)","(not set)","(not set)","(not set)",""
"16","2022-07-18","ZI1 ","FW-LWFN1-W/H0019","Wardah Lightening Whip Facial Foam 50 ml","18500","18050","450","NI","(not set)","(not set)","(not set)","(not set)",""
"17","2022-07-18","AAQ1 ","L-HSLWE-MO/H0009","Make Over Hydrastay Smooth Lip Whip C05 Swift 6.5 g","504","489","15","NI","(not set)","(not set)","(not set)","(not set)",""
"18","2022-07-18","VM1 ","TC-RRE01-W/H0018","Wardah Refill Exclusive Two Way Cake 01 Sheer Pink 12 g","7515","7297","218","NI","(not set)","(not set)","(not set)","(not set)",""
"19","2022-07-18","LL1 ","L-EMC11-W4GR/H0008","Wardah Exclusive Matte Lip Cream 11 Oh So Nude 4 gr (Pc(s))","10368","10272","96","NI","(not set)","(not set)","(not set)","(not set)",""
