"Korporat Code","Name","Net Weight"
"A-W1MG-W40 ML","Acne Perfecting Moisurizer Gel Wardah 40 ml (Pc(s))","37.312"
"FW-ADCDN2-AM","Atmos Men Anti-Acne Acne Defence Face Wash 100 ml","104.6"
"FW-ADCDN1-AM","Atmos Men Anti-Acne Acne Defence Face Wash 50 ml","47.645"
"FW-DCPPN2-AM","Atmos Men Deepcool Power Pore Face Wash 100 ml","104.6"
"FW-DCPPN1-AM","Atmos Men Deepcool Power Pore Face Wash 50 ml","52.3"
"FW-PBOCN2-AM","Atmos Men Power Bright Oil Control Face Wash 100 ml","95.0"
"FW-PBOCN1-AM","Atmos Men Power Bright Oil Control Face Wash 50 ml","47.5"
"FW-PBPDN2-AM","Atmos Men Power Bright Pollution Defence Face Wash 100 ml","96.98"
"FW-PBPDN1-AM","Atmos Men Power Bright Pollution Defence Face Wash 50 ml","48.49"
"BB-BBN1C-BD","BIODEF NATURAL PROTECTION ANTISEPTIC BATHBOMB MINT + GREEN TEA 125 g","125.0"
"BB-BBN1A-BD","BIODEF NATURAL PROTECTION ANTISEPTIC BATHBOMB MINT + SEASALT 125 g","125.0"
"BB-BBN1D-BD","BIODEF NATURAL PROTECTION ANTISEPTIC BATHBOMB MINT + YUZU 125 g","125.0"
"P-BHC-KA","Beard and Hair Care Package","0.0"
"L-BKML01-B","Beyondly Baby Multipurpose Lotion","0.0"
"L-BKSS01-B","Beyondly Baby Sun Shield Lotion","0.0"
"EO-OKDS01-B","Beyondly Blend Oil Kit Daily Sinergy 3x10 ml","0.0"
"S-CSCB01-B","Beyondly Calm Barrier Collagen Serum","20.6"
"MB-COTR01-B","Beyondly Carrier Oil Terra 100 ml","90.6"
"M-SSSC01-B","Beyondly Collagen Serum Sunscreen SPF50 PA++++ 40ml","0.0"
"D-DEN01-B","Beyondly Diffuser Eternal 230 ml","0.0"
"EO-BOBR01-B","Beyondly Essential Blend Oil Breathe 10 ml","0.0"
"EO-BOCR01-B","Beyondly Essential Blend Oil Cold Remedy 10 ml","0.0"
"EO-BOHF01-B","Beyondly Essential Blend Oil Hocus Focus 10 ml","0.0"
"EO-BOLC01-B","Beyondly Essential Blend Oil Life Core 10 ml","0.0"
"EO-BOMB01-B","Beyondly Essential Blend Oil Metabolife 10 ml","0.0"
"EO-BORF01-B","Beyondly Essential Blend Oil Roomify 10 ml","0.0"
"EO-BOSN01-B","Beyondly Essential Blend Oil Serenity 10 ml","0.0"
"EO-BOSH01-B","Beyondly Essential Blend Oil Shield 10 ml","0.0"
"EO-BOTB01-B","Beyondly Essential Blend Oil Tummy Buddy 10 ml","0.0"
"EO-SOCB01-B","Beyondly Essential Single Oil Clove Bud 10 ml","10.63"
"EO-SOEC01-B","Beyondly Essential Single Oil Eucalyptus 10 ml","9.08"
"EO-SOLD01-B","Beyondly Essential Single Oil Lavender 10 ml","8.95"
"EO-SOLM01-B","Beyondly Essential Single Oil Lemon 10 ml","8.6"
"EO-SOLG01-B","Beyondly Essential Single Oil Lemongrass 10 ml","8.97"
"EO-SOOR01-B","Beyondly Essential Single Oil Orange 10 ml","8.55"
"EO-SOPM01-B","Beyondly Essential Single Oil Peppermint 10 ml","9.08"
"EO-SOTT01-B","Beyondly Essential Single Oil Tea Tree 10 ml","9.06"
"LD-CDFB01-B","Beyondly Fitclair Collagen Drink","0.0"
"FW-CSGC01-B","Beyondly Glowlasting Collagen Cleanser","105.0"
"M-CSGD01-B","Beyondly Glowlasting Collagen UV Care Moisturizer","30.0"
"TH-VSKS01-B","Beyondly KidSmart Child Supplement","0.0"
"TH-VSKG01-B","Beyondly KidsGrow Child Supplement","0.0"
"TH-VSLS01-B","Beyondly Lifessential Supplement","0.0"
"MB-MBSG01-B","Beyondly Minyak Balur Sagala 100 ml","0.0"
"S-CSPB01-B","Beyondly Pomebright Collagen Serum","21.136"
"PD-PSSS01-B","Beyondly SOP Supplement","0.0"
"EO-OKPT01-B","Beyondly Single Oil Kit Primary Three 3x10 ml","0.0"
"TH-VSVP01-B","Beyondly Vitaprolix Supplement","0.0"
"S-CSYP01-B","Beyondly Youth Power Collagen Serum","22.0"
"W-AW10-BD","Biodef Antiseptic Wipes 10 Sheet","0.0"
"D-DEORO-BD","Biodef Deodorant Roll On 50 ml","52.0"
"HBW-MALN1-BD","Biodef Multipurpose Antiseptic Liquid 200 ml","0.0"
"HBW-NFSBWN1C-BD","Biodef NFS Natural Protection Mint + Green Tea Body Wash Antiseptik Alami 15 ml","15.75"
"HBW-NFSBWN1A-BD","Biodef NFS Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami 15 ml","13.5"
"HBW-NFSBWN1D-BD","Biodef NFS Natural Protection Mint + Yuzu Body Wash Antiseptik Alami 15 ml","15.75"
"HS-HSN1FG-BD","Biodef Natural Protection Hand Spray Sanitizer Food Grade 100 ml","0.0"
"HBW-BWN1C-BD","Biodef Natural Protection Mint + Green Tea Body Wash Antiseptik Alami Botol 275 ml","247.5"
"HBW-BWN5C-BD","Biodef Natural Protection Mint + Green Tea Body Wash Antiseptik Alami Botol 550 ml","577.5"
"HBW-BWN2C-BD","Biodef Natural Protection Mint + Green Tea Body Wash Antiseptik Alami Pouch 400 ml","400.0"
"HBW-BWN6C-BD","Biodef Natural Protection Mint + Green Tea Body Wash Antiseptik Alami Pouch 800 ml","840.0"
"HBW-BWN4C-BD","Biodef Natural Protection Mint + Green Tea Body Wash Jerrycan 5 L","5250.0"
"HBW-HWN2-BD","Biodef Natural Protection Mint + Green Tea Hand Wash Antiseptik Alami Botol 250 ml","250.0"
"HBW-HWN1-BD","Biodef Natural Protection Mint + Green Tea Hand Wash Antiseptik Alami Pouch 200 ml","180.0"
"HBW-HWN3-BD","Biodef Natural Protection Mint + Green Tea Hand Wash Jerrycan 5 L","5190.5"
"HBW-BWN1A-BD","Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Botol 275 ml","247.5"
"HBW-BWN5A-BD","Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Botol 550 ml","495.0"
"HBW-BWN2A-BD","Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Pouch 400 ml","400.0"
"HBW-BWN6A-BD","Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Pouch 800 ml","720.0"
"HBW-BWN4A-BD","Biodef Natural Protection Mint + Sea Salt Body Wash Jerrycan 5 L","0.0"
"HBW-BWN1D-BD","Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Botol 275 ml","280.5"
"HBW-BWN5D-BD","Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Botol 550 ml","577.5"
"HBW-BWN2D-BD","Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Pouch 400 ml","400.0"
"HBW-BWN6D-BD","Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Pouch 800 ml","840.0"
"HBW-BWN4D-BD","Biodef Natural Protection Mint + Yuzu Body Wash Jerrycan 5 L","5250.0"
"HBW-HWN2B-BD","Biodef Natural Protection Mint + Yuzu Hand Wash Antiseptik Alami Botol 250 ml","250.0"
"HBW-HWN1B-BD","Biodef Natural Protection Mint + Yuzu Hand Wash Antiseptik Alami Pouch 200 ml","207.6"
"HBW-HWN3B-BD","Biodef Natural Protection Mint + Yuzu Hand Wash Jerrycan 5 L","5156.0"
"P-RAM1-BD","Biodef Ramadhan 2023 – Adventurous Mom Package 1","0.0"
"P-RAM2-BD","Biodef Ramadhan 2023 – Adventurous Mom Package 2","0.0"
"P-RAM3-BD","Biodef Ramadhan 2023 – Adventurous Mom Package 3","0.0"
"P-RCM1-BD","Biodef Ramadhan 2023 – City Mom Package 1","0.0"
"P-RCM2-BD","Biodef Ramadhan 2023 – City Mom Package 2","0.0"
"P-RCM3-BD","Biodef Ramadhan 2023 – City Mom Package 3","0.0"
"P-RCM4-BD","Biodef Ramadhan 2023 – City Mom Package 4","0.0"
"P-RHLM1-BD","Biodef Ramadhan 2023 – Home Loving Mom Package 1","0.0"
"P-RHLM2-BD","Biodef Ramadhan 2023 – Home Loving Mom Package 2","0.0"
"P-RHLM3-BD","Biodef Ramadhan 2023 – Home Loving Mom Package 3","0.0"
"P-RHLM4-BD","Biodef Ramadhan 2023 – Home Loving Mom Package 4","0.0"
"P-BA-L","Birthday Package A","0.0"
"BCR-NMBMS-WBH","Body Massage with Scrub (NM)","0.0"
"BCR-NMBS-WBH","Body Spa (NM)","0.0"
"BUKU-BYS2126-MO","Buku Because You`re Special,21x26cm,C:AC260 4/4 Glossy1/0 Embos,I:AP100 4/4,124hal,LemPanas,Shrink","1.0"
"P-PBA-MO","Bundling Package Perfect","0.0"
"P-NFSASRMPFC-W","Bundling Wardah Acnederm Pure Foaming Cleanser 60 ml dengan Wardah NFS Acnederm Acne Care Serum 2 ml","0.0"
"MUP-NMCB-WBH","Creambath (NM)","0.0"
"P-CLBOISC-W","Crystallure Box of Indulgence - Skincare Travel Size","0.0"
"P-CLD-P","Crystallure Day Package","0.0"
"FT-CHGN2P-W","Crystallure Dual Refining Treatment Solution 10 ml","0.0"
"FT-CHG-W","Crystallure Dual Refining Treatment Solution 120 ml","120.0"
"FT-RCHG-W","Crystallure Dual Refining Treatment Solution 120 ml Revamp","0.0"
"P-CLER-W","Crystallure Essential Regime Set","0.0"
"P-CESR-W","Crystallure Essential Skincare Routine","1.0"
"P-CLFR-W","Crystallure Full Regime Set","0.0"
"FW-CFW-W","Crystallure Moisture Rich Cleansing Foam 100 ml","105.0"
"FW-RCFW-W","Crystallure Moisture Rich Cleansing Foam 100 ml Revamp","0.0"
"FW-CFWN2P-W","Crystallure Moisture Rich Cleansing Foam 15 ml","0.0"
"P-CLM-W","Crystallure Moisturizer Package","0.0"
"P-CLNR-W","Crystallure Night Regime Set","0.0"
"SRM-CAB-W","Crystallure Supreme Activating Booster Essence 30 ml","30.756"
"SRM-RCAB-W","Crystallure Supreme Activating Booster Essence 30 ml Revamp","0.0"
"M-CSAOC-W","Crystallure Supreme Activating Overnight Cream 50 g","50.0"
"M-RCSAOC-W","Crystallure Supreme Activating Overnight Cream 50 g Revamp","50.0"
"SRM-RCSAE-W","Crystallure Supreme Advanced Eye Serum 15 ml Revamp","0.0"
"REM-RCDAMG-W","Crystallure Supreme Double Action Micellar Gel 150 ml Revamp","150.0"
"SRM-CSRO-W","Crystallure Supreme Revitalizing Oil Serum 30 ml","30.0"
"SRM-RCSRO-W","Crystallure Supreme Revitalizing Oil Serum 30 ml Revamp","0.0"
"M-RCSRRC-W","Crystallure Supreme Revitalizing Rich Cream 50 g Revamp","50.0"
