"Week","SNFG","Reference","Product","Sediaan","Unit of Measure","Scheduled Start Date","Scheduled Finished Date","State","Manufacturing Order","Manufacturing Order/Finished Product/Lot/Serial Number"
"1","TWC-OMGM-OMG/I0001","MO-TWC-OMGM-BULK/I0001","[TWC-OMGM-BULK] OMG Oh My Glam Coverlast Two Way Cake 32N Natural","VP","kg","2023-01-02","2023-01-06","Done","MO/220058809","AJ04A"
"1","EB-EK-W3G/BSH0012","MO-EB-DK-DB-BULK/H0055","[EB-DK-DB-BULK] Eyebrow Definition Kit Dark Brown","P","kg","2023-01-02","2023-01-13","Done","MO/230000100","AJ04B"
"1","EB-EK-W3G/BSH0012","MO-EB-DK-LB-BULK/H0053","[EB-DK-LB-BULK] Eyebrow Definition Kit Light Brown","P","kg","2023-01-02","2023-01-13","Done","MO/230000101","AJ05A"
"1","BO-CLBSPE-EM/I0001","MO-BO-CLBSPE-BULK/I0001","[BO-CLBSPE-BULK] Emina Cheek Lit Blush Stick Peach","S","kg","2023-01-02","2023-01-06","Done","MO/220058019","AJ02A"
"1","BO-COCBSC-W/I0001","MO-BO-COCBSC-BULK/I0001","[BO-COCBSC-BULK] Wardah Colorfit Cream Blush 01 SAND CORAL","S","kg","2023-01-02","2023-01-05","Done","MO/220058020","AJ04A"
"1","BO-COCBSP-W/I0001","MO-BO-COCBSP-BULK/I0001","[BO-COCBSP-BULK] Wardah Colorfit Cream Blush 03 SUMMER PEACH bulk","S","kg","2023-01-02","2023-01-06","Done","MO/220058015","AJ04A"
"1","L-CPRLC01-W/I0001","MO-L-CPRLC01-BULK/I0001","[L-CPRLC01-BULK] Wardah CRYSTALLURE Precious Liquid Lip Couture 01 Royale","S","kg","2023-01-02","2023-01-04","Done","MO/220058017","AJ02A"
"1","L-CPRLC03-W/I0001","MO-L-CPRLC03-BULK/I0001","[L-CPRLC03-BULK] Wardah CRYSTALLURE Precious Liquid Lip Couture 03 Grandiose","S","kg","2023-01-02","2023-01-05","Done","MO/220058014","AJ04A"
"1","L-CSGC102-MO/I0001","MO-L-CSGC102-BULK/I0001","[L-CSGC102-BULK] Make Over Color Stick Gloss Crayon 102 Abigail","S","kg","2023-01-04","2023-01-07","Done","MO/220058086","AJ05A"
"1","L-CSGC102-MO/I0002","MO-L-CSGC102-BULK/I0002","[L-CSGC102-BULK] Make Over Color Stick Gloss Crayon 102 Abigail","S","kg","2023-01-04","2023-01-07","Done","MO/220058083","AJ05B"
"1","LB-M-MO3,8G/I0001","MO-LB-M-BULK/I0001","[LB-M-BULK] Lip Balm Melon Crazy Bulk","S","kg","2023-01-04","2023-01-07","Done","MO/220058084","AJ05A"
"1","LB-M-MO3,8G/I0002","MO-LB-M-BULK/I0002","[LB-M-BULK] Lip Balm Melon Crazy Bulk","S","kg","2023-01-04","2023-01-09","Done","MO/220058085","AJ06A"
"1","LB-OC-MO3,8G/I0001","MO-LB-O-BULK/I0001","[LB-O-BULK] Lipbalm Lip Nutrition Orange Crush Bulk","S","kg","2023-01-04","2023-01-09","Done","MO/220058082","AJ06A"
"1","LB-STSPB-EM/I0001","MO-LB-STSPB-BULK/I0001","[LB-STSPB-BULK] Emina Oh So Kissable Tinted Balm Stick Pink Bonbons","S","kg","2023-01-02","2023-01-04","Done","MO/220058018","AJ03A"
"1","LB-V-MO3,8G/I0001","MO-LB-V-BULK/I0001","[LB-V-BULK] Lipbalm Lip Nutrition Vanilla Latte Bulk","S","kg","2023-01-04","2023-01-09","Done","MO/220058093","AJ06A"
"1","L-CHC03-MO/I0001","MO-L-CHC03-BULK/I0001","[L-CHC03-BULK] Color Hypnose Creamy Lipmatte 03 Allure","S","kg","2023-01-02","2023-01-06","Done","MO/220058037","AJ03A"
"1","L-CHC05-MO/I0001","MO-L-CHC05-BULK/I0001","[L-CHC05-BULK] Color Hypnose Creamy Lipmatte 05 Scandal","S","kg","2023-01-02","2023-01-06","Done","MO/220058013","AJ04A"
"1","L-CHC06-MO/I0001","MO-L-CHC06-BULK/I0001","[L-CHC06-BULK] Color Hypnose Creamy Lipmatte 06 Kiss","S","kg","2023-01-02","2023-01-06","Done","MO/220058800","AJ03A"
"1","L-CHC09-MO/I0001","MO-L-CHC09-BULK/I0001","[L-CHC09-BULK] Color Hypnose Creamy Lipmatte 09 Undercover","S","kg","2023-01-02","2023-01-06","Done","MO/220058799","AJ07A"
"1","L-CHC10-MO/I0001","MO-L-CHC10-BULK/I0001","[L-CHC10-BULK] Color Hypnose Creamy Lipmatte 10 Bewitched","S","kg","2023-01-02","2023-01-06","Done","MO/220058026","AJ06A"
"1","L-IMC002-MO6,5G/I0001","MO-L-IMC002-BULK/I0001","[L-IMC002-BULK] MAKE OVER Intense Matte Lip Cream 002 Heiress","S","kg","2023-01-02","2023-01-06","Done","MO/220058023","AJ05A"
"1","L-IMC017-MO6,5G/I0001","MO-L-IMC017-BULK/I0001","[L-IMC017-BULK] Make Over Intense Matte Lipcream 017","S","kg","2023-01-02","2023-01-06","Done","MO/220058024","AJ02A"
"1","L-IPMMS01-W3.5G/I0001","MO-L-IPMMS01-BULK/I0001","[L-IPMMS01-BULK] Wardah Instaperfect MATTITUDE Matte Stain Lipstick 01 SWING","S","kg","2023-01-02","2023-01-06","Done","MO/220058025","AJ14A"
"1","L-IPMMS04-W3.5G/I0001","MO-L-IPMMS04-BULK/I0001","[L-IPMMS04-BULK] wardah Instaperfect MATTITUDE Matte Stain Lipstick 04 BUZZ","S","kg","2023-01-02","2023-01-06","Done","MO/220058038","AJ06A"
"1","L-LL03-W2.3G/I0001","MO-L-LLW0C3-BULK/I0001","[L-LLW0C3-BULK] Lipstick Long Lasting New 03 Wardah Bulk (Kg)","S","kg","2023-01-02","2023-01-06","Done","MO/220058039","AJ04A"
"1","L-CHC05-MO/I0002","MO-L-CHC05-BULK/I0002","[L-CHC05-BULK] Color Hypnose Creamy Lipmatte 05 Scandal","S","kg","2023-01-02","2023-01-06","Done","MO/220058021","AJ09A"
"1","CON-C-MO11ML/I0001","MO-CON-C-B-BULK/I0001","[CON-C-B-BULK] Make Over Camouflage Cream Beige Bulk","S","kg","2023-01-02","2023-01-05","Done","MO/220058042","AJ03A"
"1","CON-C-MO11ML/I0001","MO-CON-C-C-BULK/I0001","[CON-C-C-BULK] Make Over Camouflage Cream Coklat Bulk","S","kg","2023-01-02","2023-01-05","Done","MO/220058040","AJ03A"
"1","CON-C-MO11ML/I0001","MO-CON-C-HM-BULK/I0001","[CON-C-HM-BULK] Make Over Camouflage Cream Hijau Muda Bulk","S","kg","2023-01-02","2023-01-05","Done","MO/220058036","AJ03A"
"1","CON-C-MO11ML/I0001","MO-CON-C-LB-BULK/I0001","[CON-C-LB-BULK] Make Over Camouflage Cream Light Beige Bulk","S","kg","2023-01-02","2023-01-05","Done","MO/220058030","AJ03A"
"1","CON-C-MO11ML/I0001","MO-CON-C-UM-BULK/I0001","[CON-C-UM-BULK] Make Over Camouflage Cream Ungu Muda Bulk","S","kg","2023-01-02","2023-01-05","Done","MO/220058027","AJ04A"
"1","CON-C-MO11ML/I0002","MO-CON-C-B-BULK/I0002","[CON-C-B-BULK] Make Over Camouflage Cream Beige Bulk","S","kg","2023-01-02","2023-01-06","Done","MO/220058032","AJ04A"
"1","CON-C-MO11ML/I0002","MO-CON-C-C-BULK/I0002","[CON-C-C-BULK] Make Over Camouflage Cream Coklat Bulk","S","kg","2023-01-02","2023-01-06","Done","MO/220058035","AJ04A"
"1","CON-C-MO11ML/I0002","MO-CON-C-HM-BULK/I0002","[CON-C-HM-BULK] Make Over Camouflage Cream Hijau Muda Bulk","S","kg","2023-01-03","2023-01-06","Done","MO/220058070","AJ04A"
"1","CON-C-MO11ML/I0002","MO-CON-C-LB-BULK/I0002","[CON-C-LB-BULK] Make Over Camouflage Cream Light Beige Bulk","S","kg","2023-01-03","2023-01-06","Done","MO/220058064","AJ05A"
