"Reference","Source Location","Destination Location","Contact","Scheduled Date","Source Document","Status","Activity Exception Decoration"
"INT/220444420","JTK 2/Stock/RM","JTK 2/Staging Olah","","2022-12-24 18:56:09","PRO Adjust Kuse W51 - MO/220056276","Ready",""
"INT/230067120","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-02-08 04:35:17","MO/230001109","Ready",""
"INT/230107582","JTK 2/Stock","JTK 2/Staging Olah","","2023-03-01 23:21:32","Pro Adjust Rexf-Reya-Faqh -> MO/230010143 MO/230010147 MO/230011631","Ready",""
"INT/200068021","JTK 2/Stock/RM","JTK 2/Staging Olah","","2020-08-04 00:00:00","MO/200021345","Ready",""
"INT/200089572","JTK 1/Stock/RM","JTK 1/Staging Olah","","2020-09-25 00:00:00","MO/200027346","Ready",""
"INT/200101083","JTK 2/Stock/RM","JTK 2/Staging Olah","","2020-10-15 00:00:00","MO/200029958","Ready",""
"INT/200101084","JTK 2/Stock/RM","JTK 2/Staging Olah","","2020-10-15 00:00:00","MO/200029959","Ready",""
"INT/200116786","JTK 2/Stock/RM","JTK 2/Staging Olah","","2020-01-10 00:00:00","MO/200033331","Ready",""
"INT/200129659","JTK 2/Stock/RM","JTK 2/Staging Olah","","2020-12-01 00:00:00","MO/200036005","Ready",""
"INT/210000011","JTK 1/Stock/RM","JTK 1/Staging Olah","","2021-01-05 00:00:00","MO/210000011","Ready",""
"INT/210002564","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-01-15 00:00:00","MO/210000870","Ready","Alert"
"INT/210002598","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-01-11 00:00:00","MO/210000903","Ready",""
"INT/210074969","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-05-03 00:00:00","MO/210016889","Ready","Alert"
"INT/210078672","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-05-06 00:00:00","MO/210017834","Ready","Alert"
"INT/210094783","JTK 1/Stock/RM","JTK 1/Staging Olah","","2021-06-10 00:00:00","MO/210021677","Ready","Alert"
"INT/210094785","JTK 1/Stock/RM","JTK 1/Staging Olah","","2021-06-10 00:00:00","MO/210021678","Ready","Alert"
"INT/210119510","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-07-13 00:00:00","MO/210026038","Ready","Alert"
"INT/210127581","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-07-16 00:00:00","MO/210027059","Ready","Alert"
"INT/210147002","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-08-13 00:00:00","MO/210029958","Ready","Alert"
"INT/210195364","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-08-20 00:00:00","MO/210029965","Waiting",""
"INT/210150912","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-08-18 00:00:00","MO/210030824","Ready","Alert"
"INT/210170184","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-09-01 00:00:00","MO/210031829","Ready","Alert"
"INT/210169423","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-08-31 00:00:00","MO/210032906","Ready","Alert"
"INT/210178385","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-09-07 00:00:00","MO/210033049","Ready","Alert"
"INT/210180048","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-09-08 00:00:00","MO/210033055","Ready","Alert"
"INT/210181775","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-09-09 00:00:00","MO/210033065","Ready","Alert"
"INT/210181785","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-09-09 00:00:00","MO/210033143","Ready","Alert"
"INT/210178383","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-09-07 00:00:00","MO/210033240","Ready","Alert"
"INT/210187432","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-09-07 00:00:00","MO/210033246","Ready",""
"INT/210176366","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-09-06 00:00:00","MO/210033266","Ready","Alert"
"INT/210190171","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-09-07 00:00:00","MO/210033298","Ready",""
"INT/210183411","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-09-09 00:00:00","MO/210034031","Ready","Alert"
"INT/210183567","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-09-10 00:00:00","MO/210034248","Waiting","Alert"
