"Product Korporat Code","BoM Lines/Product Template/Korporat Code","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"L-REMA16-W","L-REMA16-BULK","0.0035","kg"
"","CONT-ELRLR0-WASBS","1.0","Pc(s)"
"","CAPC-ELRLR0-WASBS","1.0","Pc(s)"
"","STIC-BCEMA16R1-WRL","1.0","Pc(s)"
"","DUS-EMAR0-WIMVG","1.0","Pc(s)"
"","STIC-BTEMA16R1-WCNF","1.0","Pc(s)"
"","IBOX-12ELRLR1-W","0.08333","Pc(s)"
"","KB-WLER1-KMK125CF","0.00694","Pc(s)"
"MY-LSMULMC-EM","L-SMULMC-BULK","0.0065","kg"
"","TUBE-SMULM03R0-E","1.0","Pc(s)"
"","CAPA-SMULMR0-E","1.0","Pc(s)"
"","DUS-SMULM03R0-E","1.0","Pc(s)"
"","STIC-PACR1-EM","1.0","Pc(s)"
"","KB-EAR0-KMM125","0.01389","Pc(s)"
"L-CM03-EM5.5GR","L-CM03-BULK","0.0055","kg"
"","BOTO-PCMR1-E","1.0","Pc(s)"
"","CAPA-CMR0-EM","1.0","Pc(s)"
"","STIC-BOTCMMVR1-EOPP","1.0","Pc(s)"
"","DUS-CMMVR2-E","1.0","Pc(s)"
"","IBOX-12EE-ED31","0.08333","Pc(s)"
"","KB-ECR1-KMK125CF","0.00694","Pc(s)"
"L-CM02-EM5.5GR","L-CM02-BULK","0.0055","kg"
"","CAPA-CMR0-EM","1.0","Pc(s)"
"","BOTO-PCMR1-E","1.0","Pc(s)"
"","STIC-BOTCMFWR1-EOPP","1.0","Pc(s)"
"","DUS-CMFWR2-E","1.0","Pc(s)"
"","IBOX-12EE-ED31","0.08333","Pc(s)"
"","KB-ECR1-KMK125CF","0.00694","Pc(s)"
"EB-DMCL-MO","EB-DMCL-BULK","0.0065","kg"
"","PLU-BDMR0-MOPE","1.0","Pc(s)"
"","BOTO-BDMR0-MOPTG","1.0","Pc(s)"
"","CAPA-BDMR1-MOABS","1.0","Pc(s)"
"","STIC-BTBDMCLR0-MOPPW","1.0","Pc(s)"
"","DUS-BDMR0-MO","1.0","Pc(s)"
"","STIC-VPBDM02R1-MO","1.0","Pc(s)"
"","IBOX-12MOAR0-D310","0.08333","Pc(s)"
"","KB-MOGCR0-MO","0.01389","Pc(s)"
"MY-FWPCSRB-KA","FW-PCSRB-BULK","0.1","kg"
"","TUBE-PCEBFWR0-K","1.0","Pc(s)"
"","STIC-PAGR1-EM","1.0","Pc(s)"
"","KB-KAHFBR0-K","0.0666667","Pc(s)"
"EB-DMCC-MO","EB-DMCC-BULK","0.0065","kg"
"","BOTO-BDMR0-MOPTG","1.0","Pc(s)"
"","CAPA-BDMR1-MOABS","1.0","Pc(s)"
"","PLU-BDMR0-MOPE","1.0","Pc(s)"
"","STIC-BTBDMCCR0-MOPPW","1.0","Pc(s)"
"","DUS-BDMR0-MO","1.0","Pc(s)"
"","STIC-VPBDM03R1-MO","1.0","Pc(s)"
"","IBOX-12MOAR0-D310","0.08333","Pc(s)"
"","KB-MOGCR0-MO","0.01389","Pc(s)"
"L-REMO46-W","L-REMO46-BULK","0.0035","kg"
"","CONT-EMLRLR0-WRL","1.0","Pc(s)"
"","CAPC-EMLRLR0-WRL","1.0","Pc(s)"
"","STIC-BTEMO46R1-WCNF","1.0","Pc(s)"
"","DUS-EMOR0-WIMVG","1.0","Pc(s)"
"","STIC-BCEMO46R1-WCNF","1.0","Pc(s)"
"","IBOX-12ELRLR1-W","0.08333","Pc(s)"
"","KB-WLER1-KMK125CF","0.00694","Pc(s)"
"MY-FWRRYAG-W","FW-RRYAG-BULK","0.1","kg"
"","TUBE-RYFW100R0-WPBL","1.0","Pc(s)"
"","STIC-PACESR1-WM","1.0","Pc(s)"
"","KB-WT100R1-KMM125BF","0.0333333","Pc(s)"
"MY-FWAN1-EM","FW-AN1-EM","1.0","Pc(s)"
"","STIC-PAQR0-EM","1.0","Pc(s)"
"","KB-EBR1-KMK125CF","0.05","Pc(s)"
"M-CSAHG-W","PLU-CSAHG50R0-W","1.0","Pc(s)"
"","SPT-CRYSCR0-W","1.0","Pc(s)"
"","CAPP-CSAHG50R0-W","1.0","Pc(s)"
"","M-CSAHG-BULK","0.05","kg"
"","KB-WOMEGAR1-W","0.08333","Pc(s)"
"","DUS-SCSAHGR0-W","1.0","Pc(s)"
"","PS-JOSR0-WBOPP","0.00195","kg"
"","LEAF-CRYSAHGR0-W","1.0","Pc(s)"
"","DUS-CCSAHGR0-W","1.0","Pc(s)"
"","DUS-BCSAHGR0-W","1.0","Pc(s)"
"","POT-CSAHG50R1-W","1.0","Pc(s)"
"SRM-AGIS-W17ML","DUS-RYAASR3-W","1.0","Pc(s)"
"","KB-W6040R2-W","0.03333","Pc(s)"
"","SRM-AGIS-BULK","0.0174","kg"
"","BW-P1R0-X","0.03333","Pc(s)"
"","BOTO-GRYAASW-GPPP1WH","1.0","Pc(s)"
"","PIP-DRYAASW-ESW","1.0","Pc(s)"
"LB-EVLNGT-W4G","LB-EVLNGT-BULK","0.004","kg"
"","CAPC-EMLNGT-W","1.0","Pc(s)"
"","CONT-EMLNGR0-WASSM","1.0","Pc(s)"
"","STIC-BTEMLNGR0-WCNF","1.0","Pc(s)"
"","DUS-EMLNGR2-W","1.0","Pc(s)"
"","IBOX-12ELBR0-WDNF","0.08333","Pc(s)"
"","KB-WLTWCLFR1-KMK125","0.02083","Pc(s)"
"FW-RRYAG-W","FW-RRYAG-BULK","0.1","kg"
"","KB-WT100R1-KMM125BF","0.03333","Pc(s)"
"","TUBE-RYFW100R0-WPBL","1.0","Pc(s)"
"FW-RWSABHA-W","FW-RWSABHA-BULK","0.1","kg"
"","KB-WT100R1-KMM125BF","0.03333","Pc(s)"
"","TUBE-CSFCNAP100R1-W","1.0","Pc(s)"
"ES-TENS-MO6G","ES-SGS32GRNFS-MO","1.0","Pc(s)"
"","PO-TWCMOC105-9288T1P","1.0","Pc(s)"
"","DUS-TESR2-MO","1.0","Pc(s)"
"","STIC-BCESTENMO-PW1W3","1.0","Pc(s)"
"","KB-MOTWC3252-K150M12","0.02778","Pc(s)"
"","KUAS-ESMO2KSNBR-THG","1.0","Pc(s)"
"","ES-TPMB12GRRNFS-MO","1.0","Pc(s)"
"","STIC-BTESENR1-MOMSF","1.0","Pc(s)"
"","ES-TPME22GRRNFS-MO","1.0","Pc(s)"
"","PLAS-DMESBOR0-MO","1.0","Pc(s)"
"","CONT-ESLB3MOASA-2PSC","1.0","Pc(s)"
"CM-WSOG-W","BOTO-PETRF100C-X","1.0","Pc(s)"
"","PU-CSMCG95R0-W","1.0","Pc(s)"
"","STIC-BCSMCGR1-W","1.0","Pc(s)"
