"External ID","Product/Product/Internal Reference","Product/Product/Display Name","BoM Lines/Product/Display Name","BoM Lines/Quantity","BoM Lines/Product Unit of Measure/Display Name","Reference","Main"
"__export__.mrp_bom_216_14ae2c28","80012","[80012] OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet 3.5 g","[L-MLCL-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet","3.5","g","4","False"
"","","","[BOTO-MKLCKIMR0-OMG] Bottle Matte KLC OMG,8007,AS,Injection Clear,1PassPrinting,NoFinishing,KIM","1.0","Pc(s)","",""
"","","","[CAPA-MKLCKIMR0-OMG] Cap+Applicator+Wiper Matte KLC OMG,8007,Cap:ABS/AS-ABS,Applicator:PP+FlockTip,Wiper:LDPE,InjectionBlack,NoFinishing","1.0","Pc(s)","",""
"","","","[STIC-BMKLC12R2-OMG] Sticker Bottom Matte KLC 12 R2 OMG,PP Silver Bright,1W,d=12mm,NoFinishing","1.0","Pc(s)","",""
"","","","[DUS-MKLCR1-OMG] Dus Matte Kiss Lip Cream REV-1 OMG,Ivory 300gsm,2W,30x20x120mm,Partisi,Window,LamDoff","1.0","pc(s)","",""
"","","","[STIC-VMKLC12R1-OMG] Sticker Varian Matte Kiss Lip Cream 12 REV-1 OMG,Semicoat,39x12mm,2W,Sheet,VarMatte","1.0","pc(s)","",""
"","","","[IBOX-RRPMKLCR0-OMG] Inner Box RRP Matte Kiss Lip Cream OMG,Ivory300gsm,5W,95x85x121mm,NoFinishing","0.08333","pc(s)","",""
"","","","[KB-NEONR0-OMG] Karton Box Neon OMG,Ukuran Box Dalam 385x265x130mm,K125/M125/K125,C/F,NoFinishing,Glue","0.00694","pc(s)","",""
"__export__.mrp_bom_217_e9261896","80012","[80012] OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet 3.5 g","[L-MLCL-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet","3.5","g","5","False"
"","","","[CAPA-MKLCR0-OMG] Cap+Applicator+Wiper Matte KLC OMG,LC-002,Cap:ABS/AS-ABS,Applicator:PP+FlockTip,Wiper:LDPE,InjectionBlack,NoFinishing","1.0","pc(s)","",""
"","","","[BOTO-MKLCR0-OMG] Bottle Matte KLC OMG,LC-002,AS,Injection Clear,1PassPrinting,NoFinishing","1.0","pc(s)","",""
"","","","[STIC-BMKLC12R2-OMG] Sticker Bottom Matte KLC 12 R2 OMG,PP Silver Bright,1W,d=12mm,NoFinishing","1.0","Pc(s)","",""
